"conduct_before","yhat","predictors","model","index"
28.8,646.607509226039,"conduct_before","all predictors w/o coordinates","abundance"
59.3368421052632,646.607509226039,"conduct_before","all predictors w/o coordinates","abundance"
89.8736842105263,646.607509226039,"conduct_before","all predictors w/o coordinates","abundance"
120.410526315789,646.607509226039,"conduct_before","all predictors w/o coordinates","abundance"
150.947368421053,646.607509226039,"conduct_before","all predictors w/o coordinates","abundance"
181.484210526316,663.944318494935,"conduct_before","all predictors w/o coordinates","abundance"
212.021052631579,663.944318494935,"conduct_before","all predictors w/o coordinates","abundance"
242.557894736842,664.939293675665,"conduct_before","all predictors w/o coordinates","abundance"
273.094736842105,658.78110765099,"conduct_before","all predictors w/o coordinates","abundance"
303.631578947368,656.288075416943,"conduct_before","all predictors w/o coordinates","abundance"
334.168421052632,653.139465173086,"conduct_before","all predictors w/o coordinates","abundance"
364.705263157895,653.275355815887,"conduct_before","all predictors w/o coordinates","abundance"
395.242105263158,641.848057898922,"conduct_before","all predictors w/o coordinates","abundance"
425.778947368421,850.637318341628,"conduct_before","all predictors w/o coordinates","abundance"
456.315789473684,846.602526709653,"conduct_before","all predictors w/o coordinates","abundance"
486.852631578947,850.37318610454,"conduct_before","all predictors w/o coordinates","abundance"
517.389473684211,850.414541624594,"conduct_before","all predictors w/o coordinates","abundance"
547.926315789474,868.368576856627,"conduct_before","all predictors w/o coordinates","abundance"
578.463157894737,868.368576856627,"conduct_before","all predictors w/o coordinates","abundance"
609,868.368576856627,"conduct_before","all predictors w/o coordinates","abundance"
