"conduct_before","yhat","predictors","model","index"
28.8,0.533917371597555,"conduct_before","sampling w/ coordinates","k_index"
61.2235294117647,0.533917371597555,"conduct_before","sampling w/ coordinates","k_index"
93.6470588235294,0.533917371597555,"conduct_before","sampling w/ coordinates","k_index"
126.070588235294,0.533917371597555,"conduct_before","sampling w/ coordinates","k_index"
158.494117647059,0.533917371597555,"conduct_before","sampling w/ coordinates","k_index"
190.917647058824,0.533917371597555,"conduct_before","sampling w/ coordinates","k_index"
223.341176470588,0.533917371597555,"conduct_before","sampling w/ coordinates","k_index"
255.764705882353,0.533917371597555,"conduct_before","sampling w/ coordinates","k_index"
288.188235294118,0.533917371597555,"conduct_before","sampling w/ coordinates","k_index"
320.611764705882,0.53098241046623,"conduct_before","sampling w/ coordinates","k_index"
353.035294117647,0.533561509619984,"conduct_before","sampling w/ coordinates","k_index"
385.458823529412,0.532389072477128,"conduct_before","sampling w/ coordinates","k_index"
417.882352941177,0.532547110122525,"conduct_before","sampling w/ coordinates","k_index"
450.305882352941,0.523952518469068,"conduct_before","sampling w/ coordinates","k_index"
482.729411764706,0.530595238768944,"conduct_before","sampling w/ coordinates","k_index"
515.152941176471,0.530595238768944,"conduct_before","sampling w/ coordinates","k_index"
547.576470588235,0.530269612661666,"conduct_before","sampling w/ coordinates","k_index"
580,0.530269612661666,"conduct_before","sampling w/ coordinates","k_index"
