"dist_w","yhat","predictors","model","index"
0.2,660.07040026568,"dist_w","sampling w/o coordinates","abundance"
0.826,640.949354157932,"dist_w","sampling w/o coordinates","abundance"
1.452,784.23677039492,"dist_w","sampling w/o coordinates","abundance"
2.078,868.651547459589,"dist_w","sampling w/o coordinates","abundance"
2.704,884.664220519688,"dist_w","sampling w/o coordinates","abundance"
3.33,886.99370269499,"dist_w","sampling w/o coordinates","abundance"
3.956,858.604735498843,"dist_w","sampling w/o coordinates","abundance"
4.582,813.341591897218,"dist_w","sampling w/o coordinates","abundance"
5.208,814.789192282635,"dist_w","sampling w/o coordinates","abundance"
5.834,810.088180675023,"dist_w","sampling w/o coordinates","abundance"
6.46,770.017403405646,"dist_w","sampling w/o coordinates","abundance"
7.086,750.854557925376,"dist_w","sampling w/o coordinates","abundance"
7.712,759.295809268951,"dist_w","sampling w/o coordinates","abundance"
8.338,742.549923316292,"dist_w","sampling w/o coordinates","abundance"
8.964,724.18032907403,"dist_w","sampling w/o coordinates","abundance"
9.59,686.958467787591,"dist_w","sampling w/o coordinates","abundance"
10.216,665.551718532175,"dist_w","sampling w/o coordinates","abundance"
10.842,622.012196561565,"dist_w","sampling w/o coordinates","abundance"
11.468,634.676295304644,"dist_w","sampling w/o coordinates","abundance"
12.094,643.890617512275,"dist_w","sampling w/o coordinates","abundance"
12.72,650.134862317771,"dist_w","sampling w/o coordinates","abundance"
13.346,650.377783731814,"dist_w","sampling w/o coordinates","abundance"
13.972,665.903865993023,"dist_w","sampling w/o coordinates","abundance"
14.598,662.566374351149,"dist_w","sampling w/o coordinates","abundance"
15.224,653.599727723909,"dist_w","sampling w/o coordinates","abundance"
15.85,651.365092042564,"dist_w","sampling w/o coordinates","abundance"
16.476,649.027660148731,"dist_w","sampling w/o coordinates","abundance"
17.102,639.924769525943,"dist_w","sampling w/o coordinates","abundance"
17.728,629.129255930583,"dist_w","sampling w/o coordinates","abundance"
18.354,626.041571444359,"dist_w","sampling w/o coordinates","abundance"
18.98,624.877774846727,"dist_w","sampling w/o coordinates","abundance"
19.606,621.582049770632,"dist_w","sampling w/o coordinates","abundance"
20.232,621.085018849027,"dist_w","sampling w/o coordinates","abundance"
20.858,619.987012517625,"dist_w","sampling w/o coordinates","abundance"
21.484,625.344567824101,"dist_w","sampling w/o coordinates","abundance"
22.11,645.528278468312,"dist_w","sampling w/o coordinates","abundance"
22.736,659.255931950998,"dist_w","sampling w/o coordinates","abundance"
23.362,659.255931950998,"dist_w","sampling w/o coordinates","abundance"
23.988,659.255931950998,"dist_w","sampling w/o coordinates","abundance"
24.614,659.255931950998,"dist_w","sampling w/o coordinates","abundance"
25.24,659.032987580783,"dist_w","sampling w/o coordinates","abundance"
25.866,659.032987580783,"dist_w","sampling w/o coordinates","abundance"
26.492,659.032987580783,"dist_w","sampling w/o coordinates","abundance"
27.118,659.032987580783,"dist_w","sampling w/o coordinates","abundance"
27.744,659.032987580783,"dist_w","sampling w/o coordinates","abundance"
28.37,659.032987580783,"dist_w","sampling w/o coordinates","abundance"
28.996,659.032987580783,"dist_w","sampling w/o coordinates","abundance"
29.622,659.032987580783,"dist_w","sampling w/o coordinates","abundance"
30.248,659.032987580783,"dist_w","sampling w/o coordinates","abundance"
30.874,659.032987580783,"dist_w","sampling w/o coordinates","abundance"
31.5,659.032987580783,"dist_w","sampling w/o coordinates","abundance"
