"dist_w","yhat","predictors","model","index"
0.2,870.469256484154,"dist_w","sampling w/o coordinates","abundance"
0.826,772.498256932419,"dist_w","sampling w/o coordinates","abundance"
1.452,844.778764185506,"dist_w","sampling w/o coordinates","abundance"
2.078,849.364393043531,"dist_w","sampling w/o coordinates","abundance"
2.704,838.219451531185,"dist_w","sampling w/o coordinates","abundance"
3.33,841.986099679333,"dist_w","sampling w/o coordinates","abundance"
3.956,836.985912510021,"dist_w","sampling w/o coordinates","abundance"
4.582,834.558014979157,"dist_w","sampling w/o coordinates","abundance"
5.208,824.700941985329,"dist_w","sampling w/o coordinates","abundance"
5.834,819.735253713725,"dist_w","sampling w/o coordinates","abundance"
6.46,804.97251400179,"dist_w","sampling w/o coordinates","abundance"
7.086,795.210300112901,"dist_w","sampling w/o coordinates","abundance"
7.712,789.715212149939,"dist_w","sampling w/o coordinates","abundance"
8.338,786.237374186976,"dist_w","sampling w/o coordinates","abundance"
8.964,771.610240236358,"dist_w","sampling w/o coordinates","abundance"
9.59,764.166613913607,"dist_w","sampling w/o coordinates","abundance"
10.216,748.239343851879,"dist_w","sampling w/o coordinates","abundance"
10.842,739.43320496299,"dist_w","sampling w/o coordinates","abundance"
11.468,731.923342617311,"dist_w","sampling w/o coordinates","abundance"
12.094,733.914287061755,"dist_w","sampling w/o coordinates","abundance"
12.72,735.898518543237,"dist_w","sampling w/o coordinates","abundance"
13.346,736.366990765459,"dist_w","sampling w/o coordinates","abundance"
13.972,736.196370395088,"dist_w","sampling w/o coordinates","abundance"
14.598,737.245830271632,"dist_w","sampling w/o coordinates","abundance"
15.224,731.025692925953,"dist_w","sampling w/o coordinates","abundance"
15.85,727.589216074101,"dist_w","sampling w/o coordinates","abundance"
16.476,727.661540148175,"dist_w","sampling w/o coordinates","abundance"
17.102,727.873745395088,"dist_w","sampling w/o coordinates","abundance"
17.728,731.971041691385,"dist_w","sampling w/o coordinates","abundance"
18.354,731.973129654348,"dist_w","sampling w/o coordinates","abundance"
18.98,731.524187987681,"dist_w","sampling w/o coordinates","abundance"
19.606,731.285718851879,"dist_w","sampling w/o coordinates","abundance"
20.232,734.108047555582,"dist_w","sampling w/o coordinates","abundance"
20.858,734.182996629656,"dist_w","sampling w/o coordinates","abundance"
21.484,739.03770033336,"dist_w","sampling w/o coordinates","abundance"
22.11,744.874089222249,"dist_w","sampling w/o coordinates","abundance"
22.736,748.25545496299,"dist_w","sampling w/o coordinates","abundance"
23.362,748.104191074101,"dist_w","sampling w/o coordinates","abundance"
23.988,748.104191074101,"dist_w","sampling w/o coordinates","abundance"
24.614,747.575265148175,"dist_w","sampling w/o coordinates","abundance"
25.24,747.423876259286,"dist_w","sampling w/o coordinates","abundance"
25.866,747.423876259286,"dist_w","sampling w/o coordinates","abundance"
26.492,747.299468851879,"dist_w","sampling w/o coordinates","abundance"
27.118,746.838894777805,"dist_w","sampling w/o coordinates","abundance"
27.744,746.838894777805,"dist_w","sampling w/o coordinates","abundance"
28.37,746.838894777805,"dist_w","sampling w/o coordinates","abundance"
28.996,746.838894777805,"dist_w","sampling w/o coordinates","abundance"
29.622,746.838894777805,"dist_w","sampling w/o coordinates","abundance"
30.248,746.838894777805,"dist_w","sampling w/o coordinates","abundance"
30.874,746.838894777805,"dist_w","sampling w/o coordinates","abundance"
31.5,746.838894777805,"dist_w","sampling w/o coordinates","abundance"
