"dist_w","yhat","predictors","model","index"
0.2,775.750384057971,"dist_w","sampling w/o coordinates","abundance"
0.826,730.076891304348,"dist_w","sampling w/o coordinates","abundance"
1.452,815.840173913043,"dist_w","sampling w/o coordinates","abundance"
2.078,839.21597826087,"dist_w","sampling w/o coordinates","abundance"
2.704,834.946586956522,"dist_w","sampling w/o coordinates","abundance"
3.33,833.779869565217,"dist_w","sampling w/o coordinates","abundance"
3.956,818.829565217391,"dist_w","sampling w/o coordinates","abundance"
4.582,815.887949275362,"dist_w","sampling w/o coordinates","abundance"
5.208,816.965355072464,"dist_w","sampling w/o coordinates","abundance"
5.834,812.239637681159,"dist_w","sampling w/o coordinates","abundance"
6.46,803.150239130435,"dist_w","sampling w/o coordinates","abundance"
7.086,806.510014492754,"dist_w","sampling w/o coordinates","abundance"
7.712,807.461971014493,"dist_w","sampling w/o coordinates","abundance"
8.338,796.850065217391,"dist_w","sampling w/o coordinates","abundance"
8.964,793.906775362319,"dist_w","sampling w/o coordinates","abundance"
9.59,777.335333333333,"dist_w","sampling w/o coordinates","abundance"
10.216,762.151862318841,"dist_w","sampling w/o coordinates","abundance"
10.842,760.441557971015,"dist_w","sampling w/o coordinates","abundance"
11.468,757.850855072464,"dist_w","sampling w/o coordinates","abundance"
12.094,759.25597826087,"dist_w","sampling w/o coordinates","abundance"
12.72,760.793369565217,"dist_w","sampling w/o coordinates","abundance"
13.346,760.720746376812,"dist_w","sampling w/o coordinates","abundance"
13.972,760.756536231884,"dist_w","sampling w/o coordinates","abundance"
14.598,760.580282608696,"dist_w","sampling w/o coordinates","abundance"
15.224,760.25052173913,"dist_w","sampling w/o coordinates","abundance"
15.85,761.269543478261,"dist_w","sampling w/o coordinates","abundance"
16.476,761.611456521739,"dist_w","sampling w/o coordinates","abundance"
17.102,761.674137681159,"dist_w","sampling w/o coordinates","abundance"
17.728,763.779144927536,"dist_w","sampling w/o coordinates","abundance"
18.354,763.823231884058,"dist_w","sampling w/o coordinates","abundance"
18.98,763.909202898551,"dist_w","sampling w/o coordinates","abundance"
19.606,763.73934057971,"dist_w","sampling w/o coordinates","abundance"
20.232,764.217094202899,"dist_w","sampling w/o coordinates","abundance"
20.858,766.079333333333,"dist_w","sampling w/o coordinates","abundance"
21.484,771.66452173913,"dist_w","sampling w/o coordinates","abundance"
22.11,792.95984057971,"dist_w","sampling w/o coordinates","abundance"
22.736,805.513934782609,"dist_w","sampling w/o coordinates","abundance"
23.362,805.440884057971,"dist_w","sampling w/o coordinates","abundance"
23.988,805.44215942029,"dist_w","sampling w/o coordinates","abundance"
24.614,805.437956521739,"dist_w","sampling w/o coordinates","abundance"
25.24,805.400884057971,"dist_w","sampling w/o coordinates","abundance"
25.866,805.400884057971,"dist_w","sampling w/o coordinates","abundance"
26.492,805.27852173913,"dist_w","sampling w/o coordinates","abundance"
27.118,804.816652173913,"dist_w","sampling w/o coordinates","abundance"
27.744,804.816652173913,"dist_w","sampling w/o coordinates","abundance"
28.37,804.816652173913,"dist_w","sampling w/o coordinates","abundance"
28.996,804.816652173913,"dist_w","sampling w/o coordinates","abundance"
29.622,804.816652173913,"dist_w","sampling w/o coordinates","abundance"
30.248,804.816652173913,"dist_w","sampling w/o coordinates","abundance"
30.874,804.816652173913,"dist_w","sampling w/o coordinates","abundance"
31.5,804.816652173913,"dist_w","sampling w/o coordinates","abundance"
