"dist_w","yhat","predictors","model","index"
0.2,0.566516933773739,"dist_w_c","sampling w/o coordinates","k_index"
0.826,0.54834630113581,"dist_w_c","sampling w/o coordinates","k_index"
1.452,0.561545964384425,"dist_w_c","sampling w/o coordinates","k_index"
2.078,0.556493714559769,"dist_w_c","sampling w/o coordinates","k_index"
2.704,0.562629601391761,"dist_w_c","sampling w/o coordinates","k_index"
3.33,0.610512856070114,"dist_w_c","sampling w/o coordinates","k_index"
3.956,0.582342094967844,"dist_w_c","sampling w/o coordinates","k_index"
4.582,0.566721381560521,"dist_w_c","sampling w/o coordinates","k_index"
5.208,0.562372041441014,"dist_w_c","sampling w/o coordinates","k_index"
5.834,0.564162715587873,"dist_w_c","sampling w/o coordinates","k_index"
6.46,0.544636547589186,"dist_w_c","sampling w/o coordinates","k_index"
7.086,0.544149885448438,"dist_w_c","sampling w/o coordinates","k_index"
7.712,0.543255433818136,"dist_w_c","sampling w/o coordinates","k_index"
8.338,0.531056827156926,"dist_w_c","sampling w/o coordinates","k_index"
8.964,0.529427933371693,"dist_w_c","sampling w/o coordinates","k_index"
9.59,0.530362745409534,"dist_w_c","sampling w/o coordinates","k_index"
10.216,0.500855432215916,"dist_w_c","sampling w/o coordinates","k_index"
10.842,0.489665035192139,"dist_w_c","sampling w/o coordinates","k_index"
11.468,0.490972742289845,"dist_w_c","sampling w/o coordinates","k_index"
12.094,0.523514908496746,"dist_w_c","sampling w/o coordinates","k_index"
12.72,0.521083939474656,"dist_w_c","sampling w/o coordinates","k_index"
13.346,0.521521652976145,"dist_w_c","sampling w/o coordinates","k_index"
13.972,0.533643584563464,"dist_w_c","sampling w/o coordinates","k_index"
14.598,0.529886802509967,"dist_w_c","sampling w/o coordinates","k_index"
15.224,0.530110485136401,"dist_w_c","sampling w/o coordinates","k_index"
15.85,0.5287888078154,"dist_w_c","sampling w/o coordinates","k_index"
16.476,0.528035286375308,"dist_w_c","sampling w/o coordinates","k_index"
17.102,0.528588301616896,"dist_w_c","sampling w/o coordinates","k_index"
17.728,0.527959685873888,"dist_w_c","sampling w/o coordinates","k_index"
18.354,0.531844070964101,"dist_w_c","sampling w/o coordinates","k_index"
18.98,0.532668730163056,"dist_w_c","sampling w/o coordinates","k_index"
19.606,0.534488916667043,"dist_w_c","sampling w/o coordinates","k_index"
20.232,0.502764719045734,"dist_w_c","sampling w/o coordinates","k_index"
20.858,0.502525231564768,"dist_w_c","sampling w/o coordinates","k_index"
21.484,0.502525231564768,"dist_w_c","sampling w/o coordinates","k_index"
22.11,0.561059716441905,"dist_w_c","sampling w/o coordinates","k_index"
22.736,0.561059716441905,"dist_w_c","sampling w/o coordinates","k_index"
23.362,0.561059716441905,"dist_w_c","sampling w/o coordinates","k_index"
23.988,0.561059716441905,"dist_w_c","sampling w/o coordinates","k_index"
24.614,0.561040057275154,"dist_w_c","sampling w/o coordinates","k_index"
25.24,0.561040057275154,"dist_w_c","sampling w/o coordinates","k_index"
25.866,0.561040057275154,"dist_w_c","sampling w/o coordinates","k_index"
26.492,0.561040057275154,"dist_w_c","sampling w/o coordinates","k_index"
27.118,0.561040057275154,"dist_w_c","sampling w/o coordinates","k_index"
27.744,0.561040057275154,"dist_w_c","sampling w/o coordinates","k_index"
28.37,0.561040057275154,"dist_w_c","sampling w/o coordinates","k_index"
28.996,0.561040057275154,"dist_w_c","sampling w/o coordinates","k_index"
29.622,0.561040057275154,"dist_w_c","sampling w/o coordinates","k_index"
30.248,0.561040057275154,"dist_w_c","sampling w/o coordinates","k_index"
30.874,0.561040057275154,"dist_w_c","sampling w/o coordinates","k_index"
31.5,0.561040057275154,"dist_w_c","sampling w/o coordinates","k_index"
