"dist_w","yhat","predictors","model","index"
0.2,0.563119817794628,"dist_w_c","sampling w/o coordinates","k_index"
0.826,0.552561088353051,"dist_w_c","sampling w/o coordinates","k_index"
1.452,0.555534010690516,"dist_w_c","sampling w/o coordinates","k_index"
2.078,0.578816372711487,"dist_w_c","sampling w/o coordinates","k_index"
2.704,0.559596453284569,"dist_w_c","sampling w/o coordinates","k_index"
3.33,0.566011994973653,"dist_w_c","sampling w/o coordinates","k_index"
3.956,0.560110430606545,"dist_w_c","sampling w/o coordinates","k_index"
4.582,0.539589474359269,"dist_w_c","sampling w/o coordinates","k_index"
5.208,0.5452886796772,"dist_w_c","sampling w/o coordinates","k_index"
5.834,0.518948877414611,"dist_w_c","sampling w/o coordinates","k_index"
6.46,0.53740726075894,"dist_w_c","sampling w/o coordinates","k_index"
7.086,0.544497221290065,"dist_w_c","sampling w/o coordinates","k_index"
7.712,0.537710813917565,"dist_w_c","sampling w/o coordinates","k_index"
8.338,0.539725232451154,"dist_w_c","sampling w/o coordinates","k_index"
8.964,0.541741576541595,"dist_w_c","sampling w/o coordinates","k_index"
9.59,0.526493975237288,"dist_w_c","sampling w/o coordinates","k_index"
10.216,0.504466635554477,"dist_w_c","sampling w/o coordinates","k_index"
10.842,0.489032748534724,"dist_w_c","sampling w/o coordinates","k_index"
11.468,0.490583925059548,"dist_w_c","sampling w/o coordinates","k_index"
12.094,0.509575797589841,"dist_w_c","sampling w/o coordinates","k_index"
12.72,0.508430816509105,"dist_w_c","sampling w/o coordinates","k_index"
13.346,0.511792406301807,"dist_w_c","sampling w/o coordinates","k_index"
13.972,0.506914117683967,"dist_w_c","sampling w/o coordinates","k_index"
14.598,0.522283186032264,"dist_w_c","sampling w/o coordinates","k_index"
15.224,0.504550681966874,"dist_w_c","sampling w/o coordinates","k_index"
15.85,0.505351736451741,"dist_w_c","sampling w/o coordinates","k_index"
16.476,0.511401687231329,"dist_w_c","sampling w/o coordinates","k_index"
17.102,0.511401687231329,"dist_w_c","sampling w/o coordinates","k_index"
17.728,0.507106590464159,"dist_w_c","sampling w/o coordinates","k_index"
18.354,0.503365052794969,"dist_w_c","sampling w/o coordinates","k_index"
18.98,0.503365052794969,"dist_w_c","sampling w/o coordinates","k_index"
19.606,0.501998198805032,"dist_w_c","sampling w/o coordinates","k_index"
20.232,0.501998198805032,"dist_w_c","sampling w/o coordinates","k_index"
20.858,0.501998198805032,"dist_w_c","sampling w/o coordinates","k_index"
21.484,0.501998198805032,"dist_w_c","sampling w/o coordinates","k_index"
22.11,0.525129895381354,"dist_w_c","sampling w/o coordinates","k_index"
22.736,0.525129895381354,"dist_w_c","sampling w/o coordinates","k_index"
23.362,0.525129895381354,"dist_w_c","sampling w/o coordinates","k_index"
23.988,0.525129895381354,"dist_w_c","sampling w/o coordinates","k_index"
24.614,0.525129895381354,"dist_w_c","sampling w/o coordinates","k_index"
25.24,0.525129895381354,"dist_w_c","sampling w/o coordinates","k_index"
25.866,0.525129895381354,"dist_w_c","sampling w/o coordinates","k_index"
26.492,0.51943432374133,"dist_w_c","sampling w/o coordinates","k_index"
27.118,0.489559976591004,"dist_w_c","sampling w/o coordinates","k_index"
27.744,0.489559976591004,"dist_w_c","sampling w/o coordinates","k_index"
28.37,0.489559976591004,"dist_w_c","sampling w/o coordinates","k_index"
28.996,0.489559976591004,"dist_w_c","sampling w/o coordinates","k_index"
29.622,0.489559976591004,"dist_w_c","sampling w/o coordinates","k_index"
30.248,0.489559976591004,"dist_w_c","sampling w/o coordinates","k_index"
30.874,0.489559976591004,"dist_w_c","sampling w/o coordinates","k_index"
31.5,0.489559976591004,"dist_w_c","sampling w/o coordinates","k_index"
