"dist_w","yhat","predictors","model","index"
0.2,677.375299562579,"dist_w","all predictors w/o coordinates","abundance"
0.826,526.15233495054,"dist_w","all predictors w/o coordinates","abundance"
1.452,761.342908043792,"dist_w","all predictors w/o coordinates","abundance"
2.078,847.922241654949,"dist_w","all predictors w/o coordinates","abundance"
2.704,871.33093643534,"dist_w","all predictors w/o coordinates","abundance"
3.33,869.959846933683,"dist_w","all predictors w/o coordinates","abundance"
3.956,813.942816053612,"dist_w","all predictors w/o coordinates","abundance"
4.582,798.939889341161,"dist_w","all predictors w/o coordinates","abundance"
5.208,819.03204664588,"dist_w","all predictors w/o coordinates","abundance"
5.834,804.18049612394,"dist_w","all predictors w/o coordinates","abundance"
6.46,817.897034581157,"dist_w","all predictors w/o coordinates","abundance"
7.086,804.14894902231,"dist_w","all predictors w/o coordinates","abundance"
7.712,764.213699932979,"dist_w","all predictors w/o coordinates","abundance"
8.338,743.700971468635,"dist_w","all predictors w/o coordinates","abundance"
8.964,744.797627232213,"dist_w","all predictors w/o coordinates","abundance"
9.59,662.135276132736,"dist_w","all predictors w/o coordinates","abundance"
10.216,685.977418365686,"dist_w","all predictors w/o coordinates","abundance"
10.842,539.841197788715,"dist_w","all predictors w/o coordinates","abundance"
11.468,652.977515939353,"dist_w","all predictors w/o coordinates","abundance"
12.094,602.533054437974,"dist_w","all predictors w/o coordinates","abundance"
12.72,618.218060486559,"dist_w","all predictors w/o coordinates","abundance"
13.346,619.495772021404,"dist_w","all predictors w/o coordinates","abundance"
13.972,646.669317829868,"dist_w","all predictors w/o coordinates","abundance"
14.598,638.454564273357,"dist_w","all predictors w/o coordinates","abundance"
15.224,633.949093971563,"dist_w","all predictors w/o coordinates","abundance"
15.85,623.577271965967,"dist_w","all predictors w/o coordinates","abundance"
16.476,586.35584327449,"dist_w","all predictors w/o coordinates","abundance"
17.102,587.053376220275,"dist_w","all predictors w/o coordinates","abundance"
17.728,577.610025257304,"dist_w","all predictors w/o coordinates","abundance"
18.354,583.3109490392,"dist_w","all predictors w/o coordinates","abundance"
18.98,583.232502329609,"dist_w","all predictors w/o coordinates","abundance"
19.606,584.64403694393,"dist_w","all predictors w/o coordinates","abundance"
20.232,584.199875856655,"dist_w","all predictors w/o coordinates","abundance"
20.858,610.614333004191,"dist_w","all predictors w/o coordinates","abundance"
21.484,598.137436357961,"dist_w","all predictors w/o coordinates","abundance"
22.11,596.301501331122,"dist_w","all predictors w/o coordinates","abundance"
22.736,595.227201914442,"dist_w","all predictors w/o coordinates","abundance"
23.362,595.233149103496,"dist_w","all predictors w/o coordinates","abundance"
23.988,595.222812600758,"dist_w","all predictors w/o coordinates","abundance"
24.614,595.222812600758,"dist_w","all predictors w/o coordinates","abundance"
25.24,593.254450645568,"dist_w","all predictors w/o coordinates","abundance"
25.866,593.254450645568,"dist_w","all predictors w/o coordinates","abundance"
26.492,558.108432884234,"dist_w","all predictors w/o coordinates","abundance"
27.118,504.045554698377,"dist_w","all predictors w/o coordinates","abundance"
27.744,504.045554698377,"dist_w","all predictors w/o coordinates","abundance"
28.37,504.045554698377,"dist_w","all predictors w/o coordinates","abundance"
28.996,504.045554698377,"dist_w","all predictors w/o coordinates","abundance"
29.622,504.045554698377,"dist_w","all predictors w/o coordinates","abundance"
30.248,504.045554698377,"dist_w","all predictors w/o coordinates","abundance"
30.874,504.045554698377,"dist_w","all predictors w/o coordinates","abundance"
31.5,504.045554698377,"dist_w","all predictors w/o coordinates","abundance"
