"dist_w","yhat","predictors","model","index"
0.2,798.775663914784,"dist_w","all predictors w/o coordinates","abundance"
0.826,772.825380727207,"dist_w","all predictors w/o coordinates","abundance"
1.452,772.543130304944,"dist_w","all predictors w/o coordinates","abundance"
2.078,766.263938471931,"dist_w","all predictors w/o coordinates","abundance"
2.704,762.410893255882,"dist_w","all predictors w/o coordinates","abundance"
3.33,762.886688369051,"dist_w","all predictors w/o coordinates","abundance"
3.956,755.737084679463,"dist_w","all predictors w/o coordinates","abundance"
4.582,754.791465138803,"dist_w","all predictors w/o coordinates","abundance"
5.208,750.038554538755,"dist_w","all predictors w/o coordinates","abundance"
5.834,749.213742898543,"dist_w","all predictors w/o coordinates","abundance"
6.46,748.224638886197,"dist_w","all predictors w/o coordinates","abundance"
7.086,747.849979913534,"dist_w","all predictors w/o coordinates","abundance"
7.712,746.834866380771,"dist_w","all predictors w/o coordinates","abundance"
8.338,744.421678241441,"dist_w","all predictors w/o coordinates","abundance"
8.964,744.601127425744,"dist_w","all predictors w/o coordinates","abundance"
9.59,743.196032518337,"dist_w","all predictors w/o coordinates","abundance"
10.216,741.944399493645,"dist_w","all predictors w/o coordinates","abundance"
10.842,741.176374030682,"dist_w","all predictors w/o coordinates","abundance"
11.468,740.030095789942,"dist_w","all predictors w/o coordinates","abundance"
12.094,739.228797950435,"dist_w","all predictors w/o coordinates","abundance"
12.72,738.790626654139,"dist_w","all predictors w/o coordinates","abundance"
13.346,737.864805886943,"dist_w","all predictors w/o coordinates","abundance"
13.972,736.978857738795,"dist_w","all predictors w/o coordinates","abundance"
14.598,736.830455886943,"dist_w","all predictors w/o coordinates","abundance"
15.224,735.491057584474,"dist_w","all predictors w/o coordinates","abundance"
15.85,735.500124251141,"dist_w","all predictors w/o coordinates","abundance"
16.476,735.419178109166,"dist_w","all predictors w/o coordinates","abundance"
17.102,735.496262985709,"dist_w","all predictors w/o coordinates","abundance"
17.728,735.496262985709,"dist_w","all predictors w/o coordinates","abundance"
18.354,735.531337059783,"dist_w","all predictors w/o coordinates","abundance"
18.98,735.81474446719,"dist_w","all predictors w/o coordinates","abundance"
19.606,735.81474446719,"dist_w","all predictors w/o coordinates","abundance"
20.232,736.482633356079,"dist_w","all predictors w/o coordinates","abundance"
20.858,736.43056159682,"dist_w","all predictors w/o coordinates","abundance"
21.484,736.653120238795,"dist_w","all predictors w/o coordinates","abundance"
22.11,738.047460670894,"dist_w","all predictors w/o coordinates","abundance"
22.736,738.197505115338,"dist_w","all predictors w/o coordinates","abundance"
23.362,738.197505115338,"dist_w","all predictors w/o coordinates","abundance"
23.988,738.173222707931,"dist_w","all predictors w/o coordinates","abundance"
24.614,737.435956834915,"dist_w","all predictors w/o coordinates","abundance"
25.24,737.435956834915,"dist_w","all predictors w/o coordinates","abundance"
25.866,737.435956834915,"dist_w","all predictors w/o coordinates","abundance"
26.492,737.435956834915,"dist_w","all predictors w/o coordinates","abundance"
27.118,737.435956834915,"dist_w","all predictors w/o coordinates","abundance"
27.744,737.435956834915,"dist_w","all predictors w/o coordinates","abundance"
28.37,737.435956834915,"dist_w","all predictors w/o coordinates","abundance"
28.996,737.435956834915,"dist_w","all predictors w/o coordinates","abundance"
29.622,737.435956834915,"dist_w","all predictors w/o coordinates","abundance"
30.248,737.435956834915,"dist_w","all predictors w/o coordinates","abundance"
30.874,737.435956834915,"dist_w","all predictors w/o coordinates","abundance"
31.5,737.435956834915,"dist_w","all predictors w/o coordinates","abundance"
