"dist_w","yhat","predictors","model","index"
0.2,0.571782596823242,"dist_w","sampling w/o coordinates","k_index"
0.826,0.537538510643774,"dist_w","sampling w/o coordinates","k_index"
1.452,0.547202853278981,"dist_w","sampling w/o coordinates","k_index"
2.078,0.551981435950707,"dist_w","sampling w/o coordinates","k_index"
2.704,0.547625097618611,"dist_w","sampling w/o coordinates","k_index"
3.33,0.567981084601747,"dist_w","sampling w/o coordinates","k_index"
3.956,0.546315153871614,"dist_w","sampling w/o coordinates","k_index"
4.582,0.546706889786206,"dist_w","sampling w/o coordinates","k_index"
5.208,0.543040609784873,"dist_w","sampling w/o coordinates","k_index"
5.834,0.535649269224922,"dist_w","sampling w/o coordinates","k_index"
6.46,0.533612123397351,"dist_w","sampling w/o coordinates","k_index"
7.086,0.535818361177075,"dist_w","sampling w/o coordinates","k_index"
7.712,0.540060797102611,"dist_w","sampling w/o coordinates","k_index"
8.338,0.530597773570291,"dist_w","sampling w/o coordinates","k_index"
8.964,0.526543392368627,"dist_w","sampling w/o coordinates","k_index"
9.59,0.514961514035585,"dist_w","sampling w/o coordinates","k_index"
10.216,0.513384453641872,"dist_w","sampling w/o coordinates","k_index"
10.842,0.474370511779044,"dist_w","sampling w/o coordinates","k_index"
11.468,0.50534090216927,"dist_w","sampling w/o coordinates","k_index"
12.094,0.525319083179865,"dist_w","sampling w/o coordinates","k_index"
12.72,0.524764346200283,"dist_w","sampling w/o coordinates","k_index"
13.346,0.527466507352613,"dist_w","sampling w/o coordinates","k_index"
13.972,0.527862355733911,"dist_w","sampling w/o coordinates","k_index"
14.598,0.525676352420339,"dist_w","sampling w/o coordinates","k_index"
15.224,0.523641856318271,"dist_w","sampling w/o coordinates","k_index"
15.85,0.536378544927747,"dist_w","sampling w/o coordinates","k_index"
16.476,0.536125434769524,"dist_w","sampling w/o coordinates","k_index"
17.102,0.53588236068134,"dist_w","sampling w/o coordinates","k_index"
17.728,0.525933336276837,"dist_w","sampling w/o coordinates","k_index"
18.354,0.525457670343005,"dist_w","sampling w/o coordinates","k_index"
18.98,0.528396487287763,"dist_w","sampling w/o coordinates","k_index"
19.606,0.529414230198772,"dist_w","sampling w/o coordinates","k_index"
20.232,0.529414230198772,"dist_w","sampling w/o coordinates","k_index"
20.858,0.529414230198772,"dist_w","sampling w/o coordinates","k_index"
21.484,0.529414230198772,"dist_w","sampling w/o coordinates","k_index"
22.11,0.529414230198772,"dist_w","sampling w/o coordinates","k_index"
22.736,0.53230770525557,"dist_w","sampling w/o coordinates","k_index"
23.362,0.53230770525557,"dist_w","sampling w/o coordinates","k_index"
23.988,0.53230770525557,"dist_w","sampling w/o coordinates","k_index"
24.614,0.53230770525557,"dist_w","sampling w/o coordinates","k_index"
25.24,0.53230770525557,"dist_w","sampling w/o coordinates","k_index"
25.866,0.53230770525557,"dist_w","sampling w/o coordinates","k_index"
26.492,0.53230770525557,"dist_w","sampling w/o coordinates","k_index"
27.118,0.53230770525557,"dist_w","sampling w/o coordinates","k_index"
27.744,0.53230770525557,"dist_w","sampling w/o coordinates","k_index"
28.37,0.53230770525557,"dist_w","sampling w/o coordinates","k_index"
28.996,0.53230770525557,"dist_w","sampling w/o coordinates","k_index"
29.622,0.53230770525557,"dist_w","sampling w/o coordinates","k_index"
30.248,0.53230770525557,"dist_w","sampling w/o coordinates","k_index"
30.874,0.53230770525557,"dist_w","sampling w/o coordinates","k_index"
31.5,0.53230770525557,"dist_w","sampling w/o coordinates","k_index"
