"dist_w","yhat","predictors","model","index"
0.2,0.147375019717678,"dist_w","sampling w/o coordinates","rel_abundance"
0.826,0.151074485210921,"dist_w","sampling w/o coordinates","rel_abundance"
1.452,0.179362570855409,"dist_w","sampling w/o coordinates","rel_abundance"
2.078,0.194168783072635,"dist_w","sampling w/o coordinates","rel_abundance"
2.704,0.197692984110251,"dist_w","sampling w/o coordinates","rel_abundance"
3.33,0.20415551212426,"dist_w","sampling w/o coordinates","rel_abundance"
3.956,0.203915131797143,"dist_w","sampling w/o coordinates","rel_abundance"
4.582,0.212363967310934,"dist_w","sampling w/o coordinates","rel_abundance"
5.208,0.241448706519225,"dist_w","sampling w/o coordinates","rel_abundance"
5.834,0.239868686355637,"dist_w","sampling w/o coordinates","rel_abundance"
6.46,0.240015133112362,"dist_w","sampling w/o coordinates","rel_abundance"
7.086,0.252014683698729,"dist_w","sampling w/o coordinates","rel_abundance"
7.712,0.213571132114665,"dist_w","sampling w/o coordinates","rel_abundance"
8.338,0.235771114434338,"dist_w","sampling w/o coordinates","rel_abundance"
8.964,0.23156167499964,"dist_w","sampling w/o coordinates","rel_abundance"
9.59,0.225050685276021,"dist_w","sampling w/o coordinates","rel_abundance"
10.216,0.224774695234373,"dist_w","sampling w/o coordinates","rel_abundance"
10.842,0.205502805721852,"dist_w","sampling w/o coordinates","rel_abundance"
11.468,0.211050295800753,"dist_w","sampling w/o coordinates","rel_abundance"
12.094,0.214058434370942,"dist_w","sampling w/o coordinates","rel_abundance"
12.72,0.212015401642429,"dist_w","sampling w/o coordinates","rel_abundance"
13.346,0.217153954127318,"dist_w","sampling w/o coordinates","rel_abundance"
13.972,0.217047353141833,"dist_w","sampling w/o coordinates","rel_abundance"
14.598,0.224679471271119,"dist_w","sampling w/o coordinates","rel_abundance"
15.224,0.220215497344422,"dist_w","sampling w/o coordinates","rel_abundance"
15.85,0.2178275743782,"dist_w","sampling w/o coordinates","rel_abundance"
16.476,0.217118483159499,"dist_w","sampling w/o coordinates","rel_abundance"
17.102,0.216880138107218,"dist_w","sampling w/o coordinates","rel_abundance"
17.728,0.217070246554837,"dist_w","sampling w/o coordinates","rel_abundance"
18.354,0.223514787006222,"dist_w","sampling w/o coordinates","rel_abundance"
18.98,0.224274269677403,"dist_w","sampling w/o coordinates","rel_abundance"
19.606,0.224925026015916,"dist_w","sampling w/o coordinates","rel_abundance"
20.232,0.225003215378134,"dist_w","sampling w/o coordinates","rel_abundance"
20.858,0.225052202803836,"dist_w","sampling w/o coordinates","rel_abundance"
21.484,0.220598479525454,"dist_w","sampling w/o coordinates","rel_abundance"
22.11,0.220392652394261,"dist_w","sampling w/o coordinates","rel_abundance"
22.736,0.25073950147719,"dist_w","sampling w/o coordinates","rel_abundance"
23.362,0.252367446655547,"dist_w","sampling w/o coordinates","rel_abundance"
23.988,0.252367446655547,"dist_w","sampling w/o coordinates","rel_abundance"
24.614,0.252638373334248,"dist_w","sampling w/o coordinates","rel_abundance"
25.24,0.252638373334248,"dist_w","sampling w/o coordinates","rel_abundance"
25.866,0.252638373334248,"dist_w","sampling w/o coordinates","rel_abundance"
26.492,0.252740291493166,"dist_w","sampling w/o coordinates","rel_abundance"
27.118,0.252740291493166,"dist_w","sampling w/o coordinates","rel_abundance"
27.744,0.252740291493166,"dist_w","sampling w/o coordinates","rel_abundance"
28.37,0.252740291493166,"dist_w","sampling w/o coordinates","rel_abundance"
28.996,0.252740291493166,"dist_w","sampling w/o coordinates","rel_abundance"
29.622,0.252740291493166,"dist_w","sampling w/o coordinates","rel_abundance"
30.248,0.252740291493166,"dist_w","sampling w/o coordinates","rel_abundance"
30.874,0.252740291493166,"dist_w","sampling w/o coordinates","rel_abundance"
31.5,0.252740291493166,"dist_w","sampling w/o coordinates","rel_abundance"
