"dist_w","yhat","predictors","model","index"
0.2,2.63312383879114,"dist_w","sampling w/ coordinates","shannon_index"
0.826,2.50807254899431,"dist_w","sampling w/ coordinates","shannon_index"
1.452,2.6687883845082,"dist_w","sampling w/ coordinates","shannon_index"
2.078,2.57299066886858,"dist_w","sampling w/ coordinates","shannon_index"
2.704,2.4916168898344,"dist_w","sampling w/ coordinates","shannon_index"
3.33,2.51782540176754,"dist_w","sampling w/ coordinates","shannon_index"
3.956,2.47000888969611,"dist_w","sampling w/ coordinates","shannon_index"
4.582,2.47972610272484,"dist_w","sampling w/ coordinates","shannon_index"
5.208,2.47977120553454,"dist_w","sampling w/ coordinates","shannon_index"
5.834,2.39048269233252,"dist_w","sampling w/ coordinates","shannon_index"
6.46,2.54109068780586,"dist_w","sampling w/ coordinates","shannon_index"
7.086,2.52101342131694,"dist_w","sampling w/ coordinates","shannon_index"
7.712,2.50290480435446,"dist_w","sampling w/ coordinates","shannon_index"
8.338,2.48626957461238,"dist_w","sampling w/ coordinates","shannon_index"
8.964,2.48988893973055,"dist_w","sampling w/ coordinates","shannon_index"
9.59,2.47957988538676,"dist_w","sampling w/ coordinates","shannon_index"
10.216,2.47587618631897,"dist_w","sampling w/ coordinates","shannon_index"
10.842,2.33594733421449,"dist_w","sampling w/ coordinates","shannon_index"
11.468,2.4256249571702,"dist_w","sampling w/ coordinates","shannon_index"
12.094,2.47361202110295,"dist_w","sampling w/ coordinates","shannon_index"
12.72,2.46628023780606,"dist_w","sampling w/ coordinates","shannon_index"
13.346,2.45625426523663,"dist_w","sampling w/ coordinates","shannon_index"
13.972,2.43058773178469,"dist_w","sampling w/ coordinates","shannon_index"
14.598,2.4961316993943,"dist_w","sampling w/ coordinates","shannon_index"
15.224,2.48407544637168,"dist_w","sampling w/ coordinates","shannon_index"
15.85,2.48449128811006,"dist_w","sampling w/ coordinates","shannon_index"
16.476,2.48187047319004,"dist_w","sampling w/ coordinates","shannon_index"
17.102,2.50414098178347,"dist_w","sampling w/ coordinates","shannon_index"
17.728,2.54168103690501,"dist_w","sampling w/ coordinates","shannon_index"
18.354,2.46752441819343,"dist_w","sampling w/ coordinates","shannon_index"
18.98,2.45967220273559,"dist_w","sampling w/ coordinates","shannon_index"
19.606,2.44763988256454,"dist_w","sampling w/ coordinates","shannon_index"
20.232,2.44590766948682,"dist_w","sampling w/ coordinates","shannon_index"
20.858,2.44231213242919,"dist_w","sampling w/ coordinates","shannon_index"
21.484,2.44231213242919,"dist_w","sampling w/ coordinates","shannon_index"
22.11,2.44018769312512,"dist_w","sampling w/ coordinates","shannon_index"
22.736,2.44018769312512,"dist_w","sampling w/ coordinates","shannon_index"
23.362,2.44024954398197,"dist_w","sampling w/ coordinates","shannon_index"
23.988,2.44024954398197,"dist_w","sampling w/ coordinates","shannon_index"
24.614,2.4343590710864,"dist_w","sampling w/ coordinates","shannon_index"
25.24,2.4343590710864,"dist_w","sampling w/ coordinates","shannon_index"
25.866,2.4343590710864,"dist_w","sampling w/ coordinates","shannon_index"
26.492,2.45021918602288,"dist_w","sampling w/ coordinates","shannon_index"
27.118,2.45416670589259,"dist_w","sampling w/ coordinates","shannon_index"
27.744,2.45416670589259,"dist_w","sampling w/ coordinates","shannon_index"
28.37,2.45416670589259,"dist_w","sampling w/ coordinates","shannon_index"
28.996,2.45416670589259,"dist_w","sampling w/ coordinates","shannon_index"
29.622,2.45416670589259,"dist_w","sampling w/ coordinates","shannon_index"
30.248,2.45416670589259,"dist_w","sampling w/ coordinates","shannon_index"
30.874,2.45416670589259,"dist_w","sampling w/ coordinates","shannon_index"
31.5,2.45416670589259,"dist_w","sampling w/ coordinates","shannon_index"
