"dist_w","yhat","predictors","model","index"
0.2,2.71437454996286,"dist_w","sampling w/o coordinates","shannon_index"
0.826,2.5016390554331,"dist_w","sampling w/o coordinates","shannon_index"
1.452,2.64150759908888,"dist_w","sampling w/o coordinates","shannon_index"
2.078,2.55807792864464,"dist_w","sampling w/o coordinates","shannon_index"
2.704,2.46039328613767,"dist_w","sampling w/o coordinates","shannon_index"
3.33,2.51933760209768,"dist_w","sampling w/o coordinates","shannon_index"
3.956,2.43591785825858,"dist_w","sampling w/o coordinates","shannon_index"
4.582,2.48778180024345,"dist_w","sampling w/o coordinates","shannon_index"
5.208,2.45479267423852,"dist_w","sampling w/o coordinates","shannon_index"
5.834,2.46412486742527,"dist_w","sampling w/o coordinates","shannon_index"
6.46,2.5505410883041,"dist_w","sampling w/o coordinates","shannon_index"
7.086,2.54226648513469,"dist_w","sampling w/o coordinates","shannon_index"
7.712,2.52448214570716,"dist_w","sampling w/o coordinates","shannon_index"
8.338,2.4883085460816,"dist_w","sampling w/o coordinates","shannon_index"
8.964,2.49046393889175,"dist_w","sampling w/o coordinates","shannon_index"
9.59,2.45811454135994,"dist_w","sampling w/o coordinates","shannon_index"
10.216,2.45918571312601,"dist_w","sampling w/o coordinates","shannon_index"
10.842,2.31779960170388,"dist_w","sampling w/o coordinates","shannon_index"
11.468,2.40204389041497,"dist_w","sampling w/o coordinates","shannon_index"
12.094,2.4563666078676,"dist_w","sampling w/o coordinates","shannon_index"
12.72,2.4125573487297,"dist_w","sampling w/o coordinates","shannon_index"
13.346,2.39550433257871,"dist_w","sampling w/o coordinates","shannon_index"
13.972,2.3770293229501,"dist_w","sampling w/o coordinates","shannon_index"
14.598,2.45001247624815,"dist_w","sampling w/o coordinates","shannon_index"
15.224,2.44371830744031,"dist_w","sampling w/o coordinates","shannon_index"
15.85,2.44371830744031,"dist_w","sampling w/o coordinates","shannon_index"
16.476,2.47374908713607,"dist_w","sampling w/o coordinates","shannon_index"
17.102,2.46565168305016,"dist_w","sampling w/o coordinates","shannon_index"
17.728,2.49506935678181,"dist_w","sampling w/o coordinates","shannon_index"
18.354,2.43074951726184,"dist_w","sampling w/o coordinates","shannon_index"
18.98,2.42568804370239,"dist_w","sampling w/o coordinates","shannon_index"
19.606,2.39147088756026,"dist_w","sampling w/o coordinates","shannon_index"
20.232,2.39065404453625,"dist_w","sampling w/o coordinates","shannon_index"
20.858,2.39065404453625,"dist_w","sampling w/o coordinates","shannon_index"
21.484,2.39065404453625,"dist_w","sampling w/o coordinates","shannon_index"
22.11,2.39805388573074,"dist_w","sampling w/o coordinates","shannon_index"
22.736,2.39818363290073,"dist_w","sampling w/o coordinates","shannon_index"
23.362,2.39830510330352,"dist_w","sampling w/o coordinates","shannon_index"
23.988,2.39830510330352,"dist_w","sampling w/o coordinates","shannon_index"
24.614,2.39830510330352,"dist_w","sampling w/o coordinates","shannon_index"
25.24,2.39830510330352,"dist_w","sampling w/o coordinates","shannon_index"
25.866,2.39830510330352,"dist_w","sampling w/o coordinates","shannon_index"
26.492,2.39830510330352,"dist_w","sampling w/o coordinates","shannon_index"
27.118,2.40015965077543,"dist_w","sampling w/o coordinates","shannon_index"
27.744,2.40015965077543,"dist_w","sampling w/o coordinates","shannon_index"
28.37,2.40015965077543,"dist_w","sampling w/o coordinates","shannon_index"
28.996,2.40015965077543,"dist_w","sampling w/o coordinates","shannon_index"
29.622,2.40015965077543,"dist_w","sampling w/o coordinates","shannon_index"
30.248,2.40015965077543,"dist_w","sampling w/o coordinates","shannon_index"
30.874,2.40015965077543,"dist_w","sampling w/o coordinates","shannon_index"
31.5,2.40015965077543,"dist_w","sampling w/o coordinates","shannon_index"
