"ox_before","yhat","predictors","model","index"
10.49,2.71536989120121,"ox_before","all predictors w/o coordinates","shannon_index"
10.625,2.70682938036217,"ox_before","all predictors w/o coordinates","shannon_index"
10.76,2.66489850793384,"ox_before","all predictors w/o coordinates","shannon_index"
10.895,2.666065202158,"ox_before","all predictors w/o coordinates","shannon_index"
11.03,2.66735736617203,"ox_before","all predictors w/o coordinates","shannon_index"
11.165,2.66433312420729,"ox_before","all predictors w/o coordinates","shannon_index"
11.3,2.6648571683814,"ox_before","all predictors w/o coordinates","shannon_index"
11.435,2.66716862401523,"ox_before","all predictors w/o coordinates","shannon_index"
11.57,2.66590685630866,"ox_before","all predictors w/o coordinates","shannon_index"
11.705,2.66474254438188,"ox_before","all predictors w/o coordinates","shannon_index"
11.84,2.66632816379663,"ox_before","all predictors w/o coordinates","shannon_index"
11.975,2.67352761042936,"ox_before","all predictors w/o coordinates","shannon_index"
12.11,2.67438108864177,"ox_before","all predictors w/o coordinates","shannon_index"
12.245,2.67488587315737,"ox_before","all predictors w/o coordinates","shannon_index"
12.38,2.67421189453895,"ox_before","all predictors w/o coordinates","shannon_index"
12.515,2.67467535726407,"ox_before","all predictors w/o coordinates","shannon_index"
12.65,2.67534265913906,"ox_before","all predictors w/o coordinates","shannon_index"
12.785,2.67624893569519,"ox_before","all predictors w/o coordinates","shannon_index"
12.92,2.67820961251006,"ox_before","all predictors w/o coordinates","shannon_index"
13.055,2.67818533761784,"ox_before","all predictors w/o coordinates","shannon_index"
13.19,2.67818533761784,"ox_before","all predictors w/o coordinates","shannon_index"
13.325,2.67742120029095,"ox_before","all predictors w/o coordinates","shannon_index"
13.46,2.67742120029095,"ox_before","all predictors w/o coordinates","shannon_index"
