"pH_during","yhat","predictors","model","index"
7.04,0.54754251777254,"pH_during","all predictors w/o coordinates","k_index"
7.16,0.547573460290072,"pH_during","all predictors w/o coordinates","k_index"
7.28,0.547573460290072,"pH_during","all predictors w/o coordinates","k_index"
7.4,0.547276907076399,"pH_during","all predictors w/o coordinates","k_index"
7.52,0.542329680868472,"pH_during","all predictors w/o coordinates","k_index"
7.64,0.542329680868472,"pH_during","all predictors w/o coordinates","k_index"
7.76,0.542322744136177,"pH_during","all predictors w/o coordinates","k_index"
7.88,0.541352798077091,"pH_during","all predictors w/o coordinates","k_index"
8,0.540576501635062,"pH_during","all predictors w/o coordinates","k_index"
8.12,0.540150649327636,"pH_during","all predictors w/o coordinates","k_index"
8.24,0.540110500134511,"pH_during","all predictors w/o coordinates","k_index"
8.36,0.539866961120196,"pH_during","all predictors w/o coordinates","k_index"
8.48,0.541961185554483,"pH_during","all predictors w/o coordinates","k_index"
8.6,0.544025459268822,"pH_during","all predictors w/o coordinates","k_index"
8.72,0.539187018156408,"pH_during","all predictors w/o coordinates","k_index"
8.84,0.539175819431276,"pH_during","all predictors w/o coordinates","k_index"
8.96,0.538375056771612,"pH_during","all predictors w/o coordinates","k_index"
9.08,0.538375056771612,"pH_during","all predictors w/o coordinates","k_index"
9.2,0.538375056771612,"pH_during","all predictors w/o coordinates","k_index"
