"turb_after","yhat","predictors","model","index"
0.26,0.196254680376081,"turb_after","sampling w/o coordinates","rel_abundance"
11.93125,0.192944617004051,"turb_after","sampling w/o coordinates","rel_abundance"
23.6025,0.192944617004051,"turb_after","sampling w/o coordinates","rel_abundance"
35.27375,0.192944617004051,"turb_after","sampling w/o coordinates","rel_abundance"
46.945,0.192944617004051,"turb_after","sampling w/o coordinates","rel_abundance"
58.61625,0.192944617004051,"turb_after","sampling w/o coordinates","rel_abundance"
70.2875,0.192944617004051,"turb_after","sampling w/o coordinates","rel_abundance"
81.95875,0.192944617004051,"turb_after","sampling w/o coordinates","rel_abundance"
93.63,0.192944617004051,"turb_after","sampling w/o coordinates","rel_abundance"
105.30125,0.192944617004051,"turb_after","sampling w/o coordinates","rel_abundance"
116.9725,0.192944617004051,"turb_after","sampling w/o coordinates","rel_abundance"
128.64375,0.192944617004051,"turb_after","sampling w/o coordinates","rel_abundance"
140.315,0.192944617004051,"turb_after","sampling w/o coordinates","rel_abundance"
151.98625,0.192944617004051,"turb_after","sampling w/o coordinates","rel_abundance"
163.6575,0.192944617004051,"turb_after","sampling w/o coordinates","rel_abundance"
175.32875,0.192944617004051,"turb_after","sampling w/o coordinates","rel_abundance"
187,0.192944617004051,"turb_after","sampling w/o coordinates","rel_abundance"
