"temp_after","yhat","predictors","model","index"
5.3,519.008491309684,"temp_after","all predictors w/o coordinates","abundance"
5.555,519.008491309684,"temp_after","all predictors w/o coordinates","abundance"
5.81,519.009342504692,"temp_after","all predictors w/o coordinates","abundance"
6.065,759.551070539632,"temp_after","all predictors w/o coordinates","abundance"
6.32,759.551070539632,"temp_after","all predictors w/o coordinates","abundance"
6.575,759.871921067221,"temp_after","all predictors w/o coordinates","abundance"
6.83,769.159864949932,"temp_after","all predictors w/o coordinates","abundance"
7.085,769.159943058364,"temp_after","all predictors w/o coordinates","abundance"
7.34,769.15836489831,"temp_after","all predictors w/o coordinates","abundance"
7.595,770.292107080769,"temp_after","all predictors w/o coordinates","abundance"
7.85,769.856975474651,"temp_after","all predictors w/o coordinates","abundance"
8.105,767.528220883746,"temp_after","all predictors w/o coordinates","abundance"
8.36,768.724778155054,"temp_after","all predictors w/o coordinates","abundance"
8.615,770.399064727451,"temp_after","all predictors w/o coordinates","abundance"
8.87,770.341726994601,"temp_after","all predictors w/o coordinates","abundance"
9.125,770.341726994601,"temp_after","all predictors w/o coordinates","abundance"
9.38,770.341726994601,"temp_after","all predictors w/o coordinates","abundance"
9.635,770.341726994601,"temp_after","all predictors w/o coordinates","abundance"
9.89,770.341726994601,"temp_after","all predictors w/o coordinates","abundance"
10.145,770.341726994601,"temp_after","all predictors w/o coordinates","abundance"
10.4,770.341726994601,"temp_after","all predictors w/o coordinates","abundance"
