"temp_after","yhat","predictors","model","index"
4.7,0.192691971250328,"temp_after","all predictors w/ coordinates","rel_abundance"
4.975,0.192691971250328,"temp_after","all predictors w/ coordinates","rel_abundance"
5.25,0.189757581558161,"temp_after","all predictors w/ coordinates","rel_abundance"
5.525,0.189352920880253,"temp_after","all predictors w/ coordinates","rel_abundance"
5.8,0.18947444796175,"temp_after","all predictors w/ coordinates","rel_abundance"
6.075,0.19445241666242,"temp_after","all predictors w/ coordinates","rel_abundance"
6.35,0.195136339974627,"temp_after","all predictors w/ coordinates","rel_abundance"
6.625,0.195823967524252,"temp_after","all predictors w/ coordinates","rel_abundance"
6.9,0.196264670954509,"temp_after","all predictors w/ coordinates","rel_abundance"
7.175,0.196301008848314,"temp_after","all predictors w/ coordinates","rel_abundance"
7.45,0.19659138249214,"temp_after","all predictors w/ coordinates","rel_abundance"
7.725,0.196412481111745,"temp_after","all predictors w/ coordinates","rel_abundance"
8,0.196337909164456,"temp_after","all predictors w/ coordinates","rel_abundance"
8.275,0.194859576722711,"temp_after","all predictors w/ coordinates","rel_abundance"
8.55,0.194829721197723,"temp_after","all predictors w/ coordinates","rel_abundance"
8.825,0.194540759515634,"temp_after","all predictors w/ coordinates","rel_abundance"
9.1,0.1984804868726,"temp_after","all predictors w/ coordinates","rel_abundance"
