"temp_after","yhat","predictors","model","index"
5.3,2.70883292893376,"temp_after","all predictors w/o coordinates","shannon_index"
5.555,2.70854162773087,"temp_after","all predictors w/o coordinates","shannon_index"
5.81,2.68064498649704,"temp_after","all predictors w/o coordinates","shannon_index"
6.065,2.66955141382865,"temp_after","all predictors w/o coordinates","shannon_index"
6.32,2.66945132354726,"temp_after","all predictors w/o coordinates","shannon_index"
6.575,2.66872952107947,"temp_after","all predictors w/o coordinates","shannon_index"
6.83,2.66547873453219,"temp_after","all predictors w/o coordinates","shannon_index"
7.085,2.66363379296392,"temp_after","all predictors w/o coordinates","shannon_index"
7.34,2.66277190937614,"temp_after","all predictors w/o coordinates","shannon_index"
7.595,2.66031512804821,"temp_after","all predictors w/o coordinates","shannon_index"
7.85,2.6598581092925,"temp_after","all predictors w/o coordinates","shannon_index"
8.105,2.65941146689772,"temp_after","all predictors w/o coordinates","shannon_index"
8.36,2.65960383805248,"temp_after","all predictors w/o coordinates","shannon_index"
8.615,2.66015032905034,"temp_after","all predictors w/o coordinates","shannon_index"
8.87,2.65917381108694,"temp_after","all predictors w/o coordinates","shannon_index"
9.125,2.66088971860285,"temp_after","all predictors w/o coordinates","shannon_index"
9.38,2.66036758142895,"temp_after","all predictors w/o coordinates","shannon_index"
9.635,2.66269331493987,"temp_after","all predictors w/o coordinates","shannon_index"
9.89,2.66408601667961,"temp_after","all predictors w/o coordinates","shannon_index"
10.145,2.68170151153416,"temp_after","all predictors w/o coordinates","shannon_index"
10.4,2.69153998579608,"temp_after","all predictors w/o coordinates","shannon_index"
