"temp_before","yhat","predictors","model","index"
3.8,728.776674408844,"temp_before","all predictors w/o coordinates","abundance"
4.16,721.544102889904,"temp_before","all predictors w/o coordinates","abundance"
4.52,721.531966893569,"temp_before","all predictors w/o coordinates","abundance"
4.88,723.420778903408,"temp_before","all predictors w/o coordinates","abundance"
5.24,723.443930619005,"temp_before","all predictors w/o coordinates","abundance"
5.6,724.849945013074,"temp_before","all predictors w/o coordinates","abundance"
5.96,727.810982455378,"temp_before","all predictors w/o coordinates","abundance"
6.32,729.123671552409,"temp_before","all predictors w/o coordinates","abundance"
6.68,738.676317834768,"temp_before","all predictors w/o coordinates","abundance"
7.04,737.131792066322,"temp_before","all predictors w/o coordinates","abundance"
7.4,755.304798651311,"temp_before","all predictors w/o coordinates","abundance"
7.76,755.391200402178,"temp_before","all predictors w/o coordinates","abundance"
8.12,760.296069958936,"temp_before","all predictors w/o coordinates","abundance"
8.48,767.092312500097,"temp_before","all predictors w/o coordinates","abundance"
8.84,760.805903524592,"temp_before","all predictors w/o coordinates","abundance"
9.2,760.805903524592,"temp_before","all predictors w/o coordinates","abundance"
9.56,753.915901220363,"temp_before","all predictors w/o coordinates","abundance"
9.92,753.915901220363,"temp_before","all predictors w/o coordinates","abundance"
10.28,753.915901220363,"temp_before","all predictors w/o coordinates","abundance"
10.64,753.915901220363,"temp_before","all predictors w/o coordinates","abundance"
11,753.915901220363,"temp_before","all predictors w/o coordinates","abundance"
