"velocity","yhat","predictors","model","index"
0.01,0.564562303600488,"velocity","velocity w/ coordinates","k_index"
0.0414,0.564900140036587,"velocity","velocity w/ coordinates","k_index"
0.0728,0.566618295041499,"velocity","velocity w/ coordinates","k_index"
0.1042,0.567027771914447,"velocity","velocity w/ coordinates","k_index"
0.1356,0.561693860217929,"velocity","velocity w/ coordinates","k_index"
0.167,0.565516814520514,"velocity","velocity w/ coordinates","k_index"
0.1984,0.54938681644422,"velocity","velocity w/ coordinates","k_index"
0.2298,0.546429119521269,"velocity","velocity w/ coordinates","k_index"
0.2612,0.531647204524941,"velocity","velocity w/ coordinates","k_index"
0.2926,0.521419957314652,"velocity","velocity w/ coordinates","k_index"
0.324,0.524657114512391,"velocity","velocity w/ coordinates","k_index"
0.3554,0.52848878102722,"velocity","velocity w/ coordinates","k_index"
0.3868,0.530206874461362,"velocity","velocity w/ coordinates","k_index"
0.4182,0.530278067483946,"velocity","velocity w/ coordinates","k_index"
0.4496,0.530558702880862,"velocity","velocity w/ coordinates","k_index"
0.481,0.534337429985128,"velocity","velocity w/ coordinates","k_index"
0.5124,0.539376194312893,"velocity","velocity w/ coordinates","k_index"
0.5438,0.540984760073048,"velocity","velocity w/ coordinates","k_index"
0.5752,0.539749095250887,"velocity","velocity w/ coordinates","k_index"
0.6066,0.539586398854024,"velocity","velocity w/ coordinates","k_index"
0.638,0.528952247946075,"velocity","velocity w/ coordinates","k_index"
0.6694,0.508810379093996,"velocity","velocity w/ coordinates","k_index"
0.7008,0.506251295304133,"velocity","velocity w/ coordinates","k_index"
0.7322,0.501753402701407,"velocity","velocity w/ coordinates","k_index"
0.7636,0.496494316978863,"velocity","velocity w/ coordinates","k_index"
0.795,0.495940389767013,"velocity","velocity w/ coordinates","k_index"
0.8264,0.495895375221692,"velocity","velocity w/ coordinates","k_index"
0.8578,0.489244058314297,"velocity","velocity w/ coordinates","k_index"
0.8892,0.486761920430042,"velocity","velocity w/ coordinates","k_index"
0.9206,0.487912571264638,"velocity","velocity w/ coordinates","k_index"
0.952,0.487329925996838,"velocity","velocity w/ coordinates","k_index"
0.9834,0.487329925996838,"velocity","velocity w/ coordinates","k_index"
1.0148,0.486270311564483,"velocity","velocity w/ coordinates","k_index"
1.0462,0.501756697686182,"velocity","velocity w/ coordinates","k_index"
1.0776,0.504618237208989,"velocity","velocity w/ coordinates","k_index"
1.109,0.505578058392361,"velocity","velocity w/ coordinates","k_index"
1.1404,0.501701825229382,"velocity","velocity w/ coordinates","k_index"
1.1718,0.498592641825477,"velocity","velocity w/ coordinates","k_index"
1.2032,0.498169899745672,"velocity","velocity w/ coordinates","k_index"
1.2346,0.498140715821474,"velocity","velocity w/ coordinates","k_index"
1.266,0.497838480398059,"velocity","velocity w/ coordinates","k_index"
1.2974,0.497313404076353,"velocity","velocity w/ coordinates","k_index"
1.3288,0.496721663581276,"velocity","velocity w/ coordinates","k_index"
1.3602,0.496974830446696,"velocity","velocity w/ coordinates","k_index"
1.3916,0.498296694174685,"velocity","velocity w/ coordinates","k_index"
1.423,0.498224447550321,"velocity","velocity w/ coordinates","k_index"
1.4544,0.498611640081637,"velocity","velocity w/ coordinates","k_index"
1.4858,0.499043405780362,"velocity","velocity w/ coordinates","k_index"
1.5172,0.499043405780362,"velocity","velocity w/ coordinates","k_index"
1.5486,0.499043405780362,"velocity","velocity w/ coordinates","k_index"
1.58,0.499162274550784,"velocity","velocity w/ coordinates","k_index"
