"velocity","yhat","predictors","model","index"
0.01,0.285305678844452,"velocity_c","velocity w/o coordinates","rel_abundance"
0.0478,0.209832444787025,"velocity_c","velocity w/o coordinates","rel_abundance"
0.0856,0.2436563372612,"velocity_c","velocity w/o coordinates","rel_abundance"
0.1234,0.372756332159042,"velocity_c","velocity w/o coordinates","rel_abundance"
0.1612,0.116959147155285,"velocity_c","velocity w/o coordinates","rel_abundance"
0.199,0.130054831504822,"velocity_c","velocity w/o coordinates","rel_abundance"
0.2368,0.152937144041061,"velocity_c","velocity w/o coordinates","rel_abundance"
0.2746,0.163281604647636,"velocity_c","velocity w/o coordinates","rel_abundance"
0.3124,0.357021629810333,"velocity_c","velocity w/o coordinates","rel_abundance"
0.3502,0.168034374713898,"velocity_c","velocity w/o coordinates","rel_abundance"
0.388,0.0918277651071548,"velocity_c","velocity w/o coordinates","rel_abundance"
0.4258,0.226324260234833,"velocity_c","velocity w/o coordinates","rel_abundance"
0.4636,0.325315952301025,"velocity_c","velocity w/o coordinates","rel_abundance"
0.5014,0.170787021517754,"velocity_c","velocity w/o coordinates","rel_abundance"
0.5392,0.0606453455984592,"velocity_c","velocity w/o coordinates","rel_abundance"
0.577,0.118985012173653,"velocity_c","velocity w/o coordinates","rel_abundance"
0.6148,0.100242905318737,"velocity_c","velocity w/o coordinates","rel_abundance"
0.6526,0.204096361994743,"velocity_c","velocity w/o coordinates","rel_abundance"
0.6904,0.0431857593357563,"velocity_c","velocity w/o coordinates","rel_abundance"
0.7282,0.0596630573272705,"velocity_c","velocity w/o coordinates","rel_abundance"
0.766,0.111030131578445,"velocity_c","velocity w/o coordinates","rel_abundance"
0.8038,0.0165006816387177,"velocity_c","velocity w/o coordinates","rel_abundance"
0.8416,0.0933991596102715,"velocity_c","velocity w/o coordinates","rel_abundance"
0.8794,0.116110257804394,"velocity_c","velocity w/o coordinates","rel_abundance"
0.9172,0.206013888120651,"velocity_c","velocity w/o coordinates","rel_abundance"
0.955,0.175928443670273,"velocity_c","velocity w/o coordinates","rel_abundance"
0.9928,0.110234923660755,"velocity_c","velocity w/o coordinates","rel_abundance"
1.0306,0.0748441442847252,"velocity_c","velocity w/o coordinates","rel_abundance"
1.0684,0.393527776002884,"velocity_c","velocity w/o coordinates","rel_abundance"
1.1062,0.161570116877556,"velocity_c","velocity w/o coordinates","rel_abundance"
1.144,0.0888763144612312,"velocity_c","velocity w/o coordinates","rel_abundance"
1.1818,0.133329883217812,"velocity_c","velocity w/o coordinates","rel_abundance"
1.2196,0.191368594765663,"velocity_c","velocity w/o coordinates","rel_abundance"
1.2574,0.0812408849596977,"velocity_c","velocity w/o coordinates","rel_abundance"
1.2952,0.103807024657726,"velocity_c","velocity w/o coordinates","rel_abundance"
1.333,0.108884640038013,"velocity_c","velocity w/o coordinates","rel_abundance"
1.3708,0.205789044499397,"velocity_c","velocity w/o coordinates","rel_abundance"
1.4086,0.113551937043667,"velocity_c","velocity w/o coordinates","rel_abundance"
1.4464,0.129683896899223,"velocity_c","velocity w/o coordinates","rel_abundance"
1.4842,0.129683896899223,"velocity_c","velocity w/o coordinates","rel_abundance"
1.522,0.0834577307105064,"velocity_c","velocity w/o coordinates","rel_abundance"
1.5598,0.105655737221241,"velocity_c","velocity w/o coordinates","rel_abundance"
1.5976,0.105655737221241,"velocity_c","velocity w/o coordinates","rel_abundance"
1.6354,0.145922228693962,"velocity_c","velocity w/o coordinates","rel_abundance"
1.6732,0.145922228693962,"velocity_c","velocity w/o coordinates","rel_abundance"
1.711,0.145922228693962,"velocity_c","velocity w/o coordinates","rel_abundance"
1.7488,0.138738587498665,"velocity_c","velocity w/o coordinates","rel_abundance"
1.7866,0.0796222314238548,"velocity_c","velocity w/o coordinates","rel_abundance"
1.8244,0.0796222314238548,"velocity_c","velocity w/o coordinates","rel_abundance"
1.8622,0.0796222314238548,"velocity_c","velocity w/o coordinates","rel_abundance"
1.9,0.0796222314238548,"velocity_c","velocity w/o coordinates","rel_abundance"
