"velocity","yhat","predictors","model","index"
0.01,0.463108170363638,"velocity_c","velocity w/o coordinates","rel_abundance"
0.0414,0.382206343321337,"velocity_c","velocity w/o coordinates","rel_abundance"
0.0728,0.372758550681519,"velocity_c","velocity w/o coordinates","rel_abundance"
0.1042,0.363353673588588,"velocity_c","velocity w/o coordinates","rel_abundance"
0.1356,0.223704210665784,"velocity_c","velocity w/o coordinates","rel_abundance"
0.167,0.196468510195027,"velocity_c","velocity w/o coordinates","rel_abundance"
0.1984,0.205285332508437,"velocity_c","velocity w/o coordinates","rel_abundance"
0.2298,0.194073400339457,"velocity_c","velocity w/o coordinates","rel_abundance"
0.2612,0.183544488098791,"velocity_c","velocity w/o coordinates","rel_abundance"
0.2926,0.214344109149857,"velocity_c","velocity w/o coordinates","rel_abundance"
0.324,0.252237440673289,"velocity_c","velocity w/o coordinates","rel_abundance"
0.3554,0.203351119731518,"velocity_c","velocity w/o coordinates","rel_abundance"
0.3868,0.196018973787971,"velocity_c","velocity w/o coordinates","rel_abundance"
0.4182,0.203610909093792,"velocity_c","velocity w/o coordinates","rel_abundance"
0.4496,0.222189009879474,"velocity_c","velocity w/o coordinates","rel_abundance"
0.481,0.167550111086004,"velocity_c","velocity w/o coordinates","rel_abundance"
0.5124,0.187351406362184,"velocity_c","velocity w/o coordinates","rel_abundance"
0.5438,0.151821915146515,"velocity_c","velocity w/o coordinates","rel_abundance"
0.5752,0.157040555616496,"velocity_c","velocity w/o coordinates","rel_abundance"
0.6066,0.159465173595688,"velocity_c","velocity w/o coordinates","rel_abundance"
0.638,0.17678747876737,"velocity_c","velocity w/o coordinates","rel_abundance"
0.6694,0.127210882091377,"velocity_c","velocity w/o coordinates","rel_abundance"
0.7008,0.108217303326388,"velocity_c","velocity w/o coordinates","rel_abundance"
0.7322,0.115879101148393,"velocity_c","velocity w/o coordinates","rel_abundance"
0.7636,0.126500131721884,"velocity_c","velocity w/o coordinates","rel_abundance"
0.795,0.119760130833903,"velocity_c","velocity w/o coordinates","rel_abundance"
0.8264,0.14341199588617,"velocity_c","velocity w/o coordinates","rel_abundance"
0.8578,0.116113165212381,"velocity_c","velocity w/o coordinates","rel_abundance"
0.8892,0.11013990217449,"velocity_c","velocity w/o coordinates","rel_abundance"
0.9206,0.120747651447783,"velocity_c","velocity w/o coordinates","rel_abundance"
0.952,0.116056146565825,"velocity_c","velocity w/o coordinates","rel_abundance"
0.9834,0.117074227814252,"velocity_c","velocity w/o coordinates","rel_abundance"
1.0148,0.104834273914565,"velocity_c","velocity w/o coordinates","rel_abundance"
1.0462,0.113133043568167,"velocity_c","velocity w/o coordinates","rel_abundance"
1.0776,0.115618238734357,"velocity_c","velocity w/o coordinates","rel_abundance"
1.109,0.116072679205832,"velocity_c","velocity w/o coordinates","rel_abundance"
1.1404,0.114412868309214,"velocity_c","velocity w/o coordinates","rel_abundance"
1.1718,0.110782731746979,"velocity_c","velocity w/o coordinates","rel_abundance"
1.2032,0.106329461766614,"velocity_c","velocity w/o coordinates","rel_abundance"
1.2346,0.106882787818365,"velocity_c","velocity w/o coordinates","rel_abundance"
1.266,0.100761539753337,"velocity_c","velocity w/o coordinates","rel_abundance"
1.2974,0.073383117321538,"velocity_c","velocity w/o coordinates","rel_abundance"
1.3288,0.0665162885230125,"velocity_c","velocity w/o coordinates","rel_abundance"
1.3602,0.0648280916556595,"velocity_c","velocity w/o coordinates","rel_abundance"
1.3916,0.0647374055902387,"velocity_c","velocity w/o coordinates","rel_abundance"
1.423,0.0641915171185651,"velocity_c","velocity w/o coordinates","rel_abundance"
1.4544,0.0641191923665853,"velocity_c","velocity w/o coordinates","rel_abundance"
1.4858,0.0661253308195834,"velocity_c","velocity w/o coordinates","rel_abundance"
1.5172,0.0661253308195834,"velocity_c","velocity w/o coordinates","rel_abundance"
1.5486,0.0661253308195834,"velocity_c","velocity w/o coordinates","rel_abundance"
1.58,0.0808660944501214,"velocity_c","velocity w/o coordinates","rel_abundance"
