"velocity","yhat","predictors","model","index"
0.01,809.418201280677,"velocity","sampling w/o coordinates","abundance"
0.0478,706.666795481806,"velocity","sampling w/o coordinates","abundance"
0.0856,723.131304008373,"velocity","sampling w/o coordinates","abundance"
0.1234,743.719831134962,"velocity","sampling w/o coordinates","abundance"
0.1612,701.152513130851,"velocity","sampling w/o coordinates","abundance"
0.199,701.711468212846,"velocity","sampling w/o coordinates","abundance"
0.2368,709.476812445599,"velocity","sampling w/o coordinates","abundance"
0.2746,719.095570108165,"velocity","sampling w/o coordinates","abundance"
0.3124,728.865788114244,"velocity","sampling w/o coordinates","abundance"
0.3502,702.401029476221,"velocity","sampling w/o coordinates","abundance"
0.388,666.830435780511,"velocity","sampling w/o coordinates","abundance"
0.4258,720.842147882434,"velocity","sampling w/o coordinates","abundance"
0.4636,776.580833780593,"velocity","sampling w/o coordinates","abundance"
0.5014,788.280695044476,"velocity","sampling w/o coordinates","abundance"
0.5392,777.27785740728,"velocity","sampling w/o coordinates","abundance"
0.577,756.88745233287,"velocity","sampling w/o coordinates","abundance"
0.6148,752.084514742312,"velocity","sampling w/o coordinates","abundance"
0.6526,739.339162019716,"velocity","sampling w/o coordinates","abundance"
0.6904,713.423118643139,"velocity","sampling w/o coordinates","abundance"
0.7282,712.818494010339,"velocity","sampling w/o coordinates","abundance"
0.766,705.928996296896,"velocity","sampling w/o coordinates","abundance"
0.8038,714.825008378513,"velocity","sampling w/o coordinates","abundance"
0.8416,719.304193280745,"velocity","sampling w/o coordinates","abundance"
0.8794,717.061957664248,"velocity","sampling w/o coordinates","abundance"
0.9172,703.351930213147,"velocity","sampling w/o coordinates","abundance"
0.955,712.75908775606,"velocity","sampling w/o coordinates","abundance"
0.9928,714.20704268027,"velocity","sampling w/o coordinates","abundance"
1.0306,698.634792065275,"velocity","sampling w/o coordinates","abundance"
1.0684,714.207517043404,"velocity","sampling w/o coordinates","abundance"
1.1062,725.516298902207,"velocity","sampling w/o coordinates","abundance"
1.144,715.246389983357,"velocity","sampling w/o coordinates","abundance"
1.1818,706.495842726334,"velocity","sampling w/o coordinates","abundance"
1.2196,709.030194531316,"velocity","sampling w/o coordinates","abundance"
1.2574,702.249081307563,"velocity","sampling w/o coordinates","abundance"
1.2952,678.502232136934,"velocity","sampling w/o coordinates","abundance"
1.333,677.242666866468,"velocity","sampling w/o coordinates","abundance"
1.3708,672.069857763207,"velocity","sampling w/o coordinates","abundance"
1.4086,671.775955573372,"velocity","sampling w/o coordinates","abundance"
1.4464,667.288816438205,"velocity","sampling w/o coordinates","abundance"
1.4842,663.251533881478,"velocity","sampling w/o coordinates","abundance"
1.522,662.887141144794,"velocity","sampling w/o coordinates","abundance"
1.5598,658.159149266671,"velocity","sampling w/o coordinates","abundance"
1.5976,659.25569708451,"velocity","sampling w/o coordinates","abundance"
1.6354,662.098734648331,"velocity","sampling w/o coordinates","abundance"
1.6732,662.098734648331,"velocity","sampling w/o coordinates","abundance"
1.711,661.631845059602,"velocity","sampling w/o coordinates","abundance"
1.7488,661.631845059602,"velocity","sampling w/o coordinates","abundance"
1.7866,658.544958791871,"velocity","sampling w/o coordinates","abundance"
1.8244,658.544958791871,"velocity","sampling w/o coordinates","abundance"
1.8622,658.544958791871,"velocity","sampling w/o coordinates","abundance"
1.9,658.544958791871,"velocity","sampling w/o coordinates","abundance"
