"velocity","yhat","predictors","model","index"
0.01,0.521721380344336,"velocity","sampling w/o coordinates","k_index"
0.0478,0.521872933144155,"velocity","sampling w/o coordinates","k_index"
0.0856,0.509926025526247,"velocity","sampling w/o coordinates","k_index"
0.1234,0.521892240028018,"velocity","sampling w/o coordinates","k_index"
0.1612,0.524742763273526,"velocity","sampling w/o coordinates","k_index"
0.199,0.525216015622668,"velocity","sampling w/o coordinates","k_index"
0.2368,0.550397999368716,"velocity","sampling w/o coordinates","k_index"
0.2746,0.54690641105391,"velocity","sampling w/o coordinates","k_index"
0.3124,0.528937823274105,"velocity","sampling w/o coordinates","k_index"
0.3502,0.534469302376185,"velocity","sampling w/o coordinates","k_index"
0.388,0.529497454064372,"velocity","sampling w/o coordinates","k_index"
0.4258,0.555217180967979,"velocity","sampling w/o coordinates","k_index"
0.4636,0.550703309287412,"velocity","sampling w/o coordinates","k_index"
0.5014,0.560083015943351,"velocity","sampling w/o coordinates","k_index"
0.5392,0.570120040921197,"velocity","sampling w/o coordinates","k_index"
0.577,0.568361962079138,"velocity","sampling w/o coordinates","k_index"
0.6148,0.569977920934342,"velocity","sampling w/o coordinates","k_index"
0.6526,0.557968915249807,"velocity","sampling w/o coordinates","k_index"
0.6904,0.547773431160696,"velocity","sampling w/o coordinates","k_index"
0.7282,0.561802079867356,"velocity","sampling w/o coordinates","k_index"
0.766,0.567911410957332,"velocity","sampling w/o coordinates","k_index"
0.8038,0.566120880281391,"velocity","sampling w/o coordinates","k_index"
0.8416,0.566483915054604,"velocity","sampling w/o coordinates","k_index"
0.8794,0.562635873633342,"velocity","sampling w/o coordinates","k_index"
0.9172,0.56560748393067,"velocity","sampling w/o coordinates","k_index"
0.955,0.573567044573661,"velocity","sampling w/o coordinates","k_index"
0.9928,0.557484923703326,"velocity","sampling w/o coordinates","k_index"
1.0306,0.567986567265125,"velocity","sampling w/o coordinates","k_index"
1.0684,0.617772326426769,"velocity","sampling w/o coordinates","k_index"
1.1062,0.635210276527357,"velocity","sampling w/o coordinates","k_index"
1.144,0.635396862820979,"velocity","sampling w/o coordinates","k_index"
1.1818,0.636037433492965,"velocity","sampling w/o coordinates","k_index"
1.2196,0.636853701178578,"velocity","sampling w/o coordinates","k_index"
1.2574,0.61520117337721,"velocity","sampling w/o coordinates","k_index"
1.2952,0.615228986718516,"velocity","sampling w/o coordinates","k_index"
1.333,0.60844208235326,"velocity","sampling w/o coordinates","k_index"
1.3708,0.608561119091684,"velocity","sampling w/o coordinates","k_index"
1.4086,0.610011016761047,"velocity","sampling w/o coordinates","k_index"
1.4464,0.60914571399706,"velocity","sampling w/o coordinates","k_index"
1.4842,0.60914571399706,"velocity","sampling w/o coordinates","k_index"
1.522,0.606616938675659,"velocity","sampling w/o coordinates","k_index"
1.5598,0.606616938675659,"velocity","sampling w/o coordinates","k_index"
1.5976,0.587011867708972,"velocity","sampling w/o coordinates","k_index"
1.6354,0.525911948441163,"velocity","sampling w/o coordinates","k_index"
1.6732,0.525911948441163,"velocity","sampling w/o coordinates","k_index"
1.711,0.525911948441163,"velocity","sampling w/o coordinates","k_index"
1.7488,0.525911948441163,"velocity","sampling w/o coordinates","k_index"
1.7866,0.525911948441163,"velocity","sampling w/o coordinates","k_index"
1.8244,0.525911948441163,"velocity","sampling w/o coordinates","k_index"
1.8622,0.525911948441163,"velocity","sampling w/o coordinates","k_index"
1.9,0.525911948441163,"velocity","sampling w/o coordinates","k_index"
