"velocity","yhat","predictors","model","index"
0.01,0.534946978105678,"velocity","sampling w/ coordinates","k_index"
0.0414,0.535494000132923,"velocity","sampling w/ coordinates","k_index"
0.0728,0.535159522004505,"velocity","sampling w/ coordinates","k_index"
0.1042,0.535721445474926,"velocity","sampling w/ coordinates","k_index"
0.1356,0.535236561302159,"velocity","sampling w/ coordinates","k_index"
0.167,0.534970739643982,"velocity","sampling w/ coordinates","k_index"
0.1984,0.532052364082236,"velocity","sampling w/ coordinates","k_index"
0.2298,0.531330493099246,"velocity","sampling w/ coordinates","k_index"
0.2612,0.53122454816085,"velocity","sampling w/ coordinates","k_index"
0.2926,0.531995612544163,"velocity","sampling w/ coordinates","k_index"
0.324,0.532447697484056,"velocity","sampling w/ coordinates","k_index"
0.3554,0.532724994528925,"velocity","sampling w/ coordinates","k_index"
0.3868,0.532357942166493,"velocity","sampling w/ coordinates","k_index"
0.4182,0.532353809416187,"velocity","sampling w/ coordinates","k_index"
0.4496,0.532023137981781,"velocity","sampling w/ coordinates","k_index"
0.481,0.532270875636202,"velocity","sampling w/ coordinates","k_index"
0.5124,0.532497051694554,"velocity","sampling w/ coordinates","k_index"
0.5438,0.531204943526138,"velocity","sampling w/ coordinates","k_index"
0.5752,0.529769942811655,"velocity","sampling w/ coordinates","k_index"
0.6066,0.529584040144669,"velocity","sampling w/ coordinates","k_index"
0.638,0.529501299826697,"velocity","sampling w/ coordinates","k_index"
0.6694,0.524268690500962,"velocity","sampling w/ coordinates","k_index"
0.7008,0.524191892924223,"velocity","sampling w/ coordinates","k_index"
0.7322,0.52435150210362,"velocity","sampling w/ coordinates","k_index"
0.7636,0.524110445255408,"velocity","sampling w/ coordinates","k_index"
0.795,0.524601648047838,"velocity","sampling w/ coordinates","k_index"
0.8264,0.526136141099092,"velocity","sampling w/ coordinates","k_index"
0.8578,0.526994109776534,"velocity","sampling w/ coordinates","k_index"
0.8892,0.526357672474133,"velocity","sampling w/ coordinates","k_index"
0.9206,0.526680218415261,"velocity","sampling w/ coordinates","k_index"
0.952,0.526598772287087,"velocity","sampling w/ coordinates","k_index"
0.9834,0.526830043276686,"velocity","sampling w/ coordinates","k_index"
1.0148,0.527101536543551,"velocity","sampling w/ coordinates","k_index"
1.0462,0.528544083967438,"velocity","sampling w/ coordinates","k_index"
1.0776,0.529459154459195,"velocity","sampling w/ coordinates","k_index"
1.109,0.529455451219824,"velocity","sampling w/ coordinates","k_index"
1.1404,0.52957586611947,"velocity","sampling w/ coordinates","k_index"
1.1718,0.529493063425027,"velocity","sampling w/ coordinates","k_index"
1.2032,0.529451609259701,"velocity","sampling w/ coordinates","k_index"
1.2346,0.529451609259701,"velocity","sampling w/ coordinates","k_index"
1.266,0.529451609259701,"velocity","sampling w/ coordinates","k_index"
1.2974,0.529366327710189,"velocity","sampling w/ coordinates","k_index"
1.3288,0.529261215138757,"velocity","sampling w/ coordinates","k_index"
1.3602,0.529261215138757,"velocity","sampling w/ coordinates","k_index"
1.3916,0.529296028984764,"velocity","sampling w/ coordinates","k_index"
1.423,0.529260602306096,"velocity","sampling w/ coordinates","k_index"
1.4544,0.52928235651355,"velocity","sampling w/ coordinates","k_index"
1.4858,0.52928235651355,"velocity","sampling w/ coordinates","k_index"
1.5172,0.52928235651355,"velocity","sampling w/ coordinates","k_index"
1.5486,0.52928235651355,"velocity","sampling w/ coordinates","k_index"
1.58,0.52928235651355,"velocity","sampling w/ coordinates","k_index"
