"velocity","yhat","predictors","model","index"
0.01,0.213178420005482,"velocity","sampling w/ coordinates","rel_abundance"
0.0414,0.191730123245917,"velocity","sampling w/ coordinates","rel_abundance"
0.0728,0.191564876349023,"velocity","sampling w/ coordinates","rel_abundance"
0.1042,0.192110036826931,"velocity","sampling w/ coordinates","rel_abundance"
0.1356,0.191750629435653,"velocity","sampling w/ coordinates","rel_abundance"
0.167,0.191157531644917,"velocity","sampling w/ coordinates","rel_abundance"
0.1984,0.191987167666556,"velocity","sampling w/ coordinates","rel_abundance"
0.2298,0.192325060825046,"velocity","sampling w/ coordinates","rel_abundance"
0.2612,0.191750132521315,"velocity","sampling w/ coordinates","rel_abundance"
0.2926,0.192245688645727,"velocity","sampling w/ coordinates","rel_abundance"
0.324,0.1916466479365,"velocity","sampling w/ coordinates","rel_abundance"
0.3554,0.191239942132227,"velocity","sampling w/ coordinates","rel_abundance"
0.3868,0.189810685663505,"velocity","sampling w/ coordinates","rel_abundance"
0.4182,0.191546052579745,"velocity","sampling w/ coordinates","rel_abundance"
0.4496,0.196288640205732,"velocity","sampling w/ coordinates","rel_abundance"
0.481,0.203093625479662,"velocity","sampling w/ coordinates","rel_abundance"
0.5124,0.20444710652112,"velocity","sampling w/ coordinates","rel_abundance"
0.5438,0.201358337834588,"velocity","sampling w/ coordinates","rel_abundance"
0.5752,0.200917974038755,"velocity","sampling w/ coordinates","rel_abundance"
0.6066,0.198728511800042,"velocity","sampling w/ coordinates","rel_abundance"
0.638,0.199549269531259,"velocity","sampling w/ coordinates","rel_abundance"
0.6694,0.195250332470657,"velocity","sampling w/ coordinates","rel_abundance"
0.7008,0.193864640430574,"velocity","sampling w/ coordinates","rel_abundance"
0.7322,0.194052157584074,"velocity","sampling w/ coordinates","rel_abundance"
0.7636,0.193866184428824,"velocity","sampling w/ coordinates","rel_abundance"
0.795,0.196057473437366,"velocity","sampling w/ coordinates","rel_abundance"
0.8264,0.196867440923894,"velocity","sampling w/ coordinates","rel_abundance"
0.8578,0.198156129625782,"velocity","sampling w/ coordinates","rel_abundance"
0.8892,0.197655418559069,"velocity","sampling w/ coordinates","rel_abundance"
0.9206,0.199977939169079,"velocity","sampling w/ coordinates","rel_abundance"
0.952,0.200139675688833,"velocity","sampling w/ coordinates","rel_abundance"
0.9834,0.200857265916282,"velocity","sampling w/ coordinates","rel_abundance"
1.0148,0.202934740336389,"velocity","sampling w/ coordinates","rel_abundance"
1.0462,0.204495483963968,"velocity","sampling w/ coordinates","rel_abundance"
1.0776,0.206074392352523,"velocity","sampling w/ coordinates","rel_abundance"
1.109,0.206281804019699,"velocity","sampling w/ coordinates","rel_abundance"
1.1404,0.206747229099375,"velocity","sampling w/ coordinates","rel_abundance"
1.1718,0.206705881880593,"velocity","sampling w/ coordinates","rel_abundance"
1.2032,0.206618495107148,"velocity","sampling w/ coordinates","rel_abundance"
1.2346,0.206539492068643,"velocity","sampling w/ coordinates","rel_abundance"
1.266,0.207307345663486,"velocity","sampling w/ coordinates","rel_abundance"
1.2974,0.206025502612759,"velocity","sampling w/ coordinates","rel_abundance"
1.3288,0.205695108200593,"velocity","sampling w/ coordinates","rel_abundance"
1.3602,0.205695108200593,"velocity","sampling w/ coordinates","rel_abundance"
1.3916,0.205759195383069,"velocity","sampling w/ coordinates","rel_abundance"
1.423,0.205782213385657,"velocity","sampling w/ coordinates","rel_abundance"
1.4544,0.205776974438509,"velocity","sampling w/ coordinates","rel_abundance"
1.4858,0.205788514793093,"velocity","sampling w/ coordinates","rel_abundance"
1.5172,0.205788514793093,"velocity","sampling w/ coordinates","rel_abundance"
1.5486,0.205788514793093,"velocity","sampling w/ coordinates","rel_abundance"
1.58,0.205820510467495,"velocity","sampling w/ coordinates","rel_abundance"
