"velocity","yhat","predictors","model","index"
0.01,2.44944615415095,"velocity","sampling w/o coordinates","shannon_index"
0.0478,2.5130525112854,"velocity","sampling w/o coordinates","shannon_index"
0.0856,2.56550909862246,"velocity","sampling w/o coordinates","shannon_index"
0.1234,2.56604315891214,"velocity","sampling w/o coordinates","shannon_index"
0.1612,2.62225551341755,"velocity","sampling w/o coordinates","shannon_index"
0.199,2.59757645881694,"velocity","sampling w/o coordinates","shannon_index"
0.2368,2.58712621594685,"velocity","sampling w/o coordinates","shannon_index"
0.2746,2.55358301248887,"velocity","sampling w/o coordinates","shannon_index"
0.3124,2.56364060182502,"velocity","sampling w/o coordinates","shannon_index"
0.3502,2.69473188160244,"velocity","sampling w/o coordinates","shannon_index"
0.388,2.71302686411334,"velocity","sampling w/o coordinates","shannon_index"
0.4258,2.70275063002887,"velocity","sampling w/o coordinates","shannon_index"
0.4636,2.6270769694955,"velocity","sampling w/o coordinates","shannon_index"
0.5014,2.61932035362807,"velocity","sampling w/o coordinates","shannon_index"
0.5392,2.7351673681127,"velocity","sampling w/o coordinates","shannon_index"
0.577,2.73785783928158,"velocity","sampling w/o coordinates","shannon_index"
0.6148,2.76734934185726,"velocity","sampling w/o coordinates","shannon_index"
0.6526,2.78711863815029,"velocity","sampling w/o coordinates","shannon_index"
0.6904,2.72892790287733,"velocity","sampling w/o coordinates","shannon_index"
0.7282,2.72071135389632,"velocity","sampling w/o coordinates","shannon_index"
0.766,2.81682807687616,"velocity","sampling w/o coordinates","shannon_index"
0.8038,2.74193111569553,"velocity","sampling w/o coordinates","shannon_index"
0.8416,2.67604236326356,"velocity","sampling w/o coordinates","shannon_index"
0.8794,2.66457568516658,"velocity","sampling w/o coordinates","shannon_index"
0.9172,2.67168227178247,"velocity","sampling w/o coordinates","shannon_index"
0.955,2.80494436902412,"velocity","sampling w/o coordinates","shannon_index"
0.9928,2.72710580886949,"velocity","sampling w/o coordinates","shannon_index"
1.0306,2.73285790606388,"velocity","sampling w/o coordinates","shannon_index"
1.0684,2.76448660046942,"velocity","sampling w/o coordinates","shannon_index"
1.1062,2.85007456017901,"velocity","sampling w/o coordinates","shannon_index"
1.144,2.85494276478995,"velocity","sampling w/o coordinates","shannon_index"
1.1818,2.82674477397856,"velocity","sampling w/o coordinates","shannon_index"
1.2196,2.80620113044869,"velocity","sampling w/o coordinates","shannon_index"
1.2574,2.79968174457874,"velocity","sampling w/o coordinates","shannon_index"
1.2952,2.82799502659211,"velocity","sampling w/o coordinates","shannon_index"
1.333,2.87865979542983,"velocity","sampling w/o coordinates","shannon_index"
1.3708,2.90494347390705,"velocity","sampling w/o coordinates","shannon_index"
1.4086,2.90753629992622,"velocity","sampling w/o coordinates","shannon_index"
1.4464,2.92873414697638,"velocity","sampling w/o coordinates","shannon_index"
1.4842,2.91611313468952,"velocity","sampling w/o coordinates","shannon_index"
1.522,2.90647447125419,"velocity","sampling w/o coordinates","shannon_index"
1.5598,2.90647447125419,"velocity","sampling w/o coordinates","shannon_index"
1.5976,2.94929489882096,"velocity","sampling w/o coordinates","shannon_index"
1.6354,1.58915015795956,"velocity","sampling w/o coordinates","shannon_index"
1.6732,1.58915015795956,"velocity","sampling w/o coordinates","shannon_index"
1.711,1.58915015795956,"velocity","sampling w/o coordinates","shannon_index"
1.7488,1.60677258378786,"velocity","sampling w/o coordinates","shannon_index"
1.7866,2.39649924808654,"velocity","sampling w/o coordinates","shannon_index"
1.8244,2.39649924808654,"velocity","sampling w/o coordinates","shannon_index"
1.8622,2.39649924808654,"velocity","sampling w/o coordinates","shannon_index"
1.9,2.39649924808654,"velocity","sampling w/o coordinates","shannon_index"
