"velocity","yhat","predictors","model","index"
0.01,2.42230622470379,"velocity","sampling w/o coordinates","shannon_index"
0.0478,2.62096209500147,"velocity","sampling w/o coordinates","shannon_index"
0.0856,2.64681222171023,"velocity","sampling w/o coordinates","shannon_index"
0.1234,2.65056732728861,"velocity","sampling w/o coordinates","shannon_index"
0.1612,2.68065268535545,"velocity","sampling w/o coordinates","shannon_index"
0.199,2.65302642013716,"velocity","sampling w/o coordinates","shannon_index"
0.2368,2.65285205322763,"velocity","sampling w/o coordinates","shannon_index"
0.2746,2.63896461630213,"velocity","sampling w/o coordinates","shannon_index"
0.3124,2.62122357852649,"velocity","sampling w/o coordinates","shannon_index"
0.3502,2.70078564009126,"velocity","sampling w/o coordinates","shannon_index"
0.388,2.7381281638383,"velocity","sampling w/o coordinates","shannon_index"
0.4258,2.72983851928966,"velocity","sampling w/o coordinates","shannon_index"
0.4636,2.70051483658777,"velocity","sampling w/o coordinates","shannon_index"
0.5014,2.67979978359696,"velocity","sampling w/o coordinates","shannon_index"
0.5392,2.70940042146738,"velocity","sampling w/o coordinates","shannon_index"
0.577,2.70479657009676,"velocity","sampling w/o coordinates","shannon_index"
0.6148,2.6993561125212,"velocity","sampling w/o coordinates","shannon_index"
0.6526,2.6615366384815,"velocity","sampling w/o coordinates","shannon_index"
0.6904,2.6453192052347,"velocity","sampling w/o coordinates","shannon_index"
0.7282,2.68872030443795,"velocity","sampling w/o coordinates","shannon_index"
0.766,2.69064182942004,"velocity","sampling w/o coordinates","shannon_index"
0.8038,2.68978794861207,"velocity","sampling w/o coordinates","shannon_index"
0.8416,2.65932074415943,"velocity","sampling w/o coordinates","shannon_index"
0.8794,2.66004767430865,"velocity","sampling w/o coordinates","shannon_index"
0.9172,2.66016695993966,"velocity","sampling w/o coordinates","shannon_index"
0.955,2.71137643519087,"velocity","sampling w/o coordinates","shannon_index"
0.9928,2.70083421117802,"velocity","sampling w/o coordinates","shannon_index"
1.0306,2.7035603897943,"velocity","sampling w/o coordinates","shannon_index"
1.0684,2.71908967272527,"velocity","sampling w/o coordinates","shannon_index"
1.1062,2.70866583363301,"velocity","sampling w/o coordinates","shannon_index"
1.144,2.74657570430334,"velocity","sampling w/o coordinates","shannon_index"
1.1818,2.73673098734108,"velocity","sampling w/o coordinates","shannon_index"
1.2196,2.73336646381928,"velocity","sampling w/o coordinates","shannon_index"
1.2574,2.7334933479627,"velocity","sampling w/o coordinates","shannon_index"
1.2952,2.73887467519313,"velocity","sampling w/o coordinates","shannon_index"
1.333,2.74064817468541,"velocity","sampling w/o coordinates","shannon_index"
1.3708,2.74033166279179,"velocity","sampling w/o coordinates","shannon_index"
1.4086,2.72682764526943,"velocity","sampling w/o coordinates","shannon_index"
1.4464,2.72450000997903,"velocity","sampling w/o coordinates","shannon_index"
1.4842,2.71462575702564,"velocity","sampling w/o coordinates","shannon_index"
1.522,2.70667803800408,"velocity","sampling w/o coordinates","shannon_index"
1.5598,2.70124015897728,"velocity","sampling w/o coordinates","shannon_index"
1.5976,2.7291080593199,"velocity","sampling w/o coordinates","shannon_index"
1.6354,1.68918110373551,"velocity","sampling w/o coordinates","shannon_index"
1.6732,1.68918110373551,"velocity","sampling w/o coordinates","shannon_index"
1.711,1.69190766681256,"velocity","sampling w/o coordinates","shannon_index"
1.7488,1.69190766681256,"velocity","sampling w/o coordinates","shannon_index"
1.7866,1.8991124658049,"velocity","sampling w/o coordinates","shannon_index"
1.8244,1.8991124658049,"velocity","sampling w/o coordinates","shannon_index"
1.8622,1.8991124658049,"velocity","sampling w/o coordinates","shannon_index"
1.9,1.8991124658049,"velocity","sampling w/o coordinates","shannon_index"
