"velocity","yhat","predictors","model","index"
0.01,778.240699145529,"velocity","all predictors w/o coordinates","abundance"
0.0414,758.51248563219,"velocity","all predictors w/o coordinates","abundance"
0.0728,738.938701530298,"velocity","all predictors w/o coordinates","abundance"
0.1042,781.495040886932,"velocity","all predictors w/o coordinates","abundance"
0.1356,757.996021540077,"velocity","all predictors w/o coordinates","abundance"
0.167,767.260580333019,"velocity","all predictors w/o coordinates","abundance"
0.1984,764.174675476772,"velocity","all predictors w/o coordinates","abundance"
0.2298,763.719135061458,"velocity","all predictors w/o coordinates","abundance"
0.2612,762.825756139501,"velocity","all predictors w/o coordinates","abundance"
0.2926,745.88727983722,"velocity","all predictors w/o coordinates","abundance"
0.324,739.403882637068,"velocity","all predictors w/o coordinates","abundance"
0.3554,735.677530420323,"velocity","all predictors w/o coordinates","abundance"
0.3868,728.868354772804,"velocity","all predictors w/o coordinates","abundance"
0.4182,743.234872417318,"velocity","all predictors w/o coordinates","abundance"
0.4496,745.36876131539,"velocity","all predictors w/o coordinates","abundance"
0.481,757.13313604505,"velocity","all predictors w/o coordinates","abundance"
0.5124,766.33479313718,"velocity","all predictors w/o coordinates","abundance"
0.5438,762.342893863166,"velocity","all predictors w/o coordinates","abundance"
0.5752,765.910258464791,"velocity","all predictors w/o coordinates","abundance"
0.6066,766.634590929857,"velocity","all predictors w/o coordinates","abundance"
0.638,766.664572448642,"velocity","all predictors w/o coordinates","abundance"
0.6694,773.184660212497,"velocity","all predictors w/o coordinates","abundance"
0.7008,764.742657023241,"velocity","all predictors w/o coordinates","abundance"
0.7322,754.104428877985,"velocity","all predictors w/o coordinates","abundance"
0.7636,734.15316755573,"velocity","all predictors w/o coordinates","abundance"
0.795,733.187442262967,"velocity","all predictors w/o coordinates","abundance"
0.8264,796.246197002905,"velocity","all predictors w/o coordinates","abundance"
0.8578,769.282365913744,"velocity","all predictors w/o coordinates","abundance"
0.8892,733.677532109397,"velocity","all predictors w/o coordinates","abundance"
0.9206,732.373359131592,"velocity","all predictors w/o coordinates","abundance"
0.952,749.433354285028,"velocity","all predictors w/o coordinates","abundance"
0.9834,749.433328571143,"velocity","all predictors w/o coordinates","abundance"
1.0148,735.714589532603,"velocity","all predictors w/o coordinates","abundance"
1.0462,738.073864827002,"velocity","all predictors w/o coordinates","abundance"
1.0776,810.077739702331,"velocity","all predictors w/o coordinates","abundance"
1.109,809.996852098792,"velocity","all predictors w/o coordinates","abundance"
1.1404,736.390138288339,"velocity","all predictors w/o coordinates","abundance"
1.1718,736.391244400431,"velocity","all predictors w/o coordinates","abundance"
1.2032,733.662406123899,"velocity","all predictors w/o coordinates","abundance"
1.2346,718.844380963732,"velocity","all predictors w/o coordinates","abundance"
1.266,691.274250254035,"velocity","all predictors w/o coordinates","abundance"
1.2974,699.237409273783,"velocity","all predictors w/o coordinates","abundance"
1.3288,699.244841498357,"velocity","all predictors w/o coordinates","abundance"
1.3602,646.20870912583,"velocity","all predictors w/o coordinates","abundance"
1.3916,646.22324153737,"velocity","all predictors w/o coordinates","abundance"
1.423,646.22324153737,"velocity","all predictors w/o coordinates","abundance"
1.4544,636.082704755995,"velocity","all predictors w/o coordinates","abundance"
1.4858,636.568966850086,"velocity","all predictors w/o coordinates","abundance"
1.5172,636.568966850086,"velocity","all predictors w/o coordinates","abundance"
1.5486,636.568966850086,"velocity","all predictors w/o coordinates","abundance"
1.58,613.460786136212,"velocity","all predictors w/o coordinates","abundance"
