"velocity","yhat","predictors","model","index"
0.01,0.511426295252965,"velocity","all predictors w/ coordinates","k_index"
0.0414,0.511246453211815,"velocity","all predictors w/ coordinates","k_index"
0.0728,0.508190119149663,"velocity","all predictors w/ coordinates","k_index"
0.1042,0.507905538566842,"velocity","all predictors w/ coordinates","k_index"
0.1356,0.508547370718723,"velocity","all predictors w/ coordinates","k_index"
0.167,0.51449480061678,"velocity","all predictors w/ coordinates","k_index"
0.1984,0.511886226198705,"velocity","all predictors w/ coordinates","k_index"
0.2298,0.512960166312513,"velocity","all predictors w/ coordinates","k_index"
0.2612,0.513603909389564,"velocity","all predictors w/ coordinates","k_index"
0.2926,0.520131793114598,"velocity","all predictors w/ coordinates","k_index"
0.324,0.521838500198943,"velocity","all predictors w/ coordinates","k_index"
0.3554,0.527477112357263,"velocity","all predictors w/ coordinates","k_index"
0.3868,0.529719278216362,"velocity","all predictors w/ coordinates","k_index"
0.4182,0.528931327923029,"velocity","all predictors w/ coordinates","k_index"
0.4496,0.532478867633337,"velocity","all predictors w/ coordinates","k_index"
0.481,0.552893838120831,"velocity","all predictors w/ coordinates","k_index"
0.5124,0.564056236745307,"velocity","all predictors w/ coordinates","k_index"
0.5438,0.564571353468906,"velocity","all predictors w/ coordinates","k_index"
0.5752,0.564983529383662,"velocity","all predictors w/ coordinates","k_index"
0.6066,0.565859612249942,"velocity","all predictors w/ coordinates","k_index"
0.638,0.564057053998113,"velocity","all predictors w/ coordinates","k_index"
0.6694,0.555227163644439,"velocity","all predictors w/ coordinates","k_index"
0.7008,0.548080649761552,"velocity","all predictors w/ coordinates","k_index"
0.7322,0.543765150579727,"velocity","all predictors w/ coordinates","k_index"
0.7636,0.545045814321687,"velocity","all predictors w/ coordinates","k_index"
0.795,0.549495510187828,"velocity","all predictors w/ coordinates","k_index"
0.8264,0.553851476008141,"velocity","all predictors w/ coordinates","k_index"
0.8578,0.555000813746894,"velocity","all predictors w/ coordinates","k_index"
0.8892,0.556511530169734,"velocity","all predictors w/ coordinates","k_index"
0.9206,0.558601106482523,"velocity","all predictors w/ coordinates","k_index"
0.952,0.558601106482523,"velocity","all predictors w/ coordinates","k_index"
0.9834,0.560659199953079,"velocity","all predictors w/ coordinates","k_index"
1.0148,0.562894424492562,"velocity","all predictors w/ coordinates","k_index"
1.0462,0.57457424779595,"velocity","all predictors w/ coordinates","k_index"
1.0776,0.578198805692847,"velocity","all predictors w/ coordinates","k_index"
1.109,0.578198805692847,"velocity","all predictors w/ coordinates","k_index"
1.1404,0.575472468544764,"velocity","all predictors w/ coordinates","k_index"
1.1718,0.575262230545006,"velocity","all predictors w/ coordinates","k_index"
1.2032,0.569201229209149,"velocity","all predictors w/ coordinates","k_index"
1.2346,0.569201229209149,"velocity","all predictors w/ coordinates","k_index"
1.266,0.569201229209149,"velocity","all predictors w/ coordinates","k_index"
1.2974,0.569201229209149,"velocity","all predictors w/ coordinates","k_index"
1.3288,0.569201229209149,"velocity","all predictors w/ coordinates","k_index"
1.3602,0.569201229209149,"velocity","all predictors w/ coordinates","k_index"
1.3916,0.569287113431427,"velocity","all predictors w/ coordinates","k_index"
1.423,0.569287113431427,"velocity","all predictors w/ coordinates","k_index"
1.4544,0.569458460504258,"velocity","all predictors w/ coordinates","k_index"
1.4858,0.569458460504258,"velocity","all predictors w/ coordinates","k_index"
1.5172,0.569458460504258,"velocity","all predictors w/ coordinates","k_index"
1.5486,0.569458460504258,"velocity","all predictors w/ coordinates","k_index"
1.58,0.569458460504258,"velocity","all predictors w/ coordinates","k_index"
