"velocity","yhat","predictors","model","index"
0.01,0.522125085464854,"velocity","all predictors w/o coordinates","k_index"
0.0478,0.51255876463298,"velocity","all predictors w/o coordinates","k_index"
0.0856,0.518871663259747,"velocity","all predictors w/o coordinates","k_index"
0.1234,0.520389025876732,"velocity","all predictors w/o coordinates","k_index"
0.1612,0.513160318276251,"velocity","all predictors w/o coordinates","k_index"
0.199,0.515064023112865,"velocity","all predictors w/o coordinates","k_index"
0.2368,0.523534858356351,"velocity","all predictors w/o coordinates","k_index"
0.2746,0.525808750729176,"velocity","all predictors w/o coordinates","k_index"
0.3124,0.523475839867783,"velocity","all predictors w/o coordinates","k_index"
0.3502,0.540108220663556,"velocity","all predictors w/o coordinates","k_index"
0.388,0.532114386620958,"velocity","all predictors w/o coordinates","k_index"
0.4258,0.549178933394074,"velocity","all predictors w/o coordinates","k_index"
0.4636,0.548171298409664,"velocity","all predictors w/o coordinates","k_index"
0.5014,0.566765419477462,"velocity","all predictors w/o coordinates","k_index"
0.5392,0.581912133856204,"velocity","all predictors w/o coordinates","k_index"
0.577,0.575594902146554,"velocity","all predictors w/o coordinates","k_index"
0.6148,0.568436178334894,"velocity","all predictors w/o coordinates","k_index"
0.6526,0.568093748594486,"velocity","all predictors w/o coordinates","k_index"
0.6904,0.568339043364361,"velocity","all predictors w/o coordinates","k_index"
0.7282,0.556746245857895,"velocity","all predictors w/o coordinates","k_index"
0.766,0.553114584613375,"velocity","all predictors w/o coordinates","k_index"
0.8038,0.563321253537889,"velocity","all predictors w/o coordinates","k_index"
0.8416,0.56127895175756,"velocity","all predictors w/o coordinates","k_index"
0.8794,0.564181169991017,"velocity","all predictors w/o coordinates","k_index"
0.9172,0.563858208702067,"velocity","all predictors w/o coordinates","k_index"
0.955,0.568429238846242,"velocity","all predictors w/o coordinates","k_index"
0.9928,0.555368484662208,"velocity","all predictors w/o coordinates","k_index"
1.0306,0.560982674515496,"velocity","all predictors w/o coordinates","k_index"
1.0684,0.632350769595823,"velocity","all predictors w/o coordinates","k_index"
1.1062,0.641421121909567,"velocity","all predictors w/o coordinates","k_index"
1.144,0.641349614908298,"velocity","all predictors w/o coordinates","k_index"
1.1818,0.634333928264138,"velocity","all predictors w/o coordinates","k_index"
1.2196,0.62961836118737,"velocity","all predictors w/o coordinates","k_index"
1.2574,0.597512935679676,"velocity","all predictors w/o coordinates","k_index"
1.2952,0.599130482156424,"velocity","all predictors w/o coordinates","k_index"
1.333,0.603422856633214,"velocity","all predictors w/o coordinates","k_index"
1.3708,0.61445439129096,"velocity","all predictors w/o coordinates","k_index"
1.4086,0.616115091962443,"velocity","all predictors w/o coordinates","k_index"
1.4464,0.615596929727041,"velocity","all predictors w/o coordinates","k_index"
1.4842,0.614635820163117,"velocity","all predictors w/o coordinates","k_index"
1.522,0.615101606004696,"velocity","all predictors w/o coordinates","k_index"
1.5598,0.606621911884218,"velocity","all predictors w/o coordinates","k_index"
1.5976,0.564138650192299,"velocity","all predictors w/o coordinates","k_index"
1.6354,0.521010003700528,"velocity","all predictors w/o coordinates","k_index"
1.6732,0.521010003700528,"velocity","all predictors w/o coordinates","k_index"
1.711,0.521010003700528,"velocity","all predictors w/o coordinates","k_index"
1.7488,0.513774252877962,"velocity","all predictors w/o coordinates","k_index"
1.7866,0.518991437808111,"velocity","all predictors w/o coordinates","k_index"
1.8244,0.518991437808111,"velocity","all predictors w/o coordinates","k_index"
1.8622,0.518991437808111,"velocity","all predictors w/o coordinates","k_index"
1.9,0.518991437808111,"velocity","all predictors w/o coordinates","k_index"
