"velocity","yhat","predictors","model","index"
0.01,0.539866203512195,"velocity","all predictors w/o coordinates","k_index"
0.0478,0.540098925088229,"velocity","all predictors w/o coordinates","k_index"
0.0856,0.540747956427276,"velocity","all predictors w/o coordinates","k_index"
0.1234,0.540394196815757,"velocity","all predictors w/o coordinates","k_index"
0.1612,0.540307009886029,"velocity","all predictors w/o coordinates","k_index"
0.199,0.53958262783903,"velocity","all predictors w/o coordinates","k_index"
0.2368,0.540018205567728,"velocity","all predictors w/o coordinates","k_index"
0.2746,0.540392592445225,"velocity","all predictors w/o coordinates","k_index"
0.3124,0.540583787537101,"velocity","all predictors w/o coordinates","k_index"
0.3502,0.541180388431489,"velocity","all predictors w/o coordinates","k_index"
0.388,0.541386911382336,"velocity","all predictors w/o coordinates","k_index"
0.4258,0.541945829758291,"velocity","all predictors w/o coordinates","k_index"
0.4636,0.542543545174973,"velocity","all predictors w/o coordinates","k_index"
0.5014,0.543569170738184,"velocity","all predictors w/o coordinates","k_index"
0.5392,0.544576656769738,"velocity","all predictors w/o coordinates","k_index"
0.577,0.544634891411035,"velocity","all predictors w/o coordinates","k_index"
0.6148,0.544865392023979,"velocity","all predictors w/o coordinates","k_index"
0.6526,0.543973970341491,"velocity","all predictors w/o coordinates","k_index"
0.6904,0.543550003752601,"velocity","all predictors w/o coordinates","k_index"
0.7282,0.542997363197074,"velocity","all predictors w/o coordinates","k_index"
0.766,0.543533255717352,"velocity","all predictors w/o coordinates","k_index"
0.8038,0.543971411136243,"velocity","all predictors w/o coordinates","k_index"
0.8416,0.544104369626539,"velocity","all predictors w/o coordinates","k_index"
0.8794,0.544146843803578,"velocity","all predictors w/o coordinates","k_index"
0.9172,0.544275327671595,"velocity","all predictors w/o coordinates","k_index"
0.955,0.54420184124078,"velocity","all predictors w/o coordinates","k_index"
0.9928,0.544188822768764,"velocity","all predictors w/o coordinates","k_index"
1.0306,0.544568586039341,"velocity","all predictors w/o coordinates","k_index"
1.0684,0.545457569222572,"velocity","all predictors w/o coordinates","k_index"
1.1062,0.545803480623843,"velocity","all predictors w/o coordinates","k_index"
1.144,0.545891187833921,"velocity","all predictors w/o coordinates","k_index"
1.1818,0.545716186255761,"velocity","all predictors w/o coordinates","k_index"
1.2196,0.545624797477455,"velocity","all predictors w/o coordinates","k_index"
1.2574,0.545219554194951,"velocity","all predictors w/o coordinates","k_index"
1.2952,0.545213786138719,"velocity","all predictors w/o coordinates","k_index"
1.333,0.545782441542095,"velocity","all predictors w/o coordinates","k_index"
1.3708,0.545868441708671,"velocity","all predictors w/o coordinates","k_index"
1.4086,0.54586458957526,"velocity","all predictors w/o coordinates","k_index"
1.4464,0.546072150275485,"velocity","all predictors w/o coordinates","k_index"
1.4842,0.545847638140125,"velocity","all predictors w/o coordinates","k_index"
1.522,0.5454998828672,"velocity","all predictors w/o coordinates","k_index"
1.5598,0.545351845072168,"velocity","all predictors w/o coordinates","k_index"
1.5976,0.545094760373978,"velocity","all predictors w/o coordinates","k_index"
1.6354,0.544062149505201,"velocity","all predictors w/o coordinates","k_index"
1.6732,0.544062149505201,"velocity","all predictors w/o coordinates","k_index"
1.711,0.544062149505201,"velocity","all predictors w/o coordinates","k_index"
1.7488,0.544020121505572,"velocity","all predictors w/o coordinates","k_index"
1.7866,0.54389384058504,"velocity","all predictors w/o coordinates","k_index"
1.8244,0.54389384058504,"velocity","all predictors w/o coordinates","k_index"
1.8622,0.54389384058504,"velocity","all predictors w/o coordinates","k_index"
1.9,0.54389384058504,"velocity","all predictors w/o coordinates","k_index"
