"velocity","yhat","predictors","model","index"
0.01,0.262435354216938,"velocity","all predictors w/o coordinates","rel_abundance"
0.0414,0.222893126464138,"velocity","all predictors w/o coordinates","rel_abundance"
0.0728,0.224840965734243,"velocity","all predictors w/o coordinates","rel_abundance"
0.1042,0.226146480404875,"velocity","all predictors w/o coordinates","rel_abundance"
0.1356,0.22833116091486,"velocity","all predictors w/o coordinates","rel_abundance"
0.167,0.230514465770857,"velocity","all predictors w/o coordinates","rel_abundance"
0.1984,0.221061241959601,"velocity","all predictors w/o coordinates","rel_abundance"
0.2298,0.222243306891027,"velocity","all predictors w/o coordinates","rel_abundance"
0.2612,0.213827864667918,"velocity","all predictors w/o coordinates","rel_abundance"
0.2926,0.235419624403154,"velocity","all predictors w/o coordinates","rel_abundance"
0.324,0.213281757575546,"velocity","all predictors w/o coordinates","rel_abundance"
0.3554,0.192112015320769,"velocity","all predictors w/o coordinates","rel_abundance"
0.3868,0.194476911337848,"velocity","all predictors w/o coordinates","rel_abundance"
0.4182,0.19603780083492,"velocity","all predictors w/o coordinates","rel_abundance"
0.4496,0.196218127568028,"velocity","all predictors w/o coordinates","rel_abundance"
0.481,0.193921568003673,"velocity","all predictors w/o coordinates","rel_abundance"
0.5124,0.193263435486221,"velocity","all predictors w/o coordinates","rel_abundance"
0.5438,0.193435691991235,"velocity","all predictors w/o coordinates","rel_abundance"
0.5752,0.197537888269397,"velocity","all predictors w/o coordinates","rel_abundance"
0.6066,0.167305427276814,"velocity","all predictors w/o coordinates","rel_abundance"
0.638,0.167878672971037,"velocity","all predictors w/o coordinates","rel_abundance"
0.6694,0.171476932716461,"velocity","all predictors w/o coordinates","rel_abundance"
0.7008,0.168384576179084,"velocity","all predictors w/o coordinates","rel_abundance"
0.7322,0.180294074115443,"velocity","all predictors w/o coordinates","rel_abundance"
0.7636,0.174253837842318,"velocity","all predictors w/o coordinates","rel_abundance"
0.795,0.187620649995989,"velocity","all predictors w/o coordinates","rel_abundance"
0.8264,0.187551677345591,"velocity","all predictors w/o coordinates","rel_abundance"
0.8578,0.186787225870864,"velocity","all predictors w/o coordinates","rel_abundance"
0.8892,0.186531760340181,"velocity","all predictors w/o coordinates","rel_abundance"
0.9206,0.201123017192003,"velocity","all predictors w/o coordinates","rel_abundance"
0.952,0.200788524236284,"velocity","all predictors w/o coordinates","rel_abundance"
0.9834,0.200513807536616,"velocity","all predictors w/o coordinates","rel_abundance"
1.0148,0.196478909361758,"velocity","all predictors w/o coordinates","rel_abundance"
1.0462,0.196478909361758,"velocity","all predictors w/o coordinates","rel_abundance"
1.0776,0.204301732162111,"velocity","all predictors w/o coordinates","rel_abundance"
1.109,0.204301732162111,"velocity","all predictors w/o coordinates","rel_abundance"
1.1404,0.202869287608387,"velocity","all predictors w/o coordinates","rel_abundance"
1.1718,0.202869287608387,"velocity","all predictors w/o coordinates","rel_abundance"
1.2032,0.202869287608387,"velocity","all predictors w/o coordinates","rel_abundance"
1.2346,0.202869287608387,"velocity","all predictors w/o coordinates","rel_abundance"
1.266,0.202869287608387,"velocity","all predictors w/o coordinates","rel_abundance"
1.2974,0.202869287608387,"velocity","all predictors w/o coordinates","rel_abundance"
1.3288,0.202252365418072,"velocity","all predictors w/o coordinates","rel_abundance"
1.3602,0.202252365418072,"velocity","all predictors w/o coordinates","rel_abundance"
1.3916,0.202524760304691,"velocity","all predictors w/o coordinates","rel_abundance"
1.423,0.202126377907849,"velocity","all predictors w/o coordinates","rel_abundance"
1.4544,0.196170901753013,"velocity","all predictors w/o coordinates","rel_abundance"
1.4858,0.196170901753013,"velocity","all predictors w/o coordinates","rel_abundance"
1.5172,0.196170901753013,"velocity","all predictors w/o coordinates","rel_abundance"
1.5486,0.196170901753013,"velocity","all predictors w/o coordinates","rel_abundance"
1.58,0.196170901753013,"velocity","all predictors w/o coordinates","rel_abundance"
