"velocity","yhat","predictors","model","index"
0.01,0.207130804282562,"velocity","all predictors w/o coordinates","rel_abundance"
0.0478,0.197925396570539,"velocity","all predictors w/o coordinates","rel_abundance"
0.0856,0.195958846809529,"velocity","all predictors w/o coordinates","rel_abundance"
0.1234,0.194810868548043,"velocity","all predictors w/o coordinates","rel_abundance"
0.1612,0.193133509774679,"velocity","all predictors w/o coordinates","rel_abundance"
0.199,0.191801727242625,"velocity","all predictors w/o coordinates","rel_abundance"
0.2368,0.191447242872433,"velocity","all predictors w/o coordinates","rel_abundance"
0.2746,0.191436485904316,"velocity","all predictors w/o coordinates","rel_abundance"
0.3124,0.190934766491788,"velocity","all predictors w/o coordinates","rel_abundance"
0.3502,0.188430919714444,"velocity","all predictors w/o coordinates","rel_abundance"
0.388,0.187812840535135,"velocity","all predictors w/o coordinates","rel_abundance"
0.4258,0.188514201648577,"velocity","all predictors w/o coordinates","rel_abundance"
0.4636,0.189506817557797,"velocity","all predictors w/o coordinates","rel_abundance"
0.5014,0.189232540431888,"velocity","all predictors w/o coordinates","rel_abundance"
0.5392,0.188513222161111,"velocity","all predictors w/o coordinates","rel_abundance"
0.577,0.187592905627887,"velocity","all predictors w/o coordinates","rel_abundance"
0.6148,0.187228678679419,"velocity","all predictors w/o coordinates","rel_abundance"
0.6526,0.186575098283365,"velocity","all predictors w/o coordinates","rel_abundance"
0.6904,0.184991104346949,"velocity","all predictors w/o coordinates","rel_abundance"
0.7282,0.184590785335024,"velocity","all predictors w/o coordinates","rel_abundance"
0.766,0.184373456120352,"velocity","all predictors w/o coordinates","rel_abundance"
0.8038,0.186272173943333,"velocity","all predictors w/o coordinates","rel_abundance"
0.8416,0.186583762173774,"velocity","all predictors w/o coordinates","rel_abundance"
0.8794,0.186562422322809,"velocity","all predictors w/o coordinates","rel_abundance"
0.9172,0.186827718992113,"velocity","all predictors w/o coordinates","rel_abundance"
0.955,0.186342652555338,"velocity","all predictors w/o coordinates","rel_abundance"
0.9928,0.185563846459314,"velocity","all predictors w/o coordinates","rel_abundance"
1.0306,0.18572688289201,"velocity","all predictors w/o coordinates","rel_abundance"
1.0684,0.186352914587905,"velocity","all predictors w/o coordinates","rel_abundance"
1.1062,0.18616927135966,"velocity","all predictors w/o coordinates","rel_abundance"
1.144,0.186221417116832,"velocity","all predictors w/o coordinates","rel_abundance"
1.1818,0.186248607830161,"velocity","all predictors w/o coordinates","rel_abundance"
1.2196,0.186154274003726,"velocity","all predictors w/o coordinates","rel_abundance"
1.2574,0.186075924572025,"velocity","all predictors w/o coordinates","rel_abundance"
1.2952,0.187220302052815,"velocity","all predictors w/o coordinates","rel_abundance"
1.333,0.187278877173931,"velocity","all predictors w/o coordinates","rel_abundance"
1.3708,0.18734169890161,"velocity","all predictors w/o coordinates","rel_abundance"
1.4086,0.187353042208507,"velocity","all predictors w/o coordinates","rel_abundance"
1.4464,0.187383395742822,"velocity","all predictors w/o coordinates","rel_abundance"
1.4842,0.187397825385422,"velocity","all predictors w/o coordinates","rel_abundance"
1.522,0.187397825385422,"velocity","all predictors w/o coordinates","rel_abundance"
1.5598,0.187427129922186,"velocity","all predictors w/o coordinates","rel_abundance"
1.5976,0.187388149159481,"velocity","all predictors w/o coordinates","rel_abundance"
1.6354,0.187557290134464,"velocity","all predictors w/o coordinates","rel_abundance"
1.6732,0.187557290134464,"velocity","all predictors w/o coordinates","rel_abundance"
1.711,0.187557290134464,"velocity","all predictors w/o coordinates","rel_abundance"
1.7488,0.187557290134464,"velocity","all predictors w/o coordinates","rel_abundance"
1.7866,0.187505493532977,"velocity","all predictors w/o coordinates","rel_abundance"
1.8244,0.187505493532977,"velocity","all predictors w/o coordinates","rel_abundance"
1.8622,0.187505493532977,"velocity","all predictors w/o coordinates","rel_abundance"
1.9,0.187505493532977,"velocity","all predictors w/o coordinates","rel_abundance"
