"velocity","yhat","predictors","model","index"
0.01,2.3981588473716,"velocity","all predictors w/o coordinates","shannon_index"
0.0414,2.4821432743187,"velocity","all predictors w/o coordinates","shannon_index"
0.0728,2.49356188259467,"velocity","all predictors w/o coordinates","shannon_index"
0.1042,2.56305039103177,"velocity","all predictors w/o coordinates","shannon_index"
0.1356,2.55170773733752,"velocity","all predictors w/o coordinates","shannon_index"
0.167,2.56082055631473,"velocity","all predictors w/o coordinates","shannon_index"
0.1984,2.56070656408728,"velocity","all predictors w/o coordinates","shannon_index"
0.2298,2.56515285583144,"velocity","all predictors w/o coordinates","shannon_index"
0.2612,2.56178418743528,"velocity","all predictors w/o coordinates","shannon_index"
0.2926,2.56079872187089,"velocity","all predictors w/o coordinates","shannon_index"
0.324,2.61895118498554,"velocity","all predictors w/o coordinates","shannon_index"
0.3554,2.61321648182692,"velocity","all predictors w/o coordinates","shannon_index"
0.3868,2.59568091854453,"velocity","all predictors w/o coordinates","shannon_index"
0.4182,2.55877274404823,"velocity","all predictors w/o coordinates","shannon_index"
0.4496,2.56030627652244,"velocity","all predictors w/o coordinates","shannon_index"
0.481,2.57706547614739,"velocity","all predictors w/o coordinates","shannon_index"
0.5124,2.57059178946333,"velocity","all predictors w/o coordinates","shannon_index"
0.5438,2.58761726357733,"velocity","all predictors w/o coordinates","shannon_index"
0.5752,2.59156068804225,"velocity","all predictors w/o coordinates","shannon_index"
0.6066,2.59557842304585,"velocity","all predictors w/o coordinates","shannon_index"
0.638,2.52441273141583,"velocity","all predictors w/o coordinates","shannon_index"
0.6694,2.53104313082683,"velocity","all predictors w/o coordinates","shannon_index"
0.7008,2.52060587122967,"velocity","all predictors w/o coordinates","shannon_index"
0.7322,2.50345441701615,"velocity","all predictors w/o coordinates","shannon_index"
0.7636,2.50291567328558,"velocity","all predictors w/o coordinates","shannon_index"
0.795,2.53492682754855,"velocity","all predictors w/o coordinates","shannon_index"
0.8264,2.53303419519216,"velocity","all predictors w/o coordinates","shannon_index"
0.8578,2.53774267319521,"velocity","all predictors w/o coordinates","shannon_index"
0.8892,2.54887839815476,"velocity","all predictors w/o coordinates","shannon_index"
0.9206,2.55056284866468,"velocity","all predictors w/o coordinates","shannon_index"
0.952,2.56000077855532,"velocity","all predictors w/o coordinates","shannon_index"
0.9834,2.5587102772875,"velocity","all predictors w/o coordinates","shannon_index"
1.0148,2.55429067373,"velocity","all predictors w/o coordinates","shannon_index"
1.0462,2.55958470950524,"velocity","all predictors w/o coordinates","shannon_index"
1.0776,2.54858431247649,"velocity","all predictors w/o coordinates","shannon_index"
1.109,2.5473815255143,"velocity","all predictors w/o coordinates","shannon_index"
1.1404,2.54519130096391,"velocity","all predictors w/o coordinates","shannon_index"
1.1718,2.54108413251945,"velocity","all predictors w/o coordinates","shannon_index"
1.2032,2.53988187596271,"velocity","all predictors w/o coordinates","shannon_index"
1.2346,2.53988187596271,"velocity","all predictors w/o coordinates","shannon_index"
1.266,2.54225932173776,"velocity","all predictors w/o coordinates","shannon_index"
1.2974,2.54225932173776,"velocity","all predictors w/o coordinates","shannon_index"
1.3288,2.54225932173776,"velocity","all predictors w/o coordinates","shannon_index"
1.3602,2.54066079304795,"velocity","all predictors w/o coordinates","shannon_index"
1.3916,2.54066079304795,"velocity","all predictors w/o coordinates","shannon_index"
1.423,2.54066079304795,"velocity","all predictors w/o coordinates","shannon_index"
1.4544,2.5412389338189,"velocity","all predictors w/o coordinates","shannon_index"
1.4858,2.54151926108601,"velocity","all predictors w/o coordinates","shannon_index"
1.5172,2.54151926108601,"velocity","all predictors w/o coordinates","shannon_index"
1.5486,2.54151926108601,"velocity","all predictors w/o coordinates","shannon_index"
1.58,2.54151926108601,"velocity","all predictors w/o coordinates","shannon_index"
