"velocity","yhat","predictors","model","index"
0.01,2.63539708997643,"velocity","all predictors w/o coordinates","shannon_index"
0.0478,2.64634594741251,"velocity","all predictors w/o coordinates","shannon_index"
0.0856,2.64917993179562,"velocity","all predictors w/o coordinates","shannon_index"
0.1234,2.64912969446796,"velocity","all predictors w/o coordinates","shannon_index"
0.1612,2.65194590018237,"velocity","all predictors w/o coordinates","shannon_index"
0.199,2.65183413279973,"velocity","all predictors w/o coordinates","shannon_index"
0.2368,2.65444165208431,"velocity","all predictors w/o coordinates","shannon_index"
0.2746,2.65573659174015,"velocity","all predictors w/o coordinates","shannon_index"
0.3124,2.65819845666203,"velocity","all predictors w/o coordinates","shannon_index"
0.3502,2.66360257632623,"velocity","all predictors w/o coordinates","shannon_index"
0.388,2.66731895861306,"velocity","all predictors w/o coordinates","shannon_index"
0.4258,2.66982267820428,"velocity","all predictors w/o coordinates","shannon_index"
0.4636,2.67053733000078,"velocity","all predictors w/o coordinates","shannon_index"
0.5014,2.673080572829,"velocity","all predictors w/o coordinates","shannon_index"
0.5392,2.67625799073644,"velocity","all predictors w/o coordinates","shannon_index"
0.577,2.67621541213566,"velocity","all predictors w/o coordinates","shannon_index"
0.6148,2.67711535625537,"velocity","all predictors w/o coordinates","shannon_index"
0.6526,2.68147978265704,"velocity","all predictors w/o coordinates","shannon_index"
0.6904,2.68246999244499,"velocity","all predictors w/o coordinates","shannon_index"
0.7282,2.6859133127967,"velocity","all predictors w/o coordinates","shannon_index"
0.766,2.69443460456735,"velocity","all predictors w/o coordinates","shannon_index"
0.8038,2.69645478661575,"velocity","all predictors w/o coordinates","shannon_index"
0.8416,2.69646203141657,"velocity","all predictors w/o coordinates","shannon_index"
0.8794,2.69801878718499,"velocity","all predictors w/o coordinates","shannon_index"
0.9172,2.698438824462,"velocity","all predictors w/o coordinates","shannon_index"
0.955,2.70296673400616,"velocity","all predictors w/o coordinates","shannon_index"
0.9928,2.70518824114719,"velocity","all predictors w/o coordinates","shannon_index"
1.0306,2.70675209152975,"velocity","all predictors w/o coordinates","shannon_index"
1.0684,2.70855721407992,"velocity","all predictors w/o coordinates","shannon_index"
1.1062,2.71007513638549,"velocity","all predictors w/o coordinates","shannon_index"
1.144,2.71006883012646,"velocity","all predictors w/o coordinates","shannon_index"
1.1818,2.70927250116809,"velocity","all predictors w/o coordinates","shannon_index"
1.2196,2.70933591832292,"velocity","all predictors w/o coordinates","shannon_index"
1.2574,2.70933591832292,"velocity","all predictors w/o coordinates","shannon_index"
1.2952,2.71170409894091,"velocity","all predictors w/o coordinates","shannon_index"
1.333,2.71227102075978,"velocity","all predictors w/o coordinates","shannon_index"
1.3708,2.71233355636833,"velocity","all predictors w/o coordinates","shannon_index"
1.4086,2.71260245356022,"velocity","all predictors w/o coordinates","shannon_index"
1.4464,2.71390303160458,"velocity","all predictors w/o coordinates","shannon_index"
1.4842,2.71098671085974,"velocity","all predictors w/o coordinates","shannon_index"
1.522,2.71187634399904,"velocity","all predictors w/o coordinates","shannon_index"
1.5598,2.70800546793723,"velocity","all predictors w/o coordinates","shannon_index"
1.5976,2.70568613873878,"velocity","all predictors w/o coordinates","shannon_index"
1.6354,2.683472711666,"velocity","all predictors w/o coordinates","shannon_index"
1.6732,2.683472711666,"velocity","all predictors w/o coordinates","shannon_index"
1.711,2.683472711666,"velocity","all predictors w/o coordinates","shannon_index"
1.7488,2.683472711666,"velocity","all predictors w/o coordinates","shannon_index"
1.7866,2.68323494909454,"velocity","all predictors w/o coordinates","shannon_index"
1.8244,2.68323494909454,"velocity","all predictors w/o coordinates","shannon_index"
1.8622,2.68323494909454,"velocity","all predictors w/o coordinates","shannon_index"
1.9,2.68323494909454,"velocity","all predictors w/o coordinates","shannon_index"
