"velocity","yhat","predictors","model","index"
0.01,976.49231045488,"velocity_c","v + wd w/o coordinates","abundance"
0.0478,971.745895828026,"velocity_c","v + wd w/o coordinates","abundance"
0.0856,971.613735807115,"velocity_c","v + wd w/o coordinates","abundance"
0.1234,1114.97845967611,"velocity_c","v + wd w/o coordinates","abundance"
0.1612,663.487483093704,"velocity_c","v + wd w/o coordinates","abundance"
0.199,726.254469774771,"velocity_c","v + wd w/o coordinates","abundance"
0.2368,738.966977216195,"velocity_c","v + wd w/o coordinates","abundance"
0.2746,726.425659621971,"velocity_c","v + wd w/o coordinates","abundance"
0.3124,987.524994449339,"velocity_c","v + wd w/o coordinates","abundance"
0.3502,807.754413991735,"velocity_c","v + wd w/o coordinates","abundance"
0.388,741.341481526693,"velocity_c","v + wd w/o coordinates","abundance"
0.4258,766.231516907181,"velocity_c","v + wd w/o coordinates","abundance"
0.4636,879.829532125722,"velocity_c","v + wd w/o coordinates","abundance"
0.5014,748.521688267805,"velocity_c","v + wd w/o coordinates","abundance"
0.5392,751.054463538571,"velocity_c","v + wd w/o coordinates","abundance"
0.577,751.490889507791,"velocity_c","v + wd w/o coordinates","abundance"
0.6148,742.956812982974,"velocity_c","v + wd w/o coordinates","abundance"
0.6526,728.877239807792,"velocity_c","v + wd w/o coordinates","abundance"
0.6904,678.653483653414,"velocity_c","v + wd w/o coordinates","abundance"
0.7282,687.527931130451,"velocity_c","v + wd w/o coordinates","abundance"
0.766,709.128811158996,"velocity_c","v + wd w/o coordinates","abundance"
0.8038,816.907872324404,"velocity_c","v + wd w/o coordinates","abundance"
0.8416,862.309087670368,"velocity_c","v + wd w/o coordinates","abundance"
0.8794,858.352828592494,"velocity_c","v + wd w/o coordinates","abundance"
0.9172,867.999043091484,"velocity_c","v + wd w/o coordinates","abundance"
0.955,860.238843005636,"velocity_c","v + wd w/o coordinates","abundance"
0.9928,859.265144182288,"velocity_c","v + wd w/o coordinates","abundance"
1.0306,820.591632787732,"velocity_c","v + wd w/o coordinates","abundance"
1.0684,823.7931992904,"velocity_c","v + wd w/o coordinates","abundance"
1.1062,834.166807589324,"velocity_c","v + wd w/o coordinates","abundance"
1.144,830.132557633994,"velocity_c","v + wd w/o coordinates","abundance"
1.1818,826.641515925311,"velocity_c","v + wd w/o coordinates","abundance"
1.2196,841.666900081911,"velocity_c","v + wd w/o coordinates","abundance"
1.2574,799.426294547924,"velocity_c","v + wd w/o coordinates","abundance"
1.2952,785.331697933916,"velocity_c","v + wd w/o coordinates","abundance"
1.333,774.050818622976,"velocity_c","v + wd w/o coordinates","abundance"
1.3708,773.955283123514,"velocity_c","v + wd w/o coordinates","abundance"
1.4086,774.047161599864,"velocity_c","v + wd w/o coordinates","abundance"
1.4464,769.522057574728,"velocity_c","v + wd w/o coordinates","abundance"
1.4842,774.599800773289,"velocity_c","v + wd w/o coordinates","abundance"
1.522,774.599800773289,"velocity_c","v + wd w/o coordinates","abundance"
1.5598,765.310623251873,"velocity_c","v + wd w/o coordinates","abundance"
1.5976,768.537667315939,"velocity_c","v + wd w/o coordinates","abundance"
1.6354,772.022026780723,"velocity_c","v + wd w/o coordinates","abundance"
1.6732,772.022026780723,"velocity_c","v + wd w/o coordinates","abundance"
1.711,772.022026780723,"velocity_c","v + wd w/o coordinates","abundance"
1.7488,772.022026780723,"velocity_c","v + wd w/o coordinates","abundance"
1.7866,769.284306070079,"velocity_c","v + wd w/o coordinates","abundance"
1.8244,769.284306070079,"velocity_c","v + wd w/o coordinates","abundance"
1.8622,769.284306070079,"velocity_c","v + wd w/o coordinates","abundance"
1.9,769.284306070079,"velocity_c","v + wd w/o coordinates","abundance"
