"velocity","yhat","predictors","model","index"
0.01,946.529469135802,"velocity","v + wd w/o coordinates","abundance"
0.0414,866.707753858025,"velocity","v + wd w/o coordinates","abundance"
0.0728,864.466974537037,"velocity","v + wd w/o coordinates","abundance"
0.1042,869.888451388889,"velocity","v + wd w/o coordinates","abundance"
0.1356,838.36370308642,"velocity","v + wd w/o coordinates","abundance"
0.167,822.766682253086,"velocity","v + wd w/o coordinates","abundance"
0.1984,827.742415277778,"velocity","v + wd w/o coordinates","abundance"
0.2298,826.579593518519,"velocity","v + wd w/o coordinates","abundance"
0.2612,820.858296450617,"velocity","v + wd w/o coordinates","abundance"
0.2926,827.376021759259,"velocity","v + wd w/o coordinates","abundance"
0.324,829.864020987654,"velocity","v + wd w/o coordinates","abundance"
0.3554,820.957778703704,"velocity","v + wd w/o coordinates","abundance"
0.3868,820.216379783951,"velocity","v + wd w/o coordinates","abundance"
0.4182,821.677354320988,"velocity","v + wd w/o coordinates","abundance"
0.4496,832.013529475309,"velocity","v + wd w/o coordinates","abundance"
0.481,868.167236265432,"velocity","v + wd w/o coordinates","abundance"
0.5124,857.797379012346,"velocity","v + wd w/o coordinates","abundance"
0.5438,818.610460802469,"velocity","v + wd w/o coordinates","abundance"
0.5752,807.805028703704,"velocity","v + wd w/o coordinates","abundance"
0.6066,797.820531790123,"velocity","v + wd w/o coordinates","abundance"
0.638,794.231586574074,"velocity","v + wd w/o coordinates","abundance"
0.6694,747.656151388889,"velocity","v + wd w/o coordinates","abundance"
0.7008,726.324518518519,"velocity","v + wd w/o coordinates","abundance"
0.7322,728.381049382716,"velocity","v + wd w/o coordinates","abundance"
0.7636,732.767775462963,"velocity","v + wd w/o coordinates","abundance"
0.795,746.177199845679,"velocity","v + wd w/o coordinates","abundance"
0.8264,749.609047839506,"velocity","v + wd w/o coordinates","abundance"
0.8578,752.064686728395,"velocity","v + wd w/o coordinates","abundance"
0.8892,749.059013117284,"velocity","v + wd w/o coordinates","abundance"
0.9206,760.557511574074,"velocity","v + wd w/o coordinates","abundance"
0.952,759.579881172839,"velocity","v + wd w/o coordinates","abundance"
0.9834,761.641323302469,"velocity","v + wd w/o coordinates","abundance"
1.0148,765.389486111111,"velocity","v + wd w/o coordinates","abundance"
1.0462,770.492207561728,"velocity","v + wd w/o coordinates","abundance"
1.0776,772.524235339506,"velocity","v + wd w/o coordinates","abundance"
1.109,772.972701388889,"velocity","v + wd w/o coordinates","abundance"
1.1404,772.607794753086,"velocity","v + wd w/o coordinates","abundance"
1.1718,774.63625308642,"velocity","v + wd w/o coordinates","abundance"
1.2032,769.621825617284,"velocity","v + wd w/o coordinates","abundance"
1.2346,769.800543209876,"velocity","v + wd w/o coordinates","abundance"
1.266,769.348222222222,"velocity","v + wd w/o coordinates","abundance"
1.2974,768.662909722222,"velocity","v + wd w/o coordinates","abundance"
1.3288,762.616233796296,"velocity","v + wd w/o coordinates","abundance"
1.3602,761.983685185185,"velocity","v + wd w/o coordinates","abundance"
1.3916,761.780372685185,"velocity","v + wd w/o coordinates","abundance"
1.423,761.785372685185,"velocity","v + wd w/o coordinates","abundance"
1.4544,761.785372685185,"velocity","v + wd w/o coordinates","abundance"
1.4858,762.546212191358,"velocity","v + wd w/o coordinates","abundance"
1.5172,762.546212191358,"velocity","v + wd w/o coordinates","abundance"
1.5486,762.546212191358,"velocity","v + wd w/o coordinates","abundance"
1.58,762.596964506173,"velocity","v + wd w/o coordinates","abundance"
