"velocity","yhat","predictors","model","index"
0.01,0.52303358363904,"velocity","v + wd w/o coordinates","k_index"
0.0414,0.536599530039222,"velocity","v + wd w/o coordinates","k_index"
0.0728,0.531951098260849,"velocity","v + wd w/o coordinates","k_index"
0.1042,0.540924705658711,"velocity","v + wd w/o coordinates","k_index"
0.1356,0.532141341590674,"velocity","v + wd w/o coordinates","k_index"
0.167,0.530009187648075,"velocity","v + wd w/o coordinates","k_index"
0.1984,0.518090617024791,"velocity","v + wd w/o coordinates","k_index"
0.2298,0.518815569550274,"velocity","v + wd w/o coordinates","k_index"
0.2612,0.513761570418898,"velocity","v + wd w/o coordinates","k_index"
0.2926,0.524906225613826,"velocity","v + wd w/o coordinates","k_index"
0.324,0.523183936750295,"velocity","v + wd w/o coordinates","k_index"
0.3554,0.516972491772822,"velocity","v + wd w/o coordinates","k_index"
0.3868,0.528178701707217,"velocity","v + wd w/o coordinates","k_index"
0.4182,0.541467743527677,"velocity","v + wd w/o coordinates","k_index"
0.4496,0.549199607833418,"velocity","v + wd w/o coordinates","k_index"
0.481,0.554455370494726,"velocity","v + wd w/o coordinates","k_index"
0.5124,0.563522998680863,"velocity","v + wd w/o coordinates","k_index"
0.5438,0.561180142506973,"velocity","v + wd w/o coordinates","k_index"
0.5752,0.556538841516546,"velocity","v + wd w/o coordinates","k_index"
0.6066,0.549045133211436,"velocity","v + wd w/o coordinates","k_index"
0.638,0.545433348093097,"velocity","v + wd w/o coordinates","k_index"
0.6694,0.517529325338975,"velocity","v + wd w/o coordinates","k_index"
0.7008,0.507335469484864,"velocity","v + wd w/o coordinates","k_index"
0.7322,0.512952467512447,"velocity","v + wd w/o coordinates","k_index"
0.7636,0.522340132905765,"velocity","v + wd w/o coordinates","k_index"
0.795,0.531535608888182,"velocity","v + wd w/o coordinates","k_index"
0.8264,0.543966029642651,"velocity","v + wd w/o coordinates","k_index"
0.8578,0.539783969772776,"velocity","v + wd w/o coordinates","k_index"
0.8892,0.538679339504007,"velocity","v + wd w/o coordinates","k_index"
0.9206,0.542818681574071,"velocity","v + wd w/o coordinates","k_index"
0.952,0.541369246050469,"velocity","v + wd w/o coordinates","k_index"
0.9834,0.54125996615351,"velocity","v + wd w/o coordinates","k_index"
1.0148,0.542801146683323,"velocity","v + wd w/o coordinates","k_index"
1.0462,0.546497039266262,"velocity","v + wd w/o coordinates","k_index"
1.0776,0.552628828123969,"velocity","v + wd w/o coordinates","k_index"
1.109,0.553356994661458,"velocity","v + wd w/o coordinates","k_index"
1.1404,0.553187372382371,"velocity","v + wd w/o coordinates","k_index"
1.1718,0.552593315030479,"velocity","v + wd w/o coordinates","k_index"
1.2032,0.551806994252654,"velocity","v + wd w/o coordinates","k_index"
1.2346,0.549384745389749,"velocity","v + wd w/o coordinates","k_index"
1.266,0.547927214180459,"velocity","v + wd w/o coordinates","k_index"
1.2974,0.546070797101361,"velocity","v + wd w/o coordinates","k_index"
1.3288,0.54483818465768,"velocity","v + wd w/o coordinates","k_index"
1.3602,0.54469049847951,"velocity","v + wd w/o coordinates","k_index"
1.3916,0.544798080700066,"velocity","v + wd w/o coordinates","k_index"
1.423,0.544146247186045,"velocity","v + wd w/o coordinates","k_index"
1.4544,0.544146247186045,"velocity","v + wd w/o coordinates","k_index"
1.4858,0.544421787470942,"velocity","v + wd w/o coordinates","k_index"
1.5172,0.544421787470942,"velocity","v + wd w/o coordinates","k_index"
1.5486,0.544421787470942,"velocity","v + wd w/o coordinates","k_index"
1.58,0.544421787470942,"velocity","v + wd w/o coordinates","k_index"
