"velocity","yhat","predictors","model","index"
0.01,0.230517833507147,"velocity_c","v + wd w/o coordinates","rel_abundance"
0.0478,0.198134142689515,"velocity_c","v + wd w/o coordinates","rel_abundance"
0.0856,0.1538595666542,"velocity_c","v + wd w/o coordinates","rel_abundance"
0.1234,0.225225199202912,"velocity_c","v + wd w/o coordinates","rel_abundance"
0.1612,0.0967311723059907,"velocity_c","v + wd w/o coordinates","rel_abundance"
0.199,0.169828447175847,"velocity_c","v + wd w/o coordinates","rel_abundance"
0.2368,0.173909011998794,"velocity_c","v + wd w/o coordinates","rel_abundance"
0.2746,0.175466002761454,"velocity_c","v + wd w/o coordinates","rel_abundance"
0.3124,0.320824408282836,"velocity_c","v + wd w/o coordinates","rel_abundance"
0.3502,0.206329724009054,"velocity_c","v + wd w/o coordinates","rel_abundance"
0.388,0.17000182442691,"velocity_c","v + wd w/o coordinates","rel_abundance"
0.4258,0.183774444328594,"velocity_c","v + wd w/o coordinates","rel_abundance"
0.4636,0.285536357997984,"velocity_c","v + wd w/o coordinates","rel_abundance"
0.5014,0.234610153497129,"velocity_c","v + wd w/o coordinates","rel_abundance"
0.5392,0.187749353115973,"velocity_c","v + wd w/o coordinates","rel_abundance"
0.577,0.174768736451,"velocity_c","v + wd w/o coordinates","rel_abundance"
0.6148,0.165128766356603,"velocity_c","v + wd w/o coordinates","rel_abundance"
0.6526,0.163976591377371,"velocity_c","v + wd w/o coordinates","rel_abundance"
0.6904,0.121233454453286,"velocity_c","v + wd w/o coordinates","rel_abundance"
0.7282,0.125494605510671,"velocity_c","v + wd w/o coordinates","rel_abundance"
0.766,0.136587607525829,"velocity_c","v + wd w/o coordinates","rel_abundance"
0.8038,0.154962868645679,"velocity_c","v + wd w/o coordinates","rel_abundance"
0.8416,0.210410191610024,"velocity_c","v + wd w/o coordinates","rel_abundance"
0.8794,0.210630910201133,"velocity_c","v + wd w/o coordinates","rel_abundance"
0.9172,0.216461593919582,"velocity_c","v + wd w/o coordinates","rel_abundance"
0.955,0.21981024119895,"velocity_c","v + wd w/o coordinates","rel_abundance"
0.9928,0.210906684506631,"velocity_c","v + wd w/o coordinates","rel_abundance"
1.0306,0.206372331449951,"velocity_c","v + wd w/o coordinates","rel_abundance"
1.0684,0.225184096995255,"velocity_c","v + wd w/o coordinates","rel_abundance"
1.1062,0.225184096995255,"velocity_c","v + wd w/o coordinates","rel_abundance"
1.144,0.225184096995255,"velocity_c","v + wd w/o coordinates","rel_abundance"
1.1818,0.215911207774627,"velocity_c","v + wd w/o coordinates","rel_abundance"
1.2196,0.214864270491661,"velocity_c","v + wd w/o coordinates","rel_abundance"
1.2574,0.200527876291586,"velocity_c","v + wd w/o coordinates","rel_abundance"
1.2952,0.177804423415143,"velocity_c","v + wd w/o coordinates","rel_abundance"
1.333,0.168054270045157,"velocity_c","v + wd w/o coordinates","rel_abundance"
1.3708,0.162487733407297,"velocity_c","v + wd w/o coordinates","rel_abundance"
1.4086,0.156428980303631,"velocity_c","v + wd w/o coordinates","rel_abundance"
1.4464,0.146877022554585,"velocity_c","v + wd w/o coordinates","rel_abundance"
1.4842,0.146877022554585,"velocity_c","v + wd w/o coordinates","rel_abundance"
1.522,0.146877022554585,"velocity_c","v + wd w/o coordinates","rel_abundance"
1.5598,0.148010758777567,"velocity_c","v + wd w/o coordinates","rel_abundance"
1.5976,0.154291606778144,"velocity_c","v + wd w/o coordinates","rel_abundance"
1.6354,0.172232165311774,"velocity_c","v + wd w/o coordinates","rel_abundance"
1.6732,0.172232165311774,"velocity_c","v + wd w/o coordinates","rel_abundance"
1.711,0.172232165311774,"velocity_c","v + wd w/o coordinates","rel_abundance"
1.7488,0.172232165311774,"velocity_c","v + wd w/o coordinates","rel_abundance"
1.7866,0.172232165311774,"velocity_c","v + wd w/o coordinates","rel_abundance"
1.8244,0.172232165311774,"velocity_c","v + wd w/o coordinates","rel_abundance"
1.8622,0.172232165311774,"velocity_c","v + wd w/o coordinates","rel_abundance"
1.9,0.172232165311774,"velocity_c","v + wd w/o coordinates","rel_abundance"
