"velocity","yhat","predictors","model","index"
0.01,0.252133543672864,"velocity","v + wd w/o coordinates","rel_abundance"
0.0414,0.206259738847718,"velocity","v + wd w/o coordinates","rel_abundance"
0.0728,0.200382576321978,"velocity","v + wd w/o coordinates","rel_abundance"
0.1042,0.200397975085715,"velocity","v + wd w/o coordinates","rel_abundance"
0.1356,0.184616929809527,"velocity","v + wd w/o coordinates","rel_abundance"
0.167,0.181925934391608,"velocity","v + wd w/o coordinates","rel_abundance"
0.1984,0.184328196619484,"velocity","v + wd w/o coordinates","rel_abundance"
0.2298,0.189096044745947,"velocity","v + wd w/o coordinates","rel_abundance"
0.2612,0.19291775682486,"velocity","v + wd w/o coordinates","rel_abundance"
0.2926,0.209770481307423,"velocity","v + wd w/o coordinates","rel_abundance"
0.324,0.217748974341097,"velocity","v + wd w/o coordinates","rel_abundance"
0.3554,0.196146823413861,"velocity","v + wd w/o coordinates","rel_abundance"
0.3868,0.193514092510432,"velocity","v + wd w/o coordinates","rel_abundance"
0.4182,0.193705310639095,"velocity","v + wd w/o coordinates","rel_abundance"
0.4496,0.202193140521473,"velocity","v + wd w/o coordinates","rel_abundance"
0.481,0.214029997573676,"velocity","v + wd w/o coordinates","rel_abundance"
0.5124,0.216374476411224,"velocity","v + wd w/o coordinates","rel_abundance"
0.5438,0.200424782985826,"velocity","v + wd w/o coordinates","rel_abundance"
0.5752,0.191356409964404,"velocity","v + wd w/o coordinates","rel_abundance"
0.6066,0.180680412053878,"velocity","v + wd w/o coordinates","rel_abundance"
0.638,0.172381078502495,"velocity","v + wd w/o coordinates","rel_abundance"
0.6694,0.15698426075944,"velocity","v + wd w/o coordinates","rel_abundance"
0.7008,0.146877148381815,"velocity","v + wd w/o coordinates","rel_abundance"
0.7322,0.149943128257908,"velocity","v + wd w/o coordinates","rel_abundance"
0.7636,0.157555057508403,"velocity","v + wd w/o coordinates","rel_abundance"
0.795,0.168295928462056,"velocity","v + wd w/o coordinates","rel_abundance"
0.8264,0.181980017725961,"velocity","v + wd w/o coordinates","rel_abundance"
0.8578,0.181424335205039,"velocity","v + wd w/o coordinates","rel_abundance"
0.8892,0.18149952285261,"velocity","v + wd w/o coordinates","rel_abundance"
0.9206,0.187161574308331,"velocity","v + wd w/o coordinates","rel_abundance"
0.952,0.186013921243325,"velocity","v + wd w/o coordinates","rel_abundance"
0.9834,0.186847850436261,"velocity","v + wd w/o coordinates","rel_abundance"
1.0148,0.186573231499266,"velocity","v + wd w/o coordinates","rel_abundance"
1.0462,0.191570579644312,"velocity","v + wd w/o coordinates","rel_abundance"
1.0776,0.194910285448575,"velocity","v + wd w/o coordinates","rel_abundance"
1.109,0.195519308658124,"velocity","v + wd w/o coordinates","rel_abundance"
1.1404,0.197674476472415,"velocity","v + wd w/o coordinates","rel_abundance"
1.1718,0.197209067238168,"velocity","v + wd w/o coordinates","rel_abundance"
1.2032,0.196618950227677,"velocity","v + wd w/o coordinates","rel_abundance"
1.2346,0.198690204623238,"velocity","v + wd w/o coordinates","rel_abundance"
1.266,0.198834256560956,"velocity","v + wd w/o coordinates","rel_abundance"
1.2974,0.198285279266564,"velocity","v + wd w/o coordinates","rel_abundance"
1.3288,0.197120644049403,"velocity","v + wd w/o coordinates","rel_abundance"
1.3602,0.196670380917901,"velocity","v + wd w/o coordinates","rel_abundance"
1.3916,0.196670380917901,"velocity","v + wd w/o coordinates","rel_abundance"
1.423,0.196376722078835,"velocity","v + wd w/o coordinates","rel_abundance"
1.4544,0.196376722078835,"velocity","v + wd w/o coordinates","rel_abundance"
1.4858,0.196519188785641,"velocity","v + wd w/o coordinates","rel_abundance"
1.5172,0.196519188785641,"velocity","v + wd w/o coordinates","rel_abundance"
1.5486,0.196519188785641,"velocity","v + wd w/o coordinates","rel_abundance"
1.58,0.196519188785641,"velocity","v + wd w/o coordinates","rel_abundance"
