"velocity","yhat","predictors","model","index"
0.01,2.41713471117395,"velocity","v + wd w/ coordinates","shannon_index"
0.0414,2.43326515262877,"velocity","v + wd w/ coordinates","shannon_index"
0.0728,2.45807352744871,"velocity","v + wd w/ coordinates","shannon_index"
0.1042,2.4767587725763,"velocity","v + wd w/ coordinates","shannon_index"
0.1356,2.44494168570748,"velocity","v + wd w/ coordinates","shannon_index"
0.167,2.44594667438004,"velocity","v + wd w/ coordinates","shannon_index"
0.1984,2.41948523193046,"velocity","v + wd w/ coordinates","shannon_index"
0.2298,2.41653202570699,"velocity","v + wd w/ coordinates","shannon_index"
0.2612,2.41508616796798,"velocity","v + wd w/ coordinates","shannon_index"
0.2926,2.41660774209433,"velocity","v + wd w/ coordinates","shannon_index"
0.324,2.41536252590379,"velocity","v + wd w/ coordinates","shannon_index"
0.3554,2.42009899649646,"velocity","v + wd w/ coordinates","shannon_index"
0.3868,2.41281194239855,"velocity","v + wd w/ coordinates","shannon_index"
0.4182,2.47942014907797,"velocity","v + wd w/ coordinates","shannon_index"
0.4496,2.51798193087732,"velocity","v + wd w/ coordinates","shannon_index"
0.481,2.53207887157246,"velocity","v + wd w/ coordinates","shannon_index"
0.5124,2.48895387268729,"velocity","v + wd w/ coordinates","shannon_index"
0.5438,2.50414889167856,"velocity","v + wd w/ coordinates","shannon_index"
0.5752,2.4904218652734,"velocity","v + wd w/ coordinates","shannon_index"
0.6066,2.47120555986961,"velocity","v + wd w/ coordinates","shannon_index"
0.638,2.4632387407538,"velocity","v + wd w/ coordinates","shannon_index"
0.6694,2.43520440429765,"velocity","v + wd w/ coordinates","shannon_index"
0.7008,2.45117644496538,"velocity","v + wd w/ coordinates","shannon_index"
0.7322,2.40751807971133,"velocity","v + wd w/ coordinates","shannon_index"
0.7636,2.40745697391254,"velocity","v + wd w/ coordinates","shannon_index"
0.795,2.41738589977225,"velocity","v + wd w/ coordinates","shannon_index"
0.8264,2.4192303566745,"velocity","v + wd w/ coordinates","shannon_index"
0.8578,2.41844768256501,"velocity","v + wd w/ coordinates","shannon_index"
0.8892,2.39746980714025,"velocity","v + wd w/ coordinates","shannon_index"
0.9206,2.39243671698151,"velocity","v + wd w/ coordinates","shannon_index"
0.952,2.40374118476002,"velocity","v + wd w/ coordinates","shannon_index"
0.9834,2.40345618404724,"velocity","v + wd w/ coordinates","shannon_index"
1.0148,2.40219503585939,"velocity","v + wd w/ coordinates","shannon_index"
1.0462,2.41545159838818,"velocity","v + wd w/ coordinates","shannon_index"
1.0776,2.42437120609813,"velocity","v + wd w/ coordinates","shannon_index"
1.109,2.4206582578244,"velocity","v + wd w/ coordinates","shannon_index"
1.1404,2.42811346550783,"velocity","v + wd w/ coordinates","shannon_index"
1.1718,2.42970214784145,"velocity","v + wd w/ coordinates","shannon_index"
1.2032,2.43481615047764,"velocity","v + wd w/ coordinates","shannon_index"
1.2346,2.43482517892564,"velocity","v + wd w/ coordinates","shannon_index"
1.266,2.42269900661928,"velocity","v + wd w/ coordinates","shannon_index"
1.2974,2.42481506063982,"velocity","v + wd w/ coordinates","shannon_index"
1.3288,2.43286850524169,"velocity","v + wd w/ coordinates","shannon_index"
1.3602,2.43319790313641,"velocity","v + wd w/ coordinates","shannon_index"
1.3916,2.43487054689063,"velocity","v + wd w/ coordinates","shannon_index"
1.423,2.41810331935132,"velocity","v + wd w/ coordinates","shannon_index"
1.4544,2.42026165983191,"velocity","v + wd w/ coordinates","shannon_index"
1.4858,2.42150170245656,"velocity","v + wd w/ coordinates","shannon_index"
1.5172,2.42150170245656,"velocity","v + wd w/ coordinates","shannon_index"
1.5486,2.42150170245656,"velocity","v + wd w/ coordinates","shannon_index"
1.58,2.42167447645355,"velocity","v + wd w/ coordinates","shannon_index"
