"velocity","yhat","predictors","model","index"
0.01,2.45261935471397,"velocity","v + wd w/ coordinates","shannon_index"
0.0414,2.47869465931462,"velocity","v + wd w/ coordinates","shannon_index"
0.0728,2.48596665401284,"velocity","v + wd w/ coordinates","shannon_index"
0.1042,2.49374222864339,"velocity","v + wd w/ coordinates","shannon_index"
0.1356,2.497952484985,"velocity","v + wd w/ coordinates","shannon_index"
0.167,2.50354843579009,"velocity","v + wd w/ coordinates","shannon_index"
0.1984,2.48951912177171,"velocity","v + wd w/ coordinates","shannon_index"
0.2298,2.48741365988994,"velocity","v + wd w/ coordinates","shannon_index"
0.2612,2.48128234330859,"velocity","v + wd w/ coordinates","shannon_index"
0.2926,2.47852295465618,"velocity","v + wd w/ coordinates","shannon_index"
0.324,2.48053258489254,"velocity","v + wd w/ coordinates","shannon_index"
0.3554,2.47677039520896,"velocity","v + wd w/ coordinates","shannon_index"
0.3868,2.48395065182927,"velocity","v + wd w/ coordinates","shannon_index"
0.4182,2.497867703634,"velocity","v + wd w/ coordinates","shannon_index"
0.4496,2.50622409269522,"velocity","v + wd w/ coordinates","shannon_index"
0.481,2.51330631992225,"velocity","v + wd w/ coordinates","shannon_index"
0.5124,2.51519830018283,"velocity","v + wd w/ coordinates","shannon_index"
0.5438,2.51776189109416,"velocity","v + wd w/ coordinates","shannon_index"
0.5752,2.50731763259679,"velocity","v + wd w/ coordinates","shannon_index"
0.6066,2.5019580559404,"velocity","v + wd w/ coordinates","shannon_index"
0.638,2.49999484579957,"velocity","v + wd w/ coordinates","shannon_index"
0.6694,2.48772766970144,"velocity","v + wd w/ coordinates","shannon_index"
0.7008,2.48875876989214,"velocity","v + wd w/ coordinates","shannon_index"
0.7322,2.48815536734228,"velocity","v + wd w/ coordinates","shannon_index"
0.7636,2.50776462453843,"velocity","v + wd w/ coordinates","shannon_index"
0.795,2.51701396650236,"velocity","v + wd w/ coordinates","shannon_index"
0.8264,2.51748567676982,"velocity","v + wd w/ coordinates","shannon_index"
0.8578,2.51778201239517,"velocity","v + wd w/ coordinates","shannon_index"
0.8892,2.51854348023822,"velocity","v + wd w/ coordinates","shannon_index"
0.9206,2.52467198014465,"velocity","v + wd w/ coordinates","shannon_index"
0.952,2.52670411361986,"velocity","v + wd w/ coordinates","shannon_index"
0.9834,2.527368658791,"velocity","v + wd w/ coordinates","shannon_index"
1.0148,2.52716285813202,"velocity","v + wd w/ coordinates","shannon_index"
1.0462,2.52936753820401,"velocity","v + wd w/ coordinates","shannon_index"
1.0776,2.52912330106495,"velocity","v + wd w/ coordinates","shannon_index"
1.109,2.53019119958737,"velocity","v + wd w/ coordinates","shannon_index"
1.1404,2.52973257588339,"velocity","v + wd w/ coordinates","shannon_index"
1.1718,2.52973824454132,"velocity","v + wd w/ coordinates","shannon_index"
1.2032,2.52911400947271,"velocity","v + wd w/ coordinates","shannon_index"
1.2346,2.52919060716029,"velocity","v + wd w/ coordinates","shannon_index"
1.266,2.53061705045154,"velocity","v + wd w/ coordinates","shannon_index"
1.2974,2.53295135715757,"velocity","v + wd w/ coordinates","shannon_index"
1.3288,2.53305882595272,"velocity","v + wd w/ coordinates","shannon_index"
1.3602,2.53323846109341,"velocity","v + wd w/ coordinates","shannon_index"
1.3916,2.53484336512891,"velocity","v + wd w/ coordinates","shannon_index"
1.423,2.53484336512891,"velocity","v + wd w/ coordinates","shannon_index"
1.4544,2.53558684840417,"velocity","v + wd w/ coordinates","shannon_index"
1.4858,2.53558684840417,"velocity","v + wd w/ coordinates","shannon_index"
1.5172,2.53558684840417,"velocity","v + wd w/ coordinates","shannon_index"
1.5486,2.53558684840417,"velocity","v + wd w/ coordinates","shannon_index"
1.58,2.53687961664079,"velocity","v + wd w/ coordinates","shannon_index"
