"wd_m","yhat","predictors","model","index"
0.08,1266.22106481481,"wd_m","v + wd w/o coordinates","abundance"
0.099,1278.34228472222,"wd_m","v + wd w/o coordinates","abundance"
0.118,1095.67421373457,"wd_m","v + wd w/o coordinates","abundance"
0.137,987.586094135803,"wd_m","v + wd w/o coordinates","abundance"
0.156,940.877544753087,"wd_m","v + wd w/o coordinates","abundance"
0.175,928.398587191358,"wd_m","v + wd w/o coordinates","abundance"
0.194,925.884712191358,"wd_m","v + wd w/o coordinates","abundance"
0.213,940.781169290124,"wd_m","v + wd w/o coordinates","abundance"
0.232,950.032377623457,"wd_m","v + wd w/o coordinates","abundance"
0.251,1044.70252962963,"wd_m","v + wd w/o coordinates","abundance"
0.27,902.163825154321,"wd_m","v + wd w/o coordinates","abundance"
0.289,850.516514969136,"wd_m","v + wd w/o coordinates","abundance"
0.308,836.480548148148,"wd_m","v + wd w/o coordinates","abundance"
0.327,792.763525771605,"wd_m","v + wd w/o coordinates","abundance"
0.346,774.146413580247,"wd_m","v + wd w/o coordinates","abundance"
0.365,775.325101080247,"wd_m","v + wd w/o coordinates","abundance"
0.384,804.17550154321,"wd_m","v + wd w/o coordinates","abundance"
0.403,762.020622685185,"wd_m","v + wd w/o coordinates","abundance"
0.422,695.591206790123,"wd_m","v + wd w/o coordinates","abundance"
0.441,662.925888117284,"wd_m","v + wd w/o coordinates","abundance"
0.46,657.418532407407,"wd_m","v + wd w/o coordinates","abundance"
0.479,671.153777006173,"wd_m","v + wd w/o coordinates","abundance"
0.498,696.000617283951,"wd_m","v + wd w/o coordinates","abundance"
0.517,659.745740740741,"wd_m","v + wd w/o coordinates","abundance"
0.536,667.899282407407,"wd_m","v + wd w/o coordinates","abundance"
0.555,668.197081018518,"wd_m","v + wd w/o coordinates","abundance"
0.574,642.023760030864,"wd_m","v + wd w/o coordinates","abundance"
0.593,626.031394290123,"wd_m","v + wd w/o coordinates","abundance"
0.612,562.995611882716,"wd_m","v + wd w/o coordinates","abundance"
0.631,555.850778549383,"wd_m","v + wd w/o coordinates","abundance"
0.65,533.200616512346,"wd_m","v + wd w/o coordinates","abundance"
0.669,515.215978395062,"wd_m","v + wd w/o coordinates","abundance"
0.688,514.219392746914,"wd_m","v + wd w/o coordinates","abundance"
0.707,513.902915895062,"wd_m","v + wd w/o coordinates","abundance"
0.726,511.412734567901,"wd_m","v + wd w/o coordinates","abundance"
0.745,513.762672839506,"wd_m","v + wd w/o coordinates","abundance"
0.764,513.565867283951,"wd_m","v + wd w/o coordinates","abundance"
0.783,511.102077932099,"wd_m","v + wd w/o coordinates","abundance"
0.802,509.947861111111,"wd_m","v + wd w/o coordinates","abundance"
0.821,509.856628858025,"wd_m","v + wd w/o coordinates","abundance"
0.84,510.403956018518,"wd_m","v + wd w/o coordinates","abundance"
0.859,511.946460648148,"wd_m","v + wd w/o coordinates","abundance"
0.878,512.275459876543,"wd_m","v + wd w/o coordinates","abundance"
0.897,511.941405864198,"wd_m","v + wd w/o coordinates","abundance"
0.916,521.589810185185,"wd_m","v + wd w/o coordinates","abundance"
0.935,521.589810185185,"wd_m","v + wd w/o coordinates","abundance"
0.954,521.589810185185,"wd_m","v + wd w/o coordinates","abundance"
0.973,521.553467592593,"wd_m","v + wd w/o coordinates","abundance"
0.992,520.993678240741,"wd_m","v + wd w/o coordinates","abundance"
1.011,520.993678240741,"wd_m","v + wd w/o coordinates","abundance"
1.03,520.993678240741,"wd_m","v + wd w/o coordinates","abundance"
