"wd_m","yhat","predictors","model","index"
0.08,0.55660344267057,"wd_m","v + wd w/ coordinates","k_index"
0.099,0.557641188648564,"wd_m","v + wd w/ coordinates","k_index"
0.118,0.54977388366091,"wd_m","v + wd w/ coordinates","k_index"
0.137,0.554496819912284,"wd_m","v + wd w/ coordinates","k_index"
0.156,0.554722138852985,"wd_m","v + wd w/ coordinates","k_index"
0.175,0.559894394474449,"wd_m","v + wd w/ coordinates","k_index"
0.194,0.554664520374327,"wd_m","v + wd w/ coordinates","k_index"
0.213,0.560743923988883,"wd_m","v + wd w/ coordinates","k_index"
0.232,0.542459756963783,"wd_m","v + wd w/ coordinates","k_index"
0.251,0.564057662979596,"wd_m","v + wd w/ coordinates","k_index"
0.27,0.545389713064112,"wd_m","v + wd w/ coordinates","k_index"
0.289,0.543201438565221,"wd_m","v + wd w/ coordinates","k_index"
0.308,0.541691738836191,"wd_m","v + wd w/ coordinates","k_index"
0.327,0.534782650259634,"wd_m","v + wd w/ coordinates","k_index"
0.346,0.545762405765277,"wd_m","v + wd w/ coordinates","k_index"
0.365,0.53389790257508,"wd_m","v + wd w/ coordinates","k_index"
0.384,0.536441009733136,"wd_m","v + wd w/ coordinates","k_index"
0.403,0.525206866829346,"wd_m","v + wd w/ coordinates","k_index"
0.422,0.523915314770959,"wd_m","v + wd w/ coordinates","k_index"
0.441,0.519538264756125,"wd_m","v + wd w/ coordinates","k_index"
0.46,0.515607590304205,"wd_m","v + wd w/ coordinates","k_index"
0.479,0.516835331985796,"wd_m","v + wd w/ coordinates","k_index"
0.498,0.524250779128461,"wd_m","v + wd w/ coordinates","k_index"
0.517,0.517515360239755,"wd_m","v + wd w/ coordinates","k_index"
0.536,0.517869529279846,"wd_m","v + wd w/ coordinates","k_index"
0.555,0.512645186373481,"wd_m","v + wd w/ coordinates","k_index"
0.574,0.51304436509532,"wd_m","v + wd w/ coordinates","k_index"
0.593,0.514338614902011,"wd_m","v + wd w/ coordinates","k_index"
0.612,0.509160120902514,"wd_m","v + wd w/ coordinates","k_index"
0.631,0.516319355272033,"wd_m","v + wd w/ coordinates","k_index"
0.65,0.513468358596718,"wd_m","v + wd w/ coordinates","k_index"
0.669,0.51456319630422,"wd_m","v + wd w/ coordinates","k_index"
0.688,0.517209163315042,"wd_m","v + wd w/ coordinates","k_index"
0.707,0.513364257739374,"wd_m","v + wd w/ coordinates","k_index"
0.726,0.51054817320848,"wd_m","v + wd w/ coordinates","k_index"
0.745,0.504243576209302,"wd_m","v + wd w/ coordinates","k_index"
0.764,0.504231526999286,"wd_m","v + wd w/ coordinates","k_index"
0.783,0.499751680703075,"wd_m","v + wd w/ coordinates","k_index"
0.802,0.4986054505463,"wd_m","v + wd w/ coordinates","k_index"
0.821,0.498097978842755,"wd_m","v + wd w/ coordinates","k_index"
0.84,0.49791031120414,"wd_m","v + wd w/ coordinates","k_index"
0.859,0.498313427454344,"wd_m","v + wd w/ coordinates","k_index"
0.878,0.498311007395387,"wd_m","v + wd w/ coordinates","k_index"
0.897,0.498559982343404,"wd_m","v + wd w/ coordinates","k_index"
0.916,0.498205236090278,"wd_m","v + wd w/ coordinates","k_index"
0.935,0.498205236090278,"wd_m","v + wd w/ coordinates","k_index"
0.954,0.498314338011874,"wd_m","v + wd w/ coordinates","k_index"
0.973,0.498314338011874,"wd_m","v + wd w/ coordinates","k_index"
0.992,0.498586926402317,"wd_m","v + wd w/ coordinates","k_index"
1.011,0.498586926402317,"wd_m","v + wd w/ coordinates","k_index"
1.03,0.498586926402317,"wd_m","v + wd w/ coordinates","k_index"
