"wd_m","yhat","predictors","model","index"
0.08,0.552014460220285,"wd_m_c","v + wd w/o coordinates","k_index"
0.099,0.54940481165397,"wd_m_c","v + wd w/o coordinates","k_index"
0.118,0.553402323977671,"wd_m_c","v + wd w/o coordinates","k_index"
0.137,0.547311159309702,"wd_m_c","v + wd w/o coordinates","k_index"
0.156,0.54334528889993,"wd_m_c","v + wd w/o coordinates","k_index"
0.175,0.556302853576515,"wd_m_c","v + wd w/o coordinates","k_index"
0.194,0.583119217576324,"wd_m_c","v + wd w/o coordinates","k_index"
0.213,0.589536917274413,"wd_m_c","v + wd w/o coordinates","k_index"
0.232,0.517209934043712,"wd_m_c","v + wd w/o coordinates","k_index"
0.251,0.577047850666703,"wd_m_c","v + wd w/o coordinates","k_index"
0.27,0.534430060859608,"wd_m_c","v + wd w/o coordinates","k_index"
0.289,0.537160408939572,"wd_m_c","v + wd w/o coordinates","k_index"
0.308,0.552447165645983,"wd_m_c","v + wd w/o coordinates","k_index"
0.327,0.555289735612662,"wd_m_c","v + wd w/o coordinates","k_index"
0.346,0.580277603713499,"wd_m_c","v + wd w/o coordinates","k_index"
0.365,0.559786324213812,"wd_m_c","v + wd w/o coordinates","k_index"
0.384,0.593772454808156,"wd_m_c","v + wd w/o coordinates","k_index"
0.403,0.559099897256364,"wd_m_c","v + wd w/o coordinates","k_index"
0.422,0.535335358070291,"wd_m_c","v + wd w/o coordinates","k_index"
0.441,0.517711084983919,"wd_m_c","v + wd w/o coordinates","k_index"
0.46,0.529340001929929,"wd_m_c","v + wd w/o coordinates","k_index"
0.479,0.522668967482404,"wd_m_c","v + wd w/o coordinates","k_index"
0.498,0.556777627787728,"wd_m_c","v + wd w/o coordinates","k_index"
0.517,0.520582750871562,"wd_m_c","v + wd w/o coordinates","k_index"
0.536,0.504306085083796,"wd_m_c","v + wd w/o coordinates","k_index"
0.555,0.509897850345874,"wd_m_c","v + wd w/o coordinates","k_index"
0.574,0.505323350429535,"wd_m_c","v + wd w/o coordinates","k_index"
0.593,0.496335335183835,"wd_m_c","v + wd w/o coordinates","k_index"
0.612,0.478327938611957,"wd_m_c","v + wd w/o coordinates","k_index"
0.631,0.507749741276105,"wd_m_c","v + wd w/o coordinates","k_index"
0.65,0.50973172561414,"wd_m_c","v + wd w/o coordinates","k_index"
0.669,0.509796302171721,"wd_m_c","v + wd w/o coordinates","k_index"
0.688,0.519923013189565,"wd_m_c","v + wd w/o coordinates","k_index"
0.707,0.538153109883053,"wd_m_c","v + wd w/o coordinates","k_index"
0.726,0.535111257887405,"wd_m_c","v + wd w/o coordinates","k_index"
0.745,0.533674959903178,"wd_m_c","v + wd w/o coordinates","k_index"
0.764,0.535049232019894,"wd_m_c","v + wd w/o coordinates","k_index"
0.783,0.551947830703811,"wd_m_c","v + wd w/o coordinates","k_index"
0.802,0.546013648959174,"wd_m_c","v + wd w/o coordinates","k_index"
0.821,0.544634162191895,"wd_m_c","v + wd w/o coordinates","k_index"
0.84,0.490632833562035,"wd_m_c","v + wd w/o coordinates","k_index"
0.859,0.488768191657205,"wd_m_c","v + wd w/o coordinates","k_index"
0.878,0.493226497285608,"wd_m_c","v + wd w/o coordinates","k_index"
0.897,0.480533117185468,"wd_m_c","v + wd w/o coordinates","k_index"
0.916,0.474727349220843,"wd_m_c","v + wd w/o coordinates","k_index"
0.935,0.495684864404409,"wd_m_c","v + wd w/o coordinates","k_index"
0.954,0.495684864404409,"wd_m_c","v + wd w/o coordinates","k_index"
0.973,0.495706426168697,"wd_m_c","v + wd w/o coordinates","k_index"
0.992,0.507460768564024,"wd_m_c","v + wd w/o coordinates","k_index"
1.011,0.507460768564024,"wd_m_c","v + wd w/o coordinates","k_index"
1.03,0.507460768564024,"wd_m_c","v + wd w/o coordinates","k_index"
