"wd_m","yhat","predictors","model","index"
0.08,0.557839402981757,"wd_m","v + wd w/o coordinates","k_index"
0.099,0.556432956466196,"wd_m","v + wd w/o coordinates","k_index"
0.118,0.558939311683148,"wd_m","v + wd w/o coordinates","k_index"
0.137,0.56146978235292,"wd_m","v + wd w/o coordinates","k_index"
0.156,0.56368814097944,"wd_m","v + wd w/o coordinates","k_index"
0.175,0.568220357415448,"wd_m","v + wd w/o coordinates","k_index"
0.194,0.570488238414593,"wd_m","v + wd w/o coordinates","k_index"
0.213,0.570542059988937,"wd_m","v + wd w/o coordinates","k_index"
0.232,0.5612340051568,"wd_m","v + wd w/o coordinates","k_index"
0.251,0.572870625555793,"wd_m","v + wd w/o coordinates","k_index"
0.27,0.557735364028883,"wd_m","v + wd w/o coordinates","k_index"
0.289,0.55589234021542,"wd_m","v + wd w/o coordinates","k_index"
0.308,0.555210964936473,"wd_m","v + wd w/o coordinates","k_index"
0.327,0.55437213470589,"wd_m","v + wd w/o coordinates","k_index"
0.346,0.565714887968275,"wd_m","v + wd w/o coordinates","k_index"
0.365,0.565481244679058,"wd_m","v + wd w/o coordinates","k_index"
0.384,0.567563155264835,"wd_m","v + wd w/o coordinates","k_index"
0.403,0.548781727839454,"wd_m","v + wd w/o coordinates","k_index"
0.422,0.548326493667024,"wd_m","v + wd w/o coordinates","k_index"
0.441,0.539239202083972,"wd_m","v + wd w/o coordinates","k_index"
0.46,0.533980123820928,"wd_m","v + wd w/o coordinates","k_index"
0.479,0.533720696127985,"wd_m","v + wd w/o coordinates","k_index"
0.498,0.542888744996338,"wd_m","v + wd w/o coordinates","k_index"
0.517,0.530094171368761,"wd_m","v + wd w/o coordinates","k_index"
0.536,0.523353700544281,"wd_m","v + wd w/o coordinates","k_index"
0.555,0.521321350996962,"wd_m","v + wd w/o coordinates","k_index"
0.574,0.521850416859006,"wd_m","v + wd w/o coordinates","k_index"
0.593,0.524099581875819,"wd_m","v + wd w/o coordinates","k_index"
0.612,0.519737362940411,"wd_m","v + wd w/o coordinates","k_index"
0.631,0.522499719269895,"wd_m","v + wd w/o coordinates","k_index"
0.65,0.520667893162046,"wd_m","v + wd w/o coordinates","k_index"
0.669,0.519154688375106,"wd_m","v + wd w/o coordinates","k_index"
0.688,0.520174072747776,"wd_m","v + wd w/o coordinates","k_index"
0.707,0.516918664032029,"wd_m","v + wd w/o coordinates","k_index"
0.726,0.515079239840974,"wd_m","v + wd w/o coordinates","k_index"
0.745,0.516510244624258,"wd_m","v + wd w/o coordinates","k_index"
0.764,0.517055387816209,"wd_m","v + wd w/o coordinates","k_index"
0.783,0.514652597090388,"wd_m","v + wd w/o coordinates","k_index"
0.802,0.502863854153843,"wd_m","v + wd w/o coordinates","k_index"
0.821,0.498189913248417,"wd_m","v + wd w/o coordinates","k_index"
0.84,0.490884150167358,"wd_m","v + wd w/o coordinates","k_index"
0.859,0.486896891417132,"wd_m","v + wd w/o coordinates","k_index"
0.878,0.485725933808056,"wd_m","v + wd w/o coordinates","k_index"
0.897,0.484277004802255,"wd_m","v + wd w/o coordinates","k_index"
0.916,0.482500335688975,"wd_m","v + wd w/o coordinates","k_index"
0.935,0.482614133013371,"wd_m","v + wd w/o coordinates","k_index"
0.954,0.482614133013371,"wd_m","v + wd w/o coordinates","k_index"
0.973,0.482614133013371,"wd_m","v + wd w/o coordinates","k_index"
0.992,0.482614133013371,"wd_m","v + wd w/o coordinates","k_index"
1.011,0.482614133013371,"wd_m","v + wd w/o coordinates","k_index"
1.03,0.482614133013371,"wd_m","v + wd w/o coordinates","k_index"
