"wd_m","yhat","predictors","model","index"
0.08,0.41776386929163,"wd_m_c","v + wd w/o coordinates","rel_abundance"
0.099,0.434613276920889,"wd_m_c","v + wd w/o coordinates","rel_abundance"
0.118,0.287032551577558,"wd_m_c","v + wd w/o coordinates","rel_abundance"
0.137,0.27029467402431,"wd_m_c","v + wd w/o coordinates","rel_abundance"
0.156,0.200303711186069,"wd_m_c","v + wd w/o coordinates","rel_abundance"
0.175,0.256064830617844,"wd_m_c","v + wd w/o coordinates","rel_abundance"
0.194,0.194044218817051,"wd_m_c","v + wd w/o coordinates","rel_abundance"
0.213,0.256818997039311,"wd_m_c","v + wd w/o coordinates","rel_abundance"
0.232,0.124451851934545,"wd_m_c","v + wd w/o coordinates","rel_abundance"
0.251,0.309693234122318,"wd_m_c","v + wd w/o coordinates","rel_abundance"
0.27,0.233364492168893,"wd_m_c","v + wd w/o coordinates","rel_abundance"
0.289,0.255145815862478,"wd_m_c","v + wd w/o coordinates","rel_abundance"
0.308,0.207411655548798,"wd_m_c","v + wd w/o coordinates","rel_abundance"
0.327,0.173234507347039,"wd_m_c","v + wd w/o coordinates","rel_abundance"
0.346,0.22838025490173,"wd_m_c","v + wd w/o coordinates","rel_abundance"
0.365,0.201971636437204,"wd_m_c","v + wd w/o coordinates","rel_abundance"
0.384,0.330267427246208,"wd_m_c","v + wd w/o coordinates","rel_abundance"
0.403,0.226552983583963,"wd_m_c","v + wd w/o coordinates","rel_abundance"
0.422,0.148397194444323,"wd_m_c","v + wd w/o coordinates","rel_abundance"
0.441,0.138522352324799,"wd_m_c","v + wd w/o coordinates","rel_abundance"
0.46,0.140647247663119,"wd_m_c","v + wd w/o coordinates","rel_abundance"
0.479,0.137755357635046,"wd_m_c","v + wd w/o coordinates","rel_abundance"
0.498,0.269026901883384,"wd_m_c","v + wd w/o coordinates","rel_abundance"
0.517,0.0779989939377022,"wd_m_c","v + wd w/o coordinates","rel_abundance"
0.536,0.119815419921972,"wd_m_c","v + wd w/o coordinates","rel_abundance"
0.555,0.222956044761383,"wd_m_c","v + wd w/o coordinates","rel_abundance"
0.574,0.0970886779246359,"wd_m_c","v + wd w/o coordinates","rel_abundance"
0.593,0.150854113133813,"wd_m_c","v + wd w/o coordinates","rel_abundance"
0.612,0.0717795277672374,"wd_m_c","v + wd w/o coordinates","rel_abundance"
0.631,0.0807713805082038,"wd_m_c","v + wd w/o coordinates","rel_abundance"
0.65,0.056747498262785,"wd_m_c","v + wd w/o coordinates","rel_abundance"
0.669,0.0628909345971846,"wd_m_c","v + wd w/o coordinates","rel_abundance"
0.688,0.0788420199676403,"wd_m_c","v + wd w/o coordinates","rel_abundance"
0.707,0.0797972145542651,"wd_m_c","v + wd w/o coordinates","rel_abundance"
0.726,0.0857968810984554,"wd_m_c","v + wd w/o coordinates","rel_abundance"
0.745,0.0854268729453906,"wd_m_c","v + wd w/o coordinates","rel_abundance"
0.764,0.0761715858926713,"wd_m_c","v + wd w/o coordinates","rel_abundance"
0.783,0.0456009247987506,"wd_m_c","v + wd w/o coordinates","rel_abundance"
0.802,0.0531817453028044,"wd_m_c","v + wd w/o coordinates","rel_abundance"
0.821,0.0508435083200153,"wd_m_c","v + wd w/o coordinates","rel_abundance"
0.84,0.0451907811688927,"wd_m_c","v + wd w/o coordinates","rel_abundance"
0.859,0.028742371355833,"wd_m_c","v + wd w/o coordinates","rel_abundance"
0.878,0.0597279063625045,"wd_m_c","v + wd w/o coordinates","rel_abundance"
0.897,0.0634685923105808,"wd_m_c","v + wd w/o coordinates","rel_abundance"
0.916,0.0834710812246751,"wd_m_c","v + wd w/o coordinates","rel_abundance"
0.935,0.0834710812246751,"wd_m_c","v + wd w/o coordinates","rel_abundance"
0.954,0.0850756677842793,"wd_m_c","v + wd w/o coordinates","rel_abundance"
0.973,0.0850756677842793,"wd_m_c","v + wd w/o coordinates","rel_abundance"
0.992,0.0844205016147116,"wd_m_c","v + wd w/o coordinates","rel_abundance"
1.011,0.0844205016147116,"wd_m_c","v + wd w/o coordinates","rel_abundance"
1.03,0.0844205016147116,"wd_m_c","v + wd w/o coordinates","rel_abundance"
