"wd_m","yhat","predictors","model","index"
0.08,0.366282493685899,"wd_m_c","v + wd w/o coordinates","rel_abundance"
0.099,0.382561423964259,"wd_m_c","v + wd w/o coordinates","rel_abundance"
0.118,0.287852073871139,"wd_m_c","v + wd w/o coordinates","rel_abundance"
0.137,0.260316867651283,"wd_m_c","v + wd w/o coordinates","rel_abundance"
0.156,0.193043741681006,"wd_m_c","v + wd w/o coordinates","rel_abundance"
0.175,0.20959575234008,"wd_m_c","v + wd w/o coordinates","rel_abundance"
0.194,0.207892234666624,"wd_m_c","v + wd w/o coordinates","rel_abundance"
0.213,0.229175645642091,"wd_m_c","v + wd w/o coordinates","rel_abundance"
0.232,0.187235185849494,"wd_m_c","v + wd w/o coordinates","rel_abundance"
0.251,0.345159726892261,"wd_m_c","v + wd w/o coordinates","rel_abundance"
0.27,0.211277798331086,"wd_m_c","v + wd w/o coordinates","rel_abundance"
0.289,0.208532434874687,"wd_m_c","v + wd w/o coordinates","rel_abundance"
0.308,0.204235892418934,"wd_m_c","v + wd w/o coordinates","rel_abundance"
0.327,0.170580132607965,"wd_m_c","v + wd w/o coordinates","rel_abundance"
0.346,0.198201270747012,"wd_m_c","v + wd w/o coordinates","rel_abundance"
0.365,0.202744080077695,"wd_m_c","v + wd w/o coordinates","rel_abundance"
0.384,0.264992044185815,"wd_m_c","v + wd w/o coordinates","rel_abundance"
0.403,0.21056515790954,"wd_m_c","v + wd w/o coordinates","rel_abundance"
0.422,0.15304590019303,"wd_m_c","v + wd w/o coordinates","rel_abundance"
0.441,0.136925075432637,"wd_m_c","v + wd w/o coordinates","rel_abundance"
0.46,0.14474624203707,"wd_m_c","v + wd w/o coordinates","rel_abundance"
0.479,0.14301978557816,"wd_m_c","v + wd w/o coordinates","rel_abundance"
0.498,0.152053337949126,"wd_m_c","v + wd w/o coordinates","rel_abundance"
0.517,0.145881878819479,"wd_m_c","v + wd w/o coordinates","rel_abundance"
0.536,0.154526244390054,"wd_m_c","v + wd w/o coordinates","rel_abundance"
0.555,0.172447992056824,"wd_m_c","v + wd w/o coordinates","rel_abundance"
0.574,0.146764593198895,"wd_m_c","v + wd w/o coordinates","rel_abundance"
0.593,0.16772965889802,"wd_m_c","v + wd w/o coordinates","rel_abundance"
0.612,0.121467880904675,"wd_m_c","v + wd w/o coordinates","rel_abundance"
0.631,0.111642143297671,"wd_m_c","v + wd w/o coordinates","rel_abundance"
0.65,0.106439523108681,"wd_m_c","v + wd w/o coordinates","rel_abundance"
0.669,0.106251444276152,"wd_m_c","v + wd w/o coordinates","rel_abundance"
0.688,0.106265332003165,"wd_m_c","v + wd w/o coordinates","rel_abundance"
0.707,0.102679993613097,"wd_m_c","v + wd w/o coordinates","rel_abundance"
0.726,0.101837505431225,"wd_m_c","v + wd w/o coordinates","rel_abundance"
0.745,0.101520759249241,"wd_m_c","v + wd w/o coordinates","rel_abundance"
0.764,0.101712137433714,"wd_m_c","v + wd w/o coordinates","rel_abundance"
0.783,0.101233664859572,"wd_m_c","v + wd w/o coordinates","rel_abundance"
0.802,0.101539461151359,"wd_m_c","v + wd w/o coordinates","rel_abundance"
0.821,0.101539461151359,"wd_m_c","v + wd w/o coordinates","rel_abundance"
0.84,0.101276510698802,"wd_m_c","v + wd w/o coordinates","rel_abundance"
0.859,0.101400985861656,"wd_m_c","v + wd w/o coordinates","rel_abundance"
0.878,0.101400985861656,"wd_m_c","v + wd w/o coordinates","rel_abundance"
0.897,0.101400985861656,"wd_m_c","v + wd w/o coordinates","rel_abundance"
0.916,0.111195723080765,"wd_m_c","v + wd w/o coordinates","rel_abundance"
0.935,0.112716550061452,"wd_m_c","v + wd w/o coordinates","rel_abundance"
0.954,0.112716550061452,"wd_m_c","v + wd w/o coordinates","rel_abundance"
0.973,0.112716550061452,"wd_m_c","v + wd w/o coordinates","rel_abundance"
0.992,0.111622764965168,"wd_m_c","v + wd w/o coordinates","rel_abundance"
1.011,0.111622764965168,"wd_m_c","v + wd w/o coordinates","rel_abundance"
1.03,0.111622764965168,"wd_m_c","v + wd w/o coordinates","rel_abundance"
