"wd_m","yhat","predictors","model","index"
0.08,0.254733162201326,"wd_m","v + wd w/o coordinates","rel_abundance"
0.099,0.254598251820841,"wd_m","v + wd w/o coordinates","rel_abundance"
0.118,0.238024002689913,"wd_m","v + wd w/o coordinates","rel_abundance"
0.137,0.227127701117456,"wd_m","v + wd w/o coordinates","rel_abundance"
0.156,0.221572624183462,"wd_m","v + wd w/o coordinates","rel_abundance"
0.175,0.21881925432223,"wd_m","v + wd w/o coordinates","rel_abundance"
0.194,0.217751332107678,"wd_m","v + wd w/o coordinates","rel_abundance"
0.213,0.219936036111137,"wd_m","v + wd w/o coordinates","rel_abundance"
0.232,0.220853153319476,"wd_m","v + wd w/o coordinates","rel_abundance"
0.251,0.229976757885443,"wd_m","v + wd w/o coordinates","rel_abundance"
0.27,0.220661163658419,"wd_m","v + wd w/o coordinates","rel_abundance"
0.289,0.209104618724514,"wd_m","v + wd w/o coordinates","rel_abundance"
0.308,0.207293391430932,"wd_m","v + wd w/o coordinates","rel_abundance"
0.327,0.201163263341831,"wd_m","v + wd w/o coordinates","rel_abundance"
0.346,0.199883814787314,"wd_m","v + wd w/o coordinates","rel_abundance"
0.365,0.198525612427808,"wd_m","v + wd w/o coordinates","rel_abundance"
0.384,0.200040048954025,"wd_m","v + wd w/o coordinates","rel_abundance"
0.403,0.193480653318388,"wd_m","v + wd w/o coordinates","rel_abundance"
0.422,0.184597899924672,"wd_m","v + wd w/o coordinates","rel_abundance"
0.441,0.180904341259189,"wd_m","v + wd w/o coordinates","rel_abundance"
0.46,0.179853548440756,"wd_m","v + wd w/o coordinates","rel_abundance"
0.479,0.180583543264696,"wd_m","v + wd w/o coordinates","rel_abundance"
0.498,0.180074152836097,"wd_m","v + wd w/o coordinates","rel_abundance"
0.517,0.178262934889279,"wd_m","v + wd w/o coordinates","rel_abundance"
0.536,0.17947468252903,"wd_m","v + wd w/o coordinates","rel_abundance"
0.555,0.179574862880004,"wd_m","v + wd w/o coordinates","rel_abundance"
0.574,0.175326933415818,"wd_m","v + wd w/o coordinates","rel_abundance"
0.593,0.173557032476226,"wd_m","v + wd w/o coordinates","rel_abundance"
0.612,0.166618989022934,"wd_m","v + wd w/o coordinates","rel_abundance"
0.631,0.164873291041295,"wd_m","v + wd w/o coordinates","rel_abundance"
0.65,0.162656401827855,"wd_m","v + wd w/o coordinates","rel_abundance"
0.669,0.160133972004409,"wd_m","v + wd w/o coordinates","rel_abundance"
0.688,0.159605090986544,"wd_m","v + wd w/o coordinates","rel_abundance"
0.707,0.158912749138594,"wd_m","v + wd w/o coordinates","rel_abundance"
0.726,0.158136913604771,"wd_m","v + wd w/o coordinates","rel_abundance"
0.745,0.15765497543171,"wd_m","v + wd w/o coordinates","rel_abundance"
0.764,0.157407951700463,"wd_m","v + wd w/o coordinates","rel_abundance"
0.783,0.157060440437623,"wd_m","v + wd w/o coordinates","rel_abundance"
0.802,0.156547458070915,"wd_m","v + wd w/o coordinates","rel_abundance"
0.821,0.156602801056014,"wd_m","v + wd w/o coordinates","rel_abundance"
0.84,0.156866968772303,"wd_m","v + wd w/o coordinates","rel_abundance"
0.859,0.156563883377684,"wd_m","v + wd w/o coordinates","rel_abundance"
0.878,0.156546007461301,"wd_m","v + wd w/o coordinates","rel_abundance"
0.897,0.156918990206853,"wd_m","v + wd w/o coordinates","rel_abundance"
0.916,0.157087699841625,"wd_m","v + wd w/o coordinates","rel_abundance"
0.935,0.157087699841625,"wd_m","v + wd w/o coordinates","rel_abundance"
0.954,0.157087699841625,"wd_m","v + wd w/o coordinates","rel_abundance"
0.973,0.157087699841625,"wd_m","v + wd w/o coordinates","rel_abundance"
0.992,0.15704258550264,"wd_m","v + wd w/o coordinates","rel_abundance"
1.011,0.15704258550264,"wd_m","v + wd w/o coordinates","rel_abundance"
1.03,0.15704258550264,"wd_m","v + wd w/o coordinates","rel_abundance"
