"wd_m","yhat","predictors","model","index"
0.08,2.11105305129203,"wd_m_c","v + wd w/o coordinates","shannon_index"
0.099,2.06768281261126,"wd_m_c","v + wd w/o coordinates","shannon_index"
0.118,2.28381961756858,"wd_m_c","v + wd w/o coordinates","shannon_index"
0.137,2.37826458310735,"wd_m_c","v + wd w/o coordinates","shannon_index"
0.156,2.78148567762928,"wd_m_c","v + wd w/o coordinates","shannon_index"
0.175,2.84633838007416,"wd_m_c","v + wd w/o coordinates","shannon_index"
0.194,3.04969749502514,"wd_m_c","v + wd w/o coordinates","shannon_index"
0.213,3.11771012864251,"wd_m_c","v + wd w/o coordinates","shannon_index"
0.232,2.22139588646267,"wd_m_c","v + wd w/o coordinates","shannon_index"
0.251,2.47506981051486,"wd_m_c","v + wd w/o coordinates","shannon_index"
0.27,2.38656650030095,"wd_m_c","v + wd w/o coordinates","shannon_index"
0.289,2.49035822610924,"wd_m_c","v + wd w/o coordinates","shannon_index"
0.308,2.86950522833976,"wd_m_c","v + wd w/o coordinates","shannon_index"
0.327,2.86466838656992,"wd_m_c","v + wd w/o coordinates","shannon_index"
0.346,2.75436527271202,"wd_m_c","v + wd w/o coordinates","shannon_index"
0.365,2.56535796086857,"wd_m_c","v + wd w/o coordinates","shannon_index"
0.384,2.6549054906852,"wd_m_c","v + wd w/o coordinates","shannon_index"
0.403,2.61062920503858,"wd_m_c","v + wd w/o coordinates","shannon_index"
0.422,2.64488348753556,"wd_m_c","v + wd w/o coordinates","shannon_index"
0.441,2.65070025212523,"wd_m_c","v + wd w/o coordinates","shannon_index"
0.46,2.73005028306574,"wd_m_c","v + wd w/o coordinates","shannon_index"
0.479,2.65539655305337,"wd_m_c","v + wd w/o coordinates","shannon_index"
0.498,2.96277246440666,"wd_m_c","v + wd w/o coordinates","shannon_index"
0.517,2.81349889955659,"wd_m_c","v + wd w/o coordinates","shannon_index"
0.536,2.38223780022151,"wd_m_c","v + wd w/o coordinates","shannon_index"
0.555,2.25153643540714,"wd_m_c","v + wd w/o coordinates","shannon_index"
0.574,2.58523040880328,"wd_m_c","v + wd w/o coordinates","shannon_index"
0.593,2.68412055442299,"wd_m_c","v + wd w/o coordinates","shannon_index"
0.612,2.55855363348256,"wd_m_c","v + wd w/o coordinates","shannon_index"
0.631,2.66293653111527,"wd_m_c","v + wd w/o coordinates","shannon_index"
0.65,2.68823701963908,"wd_m_c","v + wd w/o coordinates","shannon_index"
0.669,2.68128036459287,"wd_m_c","v + wd w/o coordinates","shannon_index"
0.688,2.81685879394628,"wd_m_c","v + wd w/o coordinates","shannon_index"
0.707,2.93308361760084,"wd_m_c","v + wd w/o coordinates","shannon_index"
0.726,2.93807242702747,"wd_m_c","v + wd w/o coordinates","shannon_index"
0.745,2.87619140830593,"wd_m_c","v + wd w/o coordinates","shannon_index"
0.764,2.83125669757525,"wd_m_c","v + wd w/o coordinates","shannon_index"
0.783,2.94037415195203,"wd_m_c","v + wd w/o coordinates","shannon_index"
0.802,2.77729197170423,"wd_m_c","v + wd w/o coordinates","shannon_index"
0.821,2.77522735751193,"wd_m_c","v + wd w/o coordinates","shannon_index"
0.84,2.35795207213664,"wd_m_c","v + wd w/o coordinates","shannon_index"
0.859,2.49057873219684,"wd_m_c","v + wd w/o coordinates","shannon_index"
0.878,2.53370187377584,"wd_m_c","v + wd w/o coordinates","shannon_index"
0.897,2.43762411630672,"wd_m_c","v + wd w/o coordinates","shannon_index"
0.916,2.34317985565766,"wd_m_c","v + wd w/o coordinates","shannon_index"
0.935,2.34317985565766,"wd_m_c","v + wd w/o coordinates","shannon_index"
0.954,2.34317985565766,"wd_m_c","v + wd w/o coordinates","shannon_index"
0.973,2.34317985565766,"wd_m_c","v + wd w/o coordinates","shannon_index"
0.992,2.39588342887768,"wd_m_c","v + wd w/o coordinates","shannon_index"
1.011,2.39588342887768,"wd_m_c","v + wd w/o coordinates","shannon_index"
1.03,2.39588342887768,"wd_m_c","v + wd w/o coordinates","shannon_index"
