"wd_m","yhat","predictors","model","index"
0.08,2.62125538675873,"wd_m_c","v + wd w/o coordinates","shannon_index"
0.099,2.57957928765703,"wd_m_c","v + wd w/o coordinates","shannon_index"
0.118,2.93961652230333,"wd_m_c","v + wd w/o coordinates","shannon_index"
0.137,2.87349073644038,"wd_m_c","v + wd w/o coordinates","shannon_index"
0.156,2.94197485733915,"wd_m_c","v + wd w/o coordinates","shannon_index"
0.175,2.92718635830614,"wd_m_c","v + wd w/o coordinates","shannon_index"
0.194,2.87292141715686,"wd_m_c","v + wd w/o coordinates","shannon_index"
0.213,2.90728014597186,"wd_m_c","v + wd w/o coordinates","shannon_index"
0.232,2.2895786778855,"wd_m_c","v + wd w/o coordinates","shannon_index"
0.251,2.61966065758908,"wd_m_c","v + wd w/o coordinates","shannon_index"
0.27,2.43855927001547,"wd_m_c","v + wd w/o coordinates","shannon_index"
0.289,2.34835665341881,"wd_m_c","v + wd w/o coordinates","shannon_index"
0.308,2.32719251789429,"wd_m_c","v + wd w/o coordinates","shannon_index"
0.327,2.3881133797544,"wd_m_c","v + wd w/o coordinates","shannon_index"
0.346,2.45061276604732,"wd_m_c","v + wd w/o coordinates","shannon_index"
0.365,2.42258110118133,"wd_m_c","v + wd w/o coordinates","shannon_index"
0.384,2.45102351269236,"wd_m_c","v + wd w/o coordinates","shannon_index"
0.403,2.39040885396419,"wd_m_c","v + wd w/o coordinates","shannon_index"
0.422,2.36705321790995,"wd_m_c","v + wd w/o coordinates","shannon_index"
0.441,2.25373330588142,"wd_m_c","v + wd w/o coordinates","shannon_index"
0.46,2.26667644552611,"wd_m_c","v + wd w/o coordinates","shannon_index"
0.479,2.27189286356723,"wd_m_c","v + wd w/o coordinates","shannon_index"
0.498,2.44304081521652,"wd_m_c","v + wd w/o coordinates","shannon_index"
0.517,2.40705303571842,"wd_m_c","v + wd w/o coordinates","shannon_index"
0.536,2.25257758409889,"wd_m_c","v + wd w/o coordinates","shannon_index"
0.555,2.16002030146343,"wd_m_c","v + wd w/o coordinates","shannon_index"
0.574,2.43422320347141,"wd_m_c","v + wd w/o coordinates","shannon_index"
0.593,2.21754430262027,"wd_m_c","v + wd w/o coordinates","shannon_index"
0.612,2.20008140747194,"wd_m_c","v + wd w/o coordinates","shannon_index"
0.631,2.46653255075216,"wd_m_c","v + wd w/o coordinates","shannon_index"
0.65,2.50689256412012,"wd_m_c","v + wd w/o coordinates","shannon_index"
0.669,2.53004641720542,"wd_m_c","v + wd w/o coordinates","shannon_index"
0.688,2.52570999606892,"wd_m_c","v + wd w/o coordinates","shannon_index"
0.707,2.70278764819657,"wd_m_c","v + wd w/o coordinates","shannon_index"
0.726,2.68537260150468,"wd_m_c","v + wd w/o coordinates","shannon_index"
0.745,2.60263944362049,"wd_m_c","v + wd w/o coordinates","shannon_index"
0.764,2.49793102178309,"wd_m_c","v + wd w/o coordinates","shannon_index"
0.783,2.42159813007823,"wd_m_c","v + wd w/o coordinates","shannon_index"
0.802,2.35965949158978,"wd_m_c","v + wd w/o coordinates","shannon_index"
0.821,2.34985073324707,"wd_m_c","v + wd w/o coordinates","shannon_index"
0.84,2.34985073324707,"wd_m_c","v + wd w/o coordinates","shannon_index"
0.859,2.45643476727936,"wd_m_c","v + wd w/o coordinates","shannon_index"
0.878,2.44102965736831,"wd_m_c","v + wd w/o coordinates","shannon_index"
0.897,2.23159205692786,"wd_m_c","v + wd w/o coordinates","shannon_index"
0.916,2.21689388128342,"wd_m_c","v + wd w/o coordinates","shannon_index"
0.935,2.21689388128342,"wd_m_c","v + wd w/o coordinates","shannon_index"
0.954,2.21689388128342,"wd_m_c","v + wd w/o coordinates","shannon_index"
0.973,2.21689388128342,"wd_m_c","v + wd w/o coordinates","shannon_index"
0.992,2.22841022770714,"wd_m_c","v + wd w/o coordinates","shannon_index"
1.011,2.22841022770714,"wd_m_c","v + wd w/o coordinates","shannon_index"
1.03,2.22841022770714,"wd_m_c","v + wd w/o coordinates","shannon_index"
