"wd_m","yhat","predictors","model","index"
0.08,2.51861408596457,"wd_m","v + wd w/ coordinates","shannon_index"
0.099,2.51538539388073,"wd_m","v + wd w/ coordinates","shannon_index"
0.118,2.5289616940165,"wd_m","v + wd w/ coordinates","shannon_index"
0.137,2.55067557120764,"wd_m","v + wd w/ coordinates","shannon_index"
0.156,2.55998688301718,"wd_m","v + wd w/ coordinates","shannon_index"
0.175,2.56217196427013,"wd_m","v + wd w/ coordinates","shannon_index"
0.194,2.56070409781512,"wd_m","v + wd w/ coordinates","shannon_index"
0.213,2.54847414041971,"wd_m","v + wd w/ coordinates","shannon_index"
0.232,2.5299223322792,"wd_m","v + wd w/ coordinates","shannon_index"
0.251,2.53523231797239,"wd_m","v + wd w/ coordinates","shannon_index"
0.27,2.52785339737195,"wd_m","v + wd w/ coordinates","shannon_index"
0.289,2.52689587388508,"wd_m","v + wd w/ coordinates","shannon_index"
0.308,2.52551375790054,"wd_m","v + wd w/ coordinates","shannon_index"
0.327,2.52352882658546,"wd_m","v + wd w/ coordinates","shannon_index"
0.346,2.52976541180329,"wd_m","v + wd w/ coordinates","shannon_index"
0.365,2.52336231429603,"wd_m","v + wd w/ coordinates","shannon_index"
0.384,2.51780293655223,"wd_m","v + wd w/ coordinates","shannon_index"
0.403,2.50650325660152,"wd_m","v + wd w/ coordinates","shannon_index"
0.422,2.5147275270165,"wd_m","v + wd w/ coordinates","shannon_index"
0.441,2.50415809359248,"wd_m","v + wd w/ coordinates","shannon_index"
0.46,2.50065904342519,"wd_m","v + wd w/ coordinates","shannon_index"
0.479,2.50097633933238,"wd_m","v + wd w/ coordinates","shannon_index"
0.498,2.50791246440765,"wd_m","v + wd w/ coordinates","shannon_index"
0.517,2.50057663642061,"wd_m","v + wd w/ coordinates","shannon_index"
0.536,2.49680746641711,"wd_m","v + wd w/ coordinates","shannon_index"
0.555,2.49285104027211,"wd_m","v + wd w/ coordinates","shannon_index"
0.574,2.48054798997179,"wd_m","v + wd w/ coordinates","shannon_index"
0.593,2.48283178832856,"wd_m","v + wd w/ coordinates","shannon_index"
0.612,2.48482602116108,"wd_m","v + wd w/ coordinates","shannon_index"
0.631,2.4940512491526,"wd_m","v + wd w/ coordinates","shannon_index"
0.65,2.49544734138072,"wd_m","v + wd w/ coordinates","shannon_index"
0.669,2.50289660855481,"wd_m","v + wd w/ coordinates","shannon_index"
0.688,2.5077144746823,"wd_m","v + wd w/ coordinates","shannon_index"
0.707,2.50612398651687,"wd_m","v + wd w/ coordinates","shannon_index"
0.726,2.50224642890258,"wd_m","v + wd w/ coordinates","shannon_index"
0.745,2.4977617924621,"wd_m","v + wd w/ coordinates","shannon_index"
0.764,2.48885106627563,"wd_m","v + wd w/ coordinates","shannon_index"
0.783,2.48357912890767,"wd_m","v + wd w/ coordinates","shannon_index"
0.802,2.47411542190552,"wd_m","v + wd w/ coordinates","shannon_index"
0.821,2.46914445437133,"wd_m","v + wd w/ coordinates","shannon_index"
0.84,2.4699624457355,"wd_m","v + wd w/ coordinates","shannon_index"
0.859,2.4699624457355,"wd_m","v + wd w/ coordinates","shannon_index"
0.878,2.46830768479892,"wd_m","v + wd w/ coordinates","shannon_index"
0.897,2.46700010905217,"wd_m","v + wd w/ coordinates","shannon_index"
0.916,2.46534277740475,"wd_m","v + wd w/ coordinates","shannon_index"
0.935,2.46534277740475,"wd_m","v + wd w/ coordinates","shannon_index"
0.954,2.46534277740475,"wd_m","v + wd w/ coordinates","shannon_index"
0.973,2.46534277740475,"wd_m","v + wd w/ coordinates","shannon_index"
0.992,2.46534277740475,"wd_m","v + wd w/ coordinates","shannon_index"
1.011,2.46534277740475,"wd_m","v + wd w/ coordinates","shannon_index"
1.03,2.46534277740475,"wd_m","v + wd w/ coordinates","shannon_index"
