"wd_m","yhat","predictors","model","index"
0.08,0.539093289044458,"wd_m","sampling w/o coordinates","k_index"
0.099,0.539044709687884,"wd_m","sampling w/o coordinates","k_index"
0.118,0.539134613577469,"wd_m","sampling w/o coordinates","k_index"
0.137,0.539660173847809,"wd_m","sampling w/o coordinates","k_index"
0.156,0.539545987355319,"wd_m","sampling w/o coordinates","k_index"
0.175,0.539867348698464,"wd_m","sampling w/o coordinates","k_index"
0.194,0.540375789777474,"wd_m","sampling w/o coordinates","k_index"
0.213,0.540983531055439,"wd_m","sampling w/o coordinates","k_index"
0.232,0.539515750488586,"wd_m","sampling w/o coordinates","k_index"
0.251,0.540147639118965,"wd_m","sampling w/o coordinates","k_index"
0.27,0.538134234404319,"wd_m","sampling w/o coordinates","k_index"
0.289,0.537401604036398,"wd_m","sampling w/o coordinates","k_index"
0.308,0.537735131268388,"wd_m","sampling w/o coordinates","k_index"
0.327,0.536320063975189,"wd_m","sampling w/o coordinates","k_index"
0.346,0.536941091626954,"wd_m","sampling w/o coordinates","k_index"
0.365,0.536379125620784,"wd_m","sampling w/o coordinates","k_index"
0.384,0.535816963716799,"wd_m","sampling w/o coordinates","k_index"
0.403,0.533286369634491,"wd_m","sampling w/o coordinates","k_index"
0.422,0.533282332523319,"wd_m","sampling w/o coordinates","k_index"
0.441,0.530943782386133,"wd_m","sampling w/o coordinates","k_index"
0.46,0.529798171053313,"wd_m","sampling w/o coordinates","k_index"
0.479,0.529415843219462,"wd_m","sampling w/o coordinates","k_index"
0.498,0.530172639105472,"wd_m","sampling w/o coordinates","k_index"
0.517,0.529441243701125,"wd_m","sampling w/o coordinates","k_index"
0.536,0.528905331421038,"wd_m","sampling w/o coordinates","k_index"
0.555,0.52775839418828,"wd_m","sampling w/o coordinates","k_index"
0.574,0.526439020216822,"wd_m","sampling w/o coordinates","k_index"
0.593,0.525582997179852,"wd_m","sampling w/o coordinates","k_index"
0.612,0.523448065658285,"wd_m","sampling w/o coordinates","k_index"
0.631,0.524087857336018,"wd_m","sampling w/o coordinates","k_index"
0.65,0.524180611667356,"wd_m","sampling w/o coordinates","k_index"
0.669,0.523467625889846,"wd_m","sampling w/o coordinates","k_index"
0.688,0.523544442739052,"wd_m","sampling w/o coordinates","k_index"
0.707,0.52330974255107,"wd_m","sampling w/o coordinates","k_index"
0.726,0.523066696887287,"wd_m","sampling w/o coordinates","k_index"
0.745,0.521878009311915,"wd_m","sampling w/o coordinates","k_index"
0.764,0.521145574374605,"wd_m","sampling w/o coordinates","k_index"
0.783,0.518968923069511,"wd_m","sampling w/o coordinates","k_index"
0.802,0.517271447738394,"wd_m","sampling w/o coordinates","k_index"
0.821,0.516368485004999,"wd_m","sampling w/o coordinates","k_index"
0.84,0.516550163968143,"wd_m","sampling w/o coordinates","k_index"
0.859,0.51655776619972,"wd_m","sampling w/o coordinates","k_index"
0.878,0.51688706773172,"wd_m","sampling w/o coordinates","k_index"
0.897,0.516611307487132,"wd_m","sampling w/o coordinates","k_index"
0.916,0.514518626011392,"wd_m","sampling w/o coordinates","k_index"
0.935,0.514518626011392,"wd_m","sampling w/o coordinates","k_index"
0.954,0.514518626011392,"wd_m","sampling w/o coordinates","k_index"
0.973,0.514518626011392,"wd_m","sampling w/o coordinates","k_index"
0.992,0.514518626011392,"wd_m","sampling w/o coordinates","k_index"
1.011,0.514518626011392,"wd_m","sampling w/o coordinates","k_index"
1.03,0.514518626011392,"wd_m","sampling w/o coordinates","k_index"
