"wd_m","yhat","predictors","model","index"
0.08,0.360728372266327,"wd_m","sampling w/o coordinates","rel_abundance"
0.099,0.361373976952788,"wd_m","sampling w/o coordinates","rel_abundance"
0.118,0.320598089986521,"wd_m","sampling w/o coordinates","rel_abundance"
0.137,0.313766450850644,"wd_m","sampling w/o coordinates","rel_abundance"
0.156,0.261959434338454,"wd_m","sampling w/o coordinates","rel_abundance"
0.175,0.258986774481077,"wd_m","sampling w/o coordinates","rel_abundance"
0.194,0.257534996295969,"wd_m","sampling w/o coordinates","rel_abundance"
0.213,0.27364786411973,"wd_m","sampling w/o coordinates","rel_abundance"
0.232,0.267322191563637,"wd_m","sampling w/o coordinates","rel_abundance"
0.251,0.31939455429497,"wd_m","sampling w/o coordinates","rel_abundance"
0.27,0.247332235015389,"wd_m","sampling w/o coordinates","rel_abundance"
0.289,0.239902330454493,"wd_m","sampling w/o coordinates","rel_abundance"
0.308,0.236200489373743,"wd_m","sampling w/o coordinates","rel_abundance"
0.327,0.222814835068108,"wd_m","sampling w/o coordinates","rel_abundance"
0.346,0.223778123009032,"wd_m","sampling w/o coordinates","rel_abundance"
0.365,0.221240538023952,"wd_m","sampling w/o coordinates","rel_abundance"
0.384,0.224465812461964,"wd_m","sampling w/o coordinates","rel_abundance"
0.403,0.209595381727685,"wd_m","sampling w/o coordinates","rel_abundance"
0.422,0.192614556438681,"wd_m","sampling w/o coordinates","rel_abundance"
0.441,0.181572229884889,"wd_m","sampling w/o coordinates","rel_abundance"
0.46,0.179914227430371,"wd_m","sampling w/o coordinates","rel_abundance"
0.479,0.1794913187758,"wd_m","sampling w/o coordinates","rel_abundance"
0.498,0.179554704806187,"wd_m","sampling w/o coordinates","rel_abundance"
0.517,0.176851893653688,"wd_m","sampling w/o coordinates","rel_abundance"
0.536,0.182261264059639,"wd_m","sampling w/o coordinates","rel_abundance"
0.555,0.189704819325952,"wd_m","sampling w/o coordinates","rel_abundance"
0.574,0.177210999922692,"wd_m","sampling w/o coordinates","rel_abundance"
0.593,0.178372368351489,"wd_m","sampling w/o coordinates","rel_abundance"
0.612,0.161427859081954,"wd_m","sampling w/o coordinates","rel_abundance"
0.631,0.158162809557457,"wd_m","sampling w/o coordinates","rel_abundance"
0.65,0.150609208351892,"wd_m","sampling w/o coordinates","rel_abundance"
0.669,0.150701588384159,"wd_m","sampling w/o coordinates","rel_abundance"
0.688,0.150701588384159,"wd_m","sampling w/o coordinates","rel_abundance"
0.707,0.150402917000263,"wd_m","sampling w/o coordinates","rel_abundance"
0.726,0.150397296185079,"wd_m","sampling w/o coordinates","rel_abundance"
0.745,0.150397296185079,"wd_m","sampling w/o coordinates","rel_abundance"
0.764,0.150142537834852,"wd_m","sampling w/o coordinates","rel_abundance"
0.783,0.150327022416868,"wd_m","sampling w/o coordinates","rel_abundance"
0.802,0.150289151655591,"wd_m","sampling w/o coordinates","rel_abundance"
0.821,0.150312184045712,"wd_m","sampling w/o coordinates","rel_abundance"
0.84,0.150312184045712,"wd_m","sampling w/o coordinates","rel_abundance"
0.859,0.150802329965476,"wd_m","sampling w/o coordinates","rel_abundance"
0.878,0.151009744829566,"wd_m","sampling w/o coordinates","rel_abundance"
0.897,0.151009744829566,"wd_m","sampling w/o coordinates","rel_abundance"
0.916,0.152618096534001,"wd_m","sampling w/o coordinates","rel_abundance"
0.935,0.152700497674337,"wd_m","sampling w/o coordinates","rel_abundance"
0.954,0.152700497674337,"wd_m","sampling w/o coordinates","rel_abundance"
0.973,0.152700497674337,"wd_m","sampling w/o coordinates","rel_abundance"
0.992,0.152245098077085,"wd_m","sampling w/o coordinates","rel_abundance"
1.011,0.152245098077085,"wd_m","sampling w/o coordinates","rel_abundance"
1.03,0.152245098077085,"wd_m","sampling w/o coordinates","rel_abundance"
