"wd_m","yhat","predictors","model","index"
0.08,2.60440893241011,"wd_m","sampling w/o coordinates","shannon_index"
0.099,2.60355123243502,"wd_m","sampling w/o coordinates","shannon_index"
0.118,2.61264129142734,"wd_m","sampling w/o coordinates","shannon_index"
0.137,2.63382258152054,"wd_m","sampling w/o coordinates","shannon_index"
0.156,2.66778192187294,"wd_m","sampling w/o coordinates","shannon_index"
0.175,2.67242593598827,"wd_m","sampling w/o coordinates","shannon_index"
0.194,2.67219909077824,"wd_m","sampling w/o coordinates","shannon_index"
0.213,2.67293955228865,"wd_m","sampling w/o coordinates","shannon_index"
0.232,2.66837629926923,"wd_m","sampling w/o coordinates","shannon_index"
0.251,2.66886570759378,"wd_m","sampling w/o coordinates","shannon_index"
0.27,2.67103829326713,"wd_m","sampling w/o coordinates","shannon_index"
0.289,2.67647140232943,"wd_m","sampling w/o coordinates","shannon_index"
0.308,2.68756111908142,"wd_m","sampling w/o coordinates","shannon_index"
0.327,2.68915799252378,"wd_m","sampling w/o coordinates","shannon_index"
0.346,2.69280305814531,"wd_m","sampling w/o coordinates","shannon_index"
0.365,2.69742332693951,"wd_m","sampling w/o coordinates","shannon_index"
0.384,2.695366347677,"wd_m","sampling w/o coordinates","shannon_index"
0.403,2.69672272053882,"wd_m","sampling w/o coordinates","shannon_index"
0.422,2.69229843435338,"wd_m","sampling w/o coordinates","shannon_index"
0.441,2.69435652050572,"wd_m","sampling w/o coordinates","shannon_index"
0.46,2.69551085656992,"wd_m","sampling w/o coordinates","shannon_index"
0.479,2.69547947347825,"wd_m","sampling w/o coordinates","shannon_index"
0.498,2.69755976894856,"wd_m","sampling w/o coordinates","shannon_index"
0.517,2.69763813982545,"wd_m","sampling w/o coordinates","shannon_index"
0.536,2.69069568839424,"wd_m","sampling w/o coordinates","shannon_index"
0.555,2.688386006908,"wd_m","sampling w/o coordinates","shannon_index"
0.574,2.68792563890465,"wd_m","sampling w/o coordinates","shannon_index"
0.593,2.68585338262532,"wd_m","sampling w/o coordinates","shannon_index"
0.612,2.69220731775582,"wd_m","sampling w/o coordinates","shannon_index"
0.631,2.68927537355739,"wd_m","sampling w/o coordinates","shannon_index"
0.65,2.68921519235181,"wd_m","sampling w/o coordinates","shannon_index"
0.669,2.69095577013413,"wd_m","sampling w/o coordinates","shannon_index"
0.688,2.68967921304587,"wd_m","sampling w/o coordinates","shannon_index"
0.707,2.69314601141582,"wd_m","sampling w/o coordinates","shannon_index"
0.726,2.69581953598473,"wd_m","sampling w/o coordinates","shannon_index"
0.745,2.69458914263043,"wd_m","sampling w/o coordinates","shannon_index"
0.764,2.69414600677933,"wd_m","sampling w/o coordinates","shannon_index"
0.783,2.69188152999699,"wd_m","sampling w/o coordinates","shannon_index"
0.802,2.68201234811952,"wd_m","sampling w/o coordinates","shannon_index"
0.821,2.6784554730764,"wd_m","sampling w/o coordinates","shannon_index"
0.84,2.67124371168918,"wd_m","sampling w/o coordinates","shannon_index"
0.859,2.6691273493042,"wd_m","sampling w/o coordinates","shannon_index"
0.878,2.66984887234513,"wd_m","sampling w/o coordinates","shannon_index"
0.897,2.66923556825067,"wd_m","sampling w/o coordinates","shannon_index"
0.916,2.66893301226342,"wd_m","sampling w/o coordinates","shannon_index"
0.935,2.67002601873885,"wd_m","sampling w/o coordinates","shannon_index"
0.954,2.67002601873885,"wd_m","sampling w/o coordinates","shannon_index"
0.973,2.67002601873885,"wd_m","sampling w/o coordinates","shannon_index"
0.992,2.67002601873885,"wd_m","sampling w/o coordinates","shannon_index"
1.011,2.67002601873885,"wd_m","sampling w/o coordinates","shannon_index"
1.03,2.67002601873885,"wd_m","sampling w/o coordinates","shannon_index"
