"wd_m","yhat","predictors","model","index"
0.08,2.48313707119057,"wd_m","sampling w/ coordinates","shannon_index"
0.099,2.4822446912792,"wd_m","sampling w/ coordinates","shannon_index"
0.118,2.49919100596104,"wd_m","sampling w/ coordinates","shannon_index"
0.137,2.51659586349451,"wd_m","sampling w/ coordinates","shannon_index"
0.156,2.52931622241877,"wd_m","sampling w/ coordinates","shannon_index"
0.175,2.52957396964681,"wd_m","sampling w/ coordinates","shannon_index"
0.194,2.52939163715355,"wd_m","sampling w/ coordinates","shannon_index"
0.213,2.52813311744752,"wd_m","sampling w/ coordinates","shannon_index"
0.232,2.52136224626536,"wd_m","sampling w/ coordinates","shannon_index"
0.251,2.51996190478221,"wd_m","sampling w/ coordinates","shannon_index"
0.27,2.5246993159979,"wd_m","sampling w/ coordinates","shannon_index"
0.289,2.52424594616469,"wd_m","sampling w/ coordinates","shannon_index"
0.308,2.52261720426375,"wd_m","sampling w/ coordinates","shannon_index"
0.327,2.52109802443629,"wd_m","sampling w/ coordinates","shannon_index"
0.346,2.52276643230901,"wd_m","sampling w/ coordinates","shannon_index"
0.365,2.519676909791,"wd_m","sampling w/ coordinates","shannon_index"
0.384,2.51796652314252,"wd_m","sampling w/ coordinates","shannon_index"
0.403,2.51778584762721,"wd_m","sampling w/ coordinates","shannon_index"
0.422,2.51907187957908,"wd_m","sampling w/ coordinates","shannon_index"
0.441,2.51385853369171,"wd_m","sampling w/ coordinates","shannon_index"
0.46,2.5110023492915,"wd_m","sampling w/ coordinates","shannon_index"
0.479,2.51026158713898,"wd_m","sampling w/ coordinates","shannon_index"
0.498,2.51186455654313,"wd_m","sampling w/ coordinates","shannon_index"
0.517,2.50864745239531,"wd_m","sampling w/ coordinates","shannon_index"
0.536,2.5073328602566,"wd_m","sampling w/ coordinates","shannon_index"
0.555,2.50648572838678,"wd_m","sampling w/ coordinates","shannon_index"
0.574,2.50150739595853,"wd_m","sampling w/ coordinates","shannon_index"
0.593,2.49808255898886,"wd_m","sampling w/ coordinates","shannon_index"
0.612,2.50031108972113,"wd_m","sampling w/ coordinates","shannon_index"
0.631,2.50418342028727,"wd_m","sampling w/ coordinates","shannon_index"
0.65,2.50616466426548,"wd_m","sampling w/ coordinates","shannon_index"
0.669,2.5040123149588,"wd_m","sampling w/ coordinates","shannon_index"
0.688,2.51318915398557,"wd_m","sampling w/ coordinates","shannon_index"
0.707,2.51415951329501,"wd_m","sampling w/ coordinates","shannon_index"
0.726,2.51413079765411,"wd_m","sampling w/ coordinates","shannon_index"
0.745,2.51313389630921,"wd_m","sampling w/ coordinates","shannon_index"
0.764,2.51276093755021,"wd_m","sampling w/ coordinates","shannon_index"
0.783,2.51095715411694,"wd_m","sampling w/ coordinates","shannon_index"
0.802,2.50827275366716,"wd_m","sampling w/ coordinates","shannon_index"
0.821,2.50674623576433,"wd_m","sampling w/ coordinates","shannon_index"
0.84,2.50532927673004,"wd_m","sampling w/ coordinates","shannon_index"
0.859,2.50419291748812,"wd_m","sampling w/ coordinates","shannon_index"
0.878,2.50336174266193,"wd_m","sampling w/ coordinates","shannon_index"
0.897,2.5031051243339,"wd_m","sampling w/ coordinates","shannon_index"
0.916,2.50046308564309,"wd_m","sampling w/ coordinates","shannon_index"
0.935,2.50314901881327,"wd_m","sampling w/ coordinates","shannon_index"
0.954,2.50314901881327,"wd_m","sampling w/ coordinates","shannon_index"
0.973,2.50317639293015,"wd_m","sampling w/ coordinates","shannon_index"
0.992,2.50317639293015,"wd_m","sampling w/ coordinates","shannon_index"
1.011,2.50317639293015,"wd_m","sampling w/ coordinates","shannon_index"
1.03,2.50317639293015,"wd_m","sampling w/ coordinates","shannon_index"
