"wd_m","yhat","predictors","model","index"
0.08,2.50381962887315,"wd_m","sampling w/ coordinates","shannon_index"
0.099,2.50258773888708,"wd_m","sampling w/ coordinates","shannon_index"
0.118,2.5117526942985,"wd_m","sampling w/ coordinates","shannon_index"
0.137,2.51743319283028,"wd_m","sampling w/ coordinates","shannon_index"
0.156,2.52291555378503,"wd_m","sampling w/ coordinates","shannon_index"
0.175,2.52306152539413,"wd_m","sampling w/ coordinates","shannon_index"
0.194,2.52309462518838,"wd_m","sampling w/ coordinates","shannon_index"
0.213,2.52269623470936,"wd_m","sampling w/ coordinates","shannon_index"
0.232,2.51927828090084,"wd_m","sampling w/ coordinates","shannon_index"
0.251,2.5181427563113,"wd_m","sampling w/ coordinates","shannon_index"
0.27,2.51892769599077,"wd_m","sampling w/ coordinates","shannon_index"
0.289,2.51870330316577,"wd_m","sampling w/ coordinates","shannon_index"
0.308,2.52067887033819,"wd_m","sampling w/ coordinates","shannon_index"
0.327,2.51817378348077,"wd_m","sampling w/ coordinates","shannon_index"
0.346,2.52052616424312,"wd_m","sampling w/ coordinates","shannon_index"
0.365,2.51877541948084,"wd_m","sampling w/ coordinates","shannon_index"
0.384,2.51905583243149,"wd_m","sampling w/ coordinates","shannon_index"
0.403,2.51878426002398,"wd_m","sampling w/ coordinates","shannon_index"
0.422,2.51426393254192,"wd_m","sampling w/ coordinates","shannon_index"
0.441,2.51032499598646,"wd_m","sampling w/ coordinates","shannon_index"
0.46,2.50944983398627,"wd_m","sampling w/ coordinates","shannon_index"
0.479,2.50933015619143,"wd_m","sampling w/ coordinates","shannon_index"
0.498,2.50963544615514,"wd_m","sampling w/ coordinates","shannon_index"
0.517,2.5071349828539,"wd_m","sampling w/ coordinates","shannon_index"
0.536,2.50392781928495,"wd_m","sampling w/ coordinates","shannon_index"
0.555,2.50256408938215,"wd_m","sampling w/ coordinates","shannon_index"
0.574,2.49534497241438,"wd_m","sampling w/ coordinates","shannon_index"
0.593,2.49615860890792,"wd_m","sampling w/ coordinates","shannon_index"
0.612,2.49906753862941,"wd_m","sampling w/ coordinates","shannon_index"
0.631,2.49950324681876,"wd_m","sampling w/ coordinates","shannon_index"
0.65,2.50423964892317,"wd_m","sampling w/ coordinates","shannon_index"
0.669,2.50725028653136,"wd_m","sampling w/ coordinates","shannon_index"
0.688,2.50898141627595,"wd_m","sampling w/ coordinates","shannon_index"
0.707,2.50719470575926,"wd_m","sampling w/ coordinates","shannon_index"
0.726,2.50719470575926,"wd_m","sampling w/ coordinates","shannon_index"
0.745,2.50594130382353,"wd_m","sampling w/ coordinates","shannon_index"
0.764,2.50485505266329,"wd_m","sampling w/ coordinates","shannon_index"
0.783,2.49921143784046,"wd_m","sampling w/ coordinates","shannon_index"
0.802,2.49452861235145,"wd_m","sampling w/ coordinates","shannon_index"
0.821,2.49236750266885,"wd_m","sampling w/ coordinates","shannon_index"
0.84,2.49208924905992,"wd_m","sampling w/ coordinates","shannon_index"
0.859,2.49208924905992,"wd_m","sampling w/ coordinates","shannon_index"
0.878,2.48968421226441,"wd_m","sampling w/ coordinates","shannon_index"
0.897,2.4872169586755,"wd_m","sampling w/ coordinates","shannon_index"
0.916,2.4872169586755,"wd_m","sampling w/ coordinates","shannon_index"
0.935,2.4872169586755,"wd_m","sampling w/ coordinates","shannon_index"
0.954,2.4872169586755,"wd_m","sampling w/ coordinates","shannon_index"
0.973,2.4872169586755,"wd_m","sampling w/ coordinates","shannon_index"
0.992,2.4872169586755,"wd_m","sampling w/ coordinates","shannon_index"
1.011,2.4872169586755,"wd_m","sampling w/ coordinates","shannon_index"
1.03,2.4872169586755,"wd_m","sampling w/ coordinates","shannon_index"
