"wd_m","yhat","predictors","model","index"
0.08,1067.10455272509,"wd_m","all predictors w/o coordinates","abundance"
0.099,1155.27260069916,"wd_m","all predictors w/o coordinates","abundance"
0.118,1012.67641178076,"wd_m","all predictors w/o coordinates","abundance"
0.137,1002.47538829195,"wd_m","all predictors w/o coordinates","abundance"
0.156,913.21646158246,"wd_m","all predictors w/o coordinates","abundance"
0.175,915.114885751752,"wd_m","all predictors w/o coordinates","abundance"
0.194,898.269451582777,"wd_m","all predictors w/o coordinates","abundance"
0.213,996.703262937242,"wd_m","all predictors w/o coordinates","abundance"
0.232,964.303278104822,"wd_m","all predictors w/o coordinates","abundance"
0.251,1118.40247052822,"wd_m","all predictors w/o coordinates","abundance"
0.27,850.144431521927,"wd_m","all predictors w/o coordinates","abundance"
0.289,839.604233209638,"wd_m","all predictors w/o coordinates","abundance"
0.308,837.592256425084,"wd_m","all predictors w/o coordinates","abundance"
0.327,688.898554737153,"wd_m","all predictors w/o coordinates","abundance"
0.346,762.348066910453,"wd_m","all predictors w/o coordinates","abundance"
0.365,734.481034292691,"wd_m","all predictors w/o coordinates","abundance"
0.384,738.556523122649,"wd_m","all predictors w/o coordinates","abundance"
0.403,707.357288408301,"wd_m","all predictors w/o coordinates","abundance"
0.422,673.726364239402,"wd_m","all predictors w/o coordinates","abundance"
0.441,643.308801955071,"wd_m","all predictors w/o coordinates","abundance"
0.46,625.4612240584,"wd_m","all predictors w/o coordinates","abundance"
0.479,618.438048018925,"wd_m","all predictors w/o coordinates","abundance"
0.498,626.204301487277,"wd_m","all predictors w/o coordinates","abundance"
0.517,547.688179736552,"wd_m","all predictors w/o coordinates","abundance"
0.536,554.419538262962,"wd_m","all predictors w/o coordinates","abundance"
0.555,539.285982267256,"wd_m","all predictors w/o coordinates","abundance"
0.574,524.5741311329,"wd_m","all predictors w/o coordinates","abundance"
0.593,515.38923023274,"wd_m","all predictors w/o coordinates","abundance"
0.612,485.572721323349,"wd_m","all predictors w/o coordinates","abundance"
0.631,474.773146392751,"wd_m","all predictors w/o coordinates","abundance"
0.65,461.545402804471,"wd_m","all predictors w/o coordinates","abundance"
0.669,456.264384854423,"wd_m","all predictors w/o coordinates","abundance"
0.688,453.769011126156,"wd_m","all predictors w/o coordinates","abundance"
0.707,451.808372276417,"wd_m","all predictors w/o coordinates","abundance"
0.726,449.978765129395,"wd_m","all predictors w/o coordinates","abundance"
0.745,448.368607571807,"wd_m","all predictors w/o coordinates","abundance"
0.764,448.351393682585,"wd_m","all predictors w/o coordinates","abundance"
0.783,448.367755039663,"wd_m","all predictors w/o coordinates","abundance"
0.802,446.709226411754,"wd_m","all predictors w/o coordinates","abundance"
0.821,445.909948980031,"wd_m","all predictors w/o coordinates","abundance"
0.84,445.949046782177,"wd_m","all predictors w/o coordinates","abundance"
0.859,445.261628919322,"wd_m","all predictors w/o coordinates","abundance"
0.878,450.416120328549,"wd_m","all predictors w/o coordinates","abundance"
0.897,450.416120328549,"wd_m","all predictors w/o coordinates","abundance"
0.916,450.417274748933,"wd_m","all predictors w/o coordinates","abundance"
0.935,450.417274748933,"wd_m","all predictors w/o coordinates","abundance"
0.954,450.417274748933,"wd_m","all predictors w/o coordinates","abundance"
0.973,450.417274748933,"wd_m","all predictors w/o coordinates","abundance"
0.992,404.674886350183,"wd_m","all predictors w/o coordinates","abundance"
1.011,404.674886350183,"wd_m","all predictors w/o coordinates","abundance"
1.03,404.674886350183,"wd_m","all predictors w/o coordinates","abundance"
