"wd_m","yhat","predictors","model","index"
0.08,809.460234659547,"wd_m","all predictors w/o coordinates","abundance"
0.099,809.460234659547,"wd_m","all predictors w/o coordinates","abundance"
0.118,798.831299838119,"wd_m","all predictors w/o coordinates","abundance"
0.137,791.490446327597,"wd_m","all predictors w/o coordinates","abundance"
0.156,788.07802577549,"wd_m","all predictors w/o coordinates","abundance"
0.175,784.119003406295,"wd_m","all predictors w/o coordinates","abundance"
0.194,784.264920655507,"wd_m","all predictors w/o coordinates","abundance"
0.213,783.6317887772,"wd_m","all predictors w/o coordinates","abundance"
0.232,782.564823212826,"wd_m","all predictors w/o coordinates","abundance"
0.251,783.109143136909,"wd_m","all predictors w/o coordinates","abundance"
0.27,771.037098322506,"wd_m","all predictors w/o coordinates","abundance"
0.289,770.130036679739,"wd_m","all predictors w/o coordinates","abundance"
0.308,767.021503599933,"wd_m","all predictors w/o coordinates","abundance"
0.327,763.860949291052,"wd_m","all predictors w/o coordinates","abundance"
0.346,763.28206132074,"wd_m","all predictors w/o coordinates","abundance"
0.365,760.152396160734,"wd_m","all predictors w/o coordinates","abundance"
0.384,760.005579802709,"wd_m","all predictors w/o coordinates","abundance"
0.403,760.14801429345,"wd_m","all predictors w/o coordinates","abundance"
0.422,749.298113627429,"wd_m","all predictors w/o coordinates","abundance"
0.441,746.130882664308,"wd_m","all predictors w/o coordinates","abundance"
0.46,745.215800543496,"wd_m","all predictors w/o coordinates","abundance"
0.479,744.448506805168,"wd_m","all predictors w/o coordinates","abundance"
0.498,745.127745166116,"wd_m","all predictors w/o coordinates","abundance"
0.517,742.615396114088,"wd_m","all predictors w/o coordinates","abundance"
0.536,741.770208768409,"wd_m","all predictors w/o coordinates","abundance"
0.555,738.172458585038,"wd_m","all predictors w/o coordinates","abundance"
0.574,736.223221515671,"wd_m","all predictors w/o coordinates","abundance"
0.593,736.506436330486,"wd_m","all predictors w/o coordinates","abundance"
0.612,734.662439020984,"wd_m","all predictors w/o coordinates","abundance"
0.631,733.560799396103,"wd_m","all predictors w/o coordinates","abundance"
0.65,731.199408930935,"wd_m","all predictors w/o coordinates","abundance"
0.669,730.770363097602,"wd_m","all predictors w/o coordinates","abundance"
0.688,730.502668308933,"wd_m","all predictors w/o coordinates","abundance"
0.707,730.396447012636,"wd_m","all predictors w/o coordinates","abundance"
0.726,729.594407330097,"wd_m","all predictors w/o coordinates","abundance"
0.745,729.594407330097,"wd_m","all predictors w/o coordinates","abundance"
0.764,729.594407330097,"wd_m","all predictors w/o coordinates","abundance"
0.783,729.300337268368,"wd_m","all predictors w/o coordinates","abundance"
0.802,729.300337268368,"wd_m","all predictors w/o coordinates","abundance"
0.821,729.300337268368,"wd_m","all predictors w/o coordinates","abundance"
0.84,729.300337268368,"wd_m","all predictors w/o coordinates","abundance"
0.859,729.300337268368,"wd_m","all predictors w/o coordinates","abundance"
0.878,729.300337268368,"wd_m","all predictors w/o coordinates","abundance"
0.897,729.300337268368,"wd_m","all predictors w/o coordinates","abundance"
0.916,729.300337268368,"wd_m","all predictors w/o coordinates","abundance"
0.935,729.300337268368,"wd_m","all predictors w/o coordinates","abundance"
0.954,729.300337268368,"wd_m","all predictors w/o coordinates","abundance"
0.973,729.300337268368,"wd_m","all predictors w/o coordinates","abundance"
0.992,729.300337268368,"wd_m","all predictors w/o coordinates","abundance"
1.011,729.300337268368,"wd_m","all predictors w/o coordinates","abundance"
1.03,729.300337268368,"wd_m","all predictors w/o coordinates","abundance"
