"wd_m","yhat","predictors","model","index"
0.08,0.536342446864755,"wd_m","sampling w/o coordinates","k_index"
0.099,0.536342446864755,"wd_m","sampling w/o coordinates","k_index"
0.118,0.541343561235677,"wd_m","sampling w/o coordinates","k_index"
0.137,0.562149135740819,"wd_m","sampling w/o coordinates","k_index"
0.156,0.564135690150714,"wd_m","sampling w/o coordinates","k_index"
0.175,0.563188203920921,"wd_m","sampling w/o coordinates","k_index"
0.194,0.558218298307448,"wd_m","sampling w/o coordinates","k_index"
0.213,0.558299568412757,"wd_m","sampling w/o coordinates","k_index"
0.232,0.55216594102482,"wd_m","sampling w/o coordinates","k_index"
0.251,0.558472684998479,"wd_m","sampling w/o coordinates","k_index"
0.27,0.549427487197574,"wd_m","sampling w/o coordinates","k_index"
0.289,0.547629013174662,"wd_m","sampling w/o coordinates","k_index"
0.308,0.548095802190127,"wd_m","sampling w/o coordinates","k_index"
0.327,0.536115387075201,"wd_m","sampling w/o coordinates","k_index"
0.346,0.553449002749942,"wd_m","sampling w/o coordinates","k_index"
0.365,0.538208186074539,"wd_m","sampling w/o coordinates","k_index"
0.384,0.538567228173768,"wd_m","sampling w/o coordinates","k_index"
0.403,0.535017629688675,"wd_m","sampling w/o coordinates","k_index"
0.422,0.532637141472488,"wd_m","sampling w/o coordinates","k_index"
0.441,0.535705865464277,"wd_m","sampling w/o coordinates","k_index"
0.46,0.529777323240759,"wd_m","sampling w/o coordinates","k_index"
0.479,0.52596884024226,"wd_m","sampling w/o coordinates","k_index"
0.498,0.518061291081486,"wd_m","sampling w/o coordinates","k_index"
0.517,0.503801221441891,"wd_m","sampling w/o coordinates","k_index"
0.536,0.505054829090282,"wd_m","sampling w/o coordinates","k_index"
0.555,0.504876646144247,"wd_m","sampling w/o coordinates","k_index"
0.574,0.50724117923528,"wd_m","sampling w/o coordinates","k_index"
0.593,0.510674501838231,"wd_m","sampling w/o coordinates","k_index"
0.612,0.510597240283257,"wd_m","sampling w/o coordinates","k_index"
0.631,0.512096208520234,"wd_m","sampling w/o coordinates","k_index"
0.65,0.508167671005207,"wd_m","sampling w/o coordinates","k_index"
0.669,0.508047225195225,"wd_m","sampling w/o coordinates","k_index"
0.688,0.515720749342883,"wd_m","sampling w/o coordinates","k_index"
0.707,0.515720749342883,"wd_m","sampling w/o coordinates","k_index"
0.726,0.514236659087517,"wd_m","sampling w/o coordinates","k_index"
0.745,0.512549885307197,"wd_m","sampling w/o coordinates","k_index"
0.764,0.512030347215909,"wd_m","sampling w/o coordinates","k_index"
0.783,0.512298865726701,"wd_m","sampling w/o coordinates","k_index"
0.802,0.510343493410835,"wd_m","sampling w/o coordinates","k_index"
0.821,0.509733101284062,"wd_m","sampling w/o coordinates","k_index"
0.84,0.509733101284062,"wd_m","sampling w/o coordinates","k_index"
0.859,0.509733101284062,"wd_m","sampling w/o coordinates","k_index"
0.878,0.510105846656693,"wd_m","sampling w/o coordinates","k_index"
0.897,0.510105846656693,"wd_m","sampling w/o coordinates","k_index"
0.916,0.509242925792933,"wd_m","sampling w/o coordinates","k_index"
0.935,0.509242925792933,"wd_m","sampling w/o coordinates","k_index"
0.954,0.509795332258498,"wd_m","sampling w/o coordinates","k_index"
0.973,0.509795332258498,"wd_m","sampling w/o coordinates","k_index"
0.992,0.510385438523911,"wd_m","sampling w/o coordinates","k_index"
1.011,0.510385438523911,"wd_m","sampling w/o coordinates","k_index"
1.03,0.510385438523911,"wd_m","sampling w/o coordinates","k_index"
