"wd_m","yhat","predictors","model","index"
0.08,0.525873025616251,"wd_m","sampling w/o coordinates","k_index"
0.099,0.524214113971943,"wd_m","sampling w/o coordinates","k_index"
0.118,0.515889567956846,"wd_m","sampling w/o coordinates","k_index"
0.137,0.522975647554698,"wd_m","sampling w/o coordinates","k_index"
0.156,0.52651118955368,"wd_m","sampling w/o coordinates","k_index"
0.175,0.536149513254511,"wd_m","sampling w/o coordinates","k_index"
0.194,0.538322152603575,"wd_m","sampling w/o coordinates","k_index"
0.213,0.552258867528171,"wd_m","sampling w/o coordinates","k_index"
0.232,0.55173754543675,"wd_m","sampling w/o coordinates","k_index"
0.251,0.545531438352353,"wd_m","sampling w/o coordinates","k_index"
0.27,0.535519229748321,"wd_m","sampling w/o coordinates","k_index"
0.289,0.542376161759926,"wd_m","sampling w/o coordinates","k_index"
0.308,0.538724378441219,"wd_m","sampling w/o coordinates","k_index"
0.327,0.519856231916627,"wd_m","sampling w/o coordinates","k_index"
0.346,0.54739074645288,"wd_m","sampling w/o coordinates","k_index"
0.365,0.536392353112913,"wd_m","sampling w/o coordinates","k_index"
0.384,0.536486326794451,"wd_m","sampling w/o coordinates","k_index"
0.403,0.525208843432834,"wd_m","sampling w/o coordinates","k_index"
0.422,0.533941173033478,"wd_m","sampling w/o coordinates","k_index"
0.441,0.540002838225552,"wd_m","sampling w/o coordinates","k_index"
0.46,0.531517155054543,"wd_m","sampling w/o coordinates","k_index"
0.479,0.517488952243218,"wd_m","sampling w/o coordinates","k_index"
0.498,0.521047039233424,"wd_m","sampling w/o coordinates","k_index"
0.517,0.512818327173591,"wd_m","sampling w/o coordinates","k_index"
0.536,0.514883326504518,"wd_m","sampling w/o coordinates","k_index"
0.555,0.51714853114552,"wd_m","sampling w/o coordinates","k_index"
0.574,0.514628487604636,"wd_m","sampling w/o coordinates","k_index"
0.593,0.517572429927963,"wd_m","sampling w/o coordinates","k_index"
0.612,0.519454891069068,"wd_m","sampling w/o coordinates","k_index"
0.631,0.53089509787107,"wd_m","sampling w/o coordinates","k_index"
0.65,0.526088757233487,"wd_m","sampling w/o coordinates","k_index"
0.669,0.524710802844277,"wd_m","sampling w/o coordinates","k_index"
0.688,0.520093236808424,"wd_m","sampling w/o coordinates","k_index"
0.707,0.520146675011212,"wd_m","sampling w/o coordinates","k_index"
0.726,0.519484612987273,"wd_m","sampling w/o coordinates","k_index"
0.745,0.519109496536354,"wd_m","sampling w/o coordinates","k_index"
0.764,0.50629520005788,"wd_m","sampling w/o coordinates","k_index"
0.783,0.50629520005788,"wd_m","sampling w/o coordinates","k_index"
0.802,0.50701176971887,"wd_m","sampling w/o coordinates","k_index"
0.821,0.506536643055302,"wd_m","sampling w/o coordinates","k_index"
0.84,0.506536643055302,"wd_m","sampling w/o coordinates","k_index"
0.859,0.506536643055302,"wd_m","sampling w/o coordinates","k_index"
0.878,0.506536643055302,"wd_m","sampling w/o coordinates","k_index"
0.897,0.506483506204353,"wd_m","sampling w/o coordinates","k_index"
0.916,0.506483506204353,"wd_m","sampling w/o coordinates","k_index"
0.935,0.506483506204353,"wd_m","sampling w/o coordinates","k_index"
0.954,0.506483506204353,"wd_m","sampling w/o coordinates","k_index"
0.973,0.506483506204353,"wd_m","sampling w/o coordinates","k_index"
0.992,0.506483506204353,"wd_m","sampling w/o coordinates","k_index"
1.011,0.506483506204353,"wd_m","sampling w/o coordinates","k_index"
1.03,0.506483506204353,"wd_m","sampling w/o coordinates","k_index"
