"wd_m","yhat","predictors","model","index"
0.08,0.534535511509686,"wd_m","all predictors w/o coordinates","k_index"
0.099,0.534293331665439,"wd_m","all predictors w/o coordinates","k_index"
0.118,0.534345287244491,"wd_m","all predictors w/o coordinates","k_index"
0.137,0.534710405918906,"wd_m","all predictors w/o coordinates","k_index"
0.156,0.534714892618713,"wd_m","all predictors w/o coordinates","k_index"
0.175,0.534873757670983,"wd_m","all predictors w/o coordinates","k_index"
0.194,0.534849960140198,"wd_m","all predictors w/o coordinates","k_index"
0.213,0.53442064651082,"wd_m","all predictors w/o coordinates","k_index"
0.232,0.534074274876889,"wd_m","all predictors w/o coordinates","k_index"
0.251,0.53434533703971,"wd_m","all predictors w/o coordinates","k_index"
0.27,0.533925091098914,"wd_m","all predictors w/o coordinates","k_index"
0.289,0.533664439939771,"wd_m","all predictors w/o coordinates","k_index"
0.308,0.533529749481107,"wd_m","all predictors w/o coordinates","k_index"
0.327,0.533563007976411,"wd_m","all predictors w/o coordinates","k_index"
0.346,0.533573923237257,"wd_m","all predictors w/o coordinates","k_index"
0.365,0.533169622301261,"wd_m","all predictors w/o coordinates","k_index"
0.384,0.533185750486103,"wd_m","all predictors w/o coordinates","k_index"
0.403,0.532400672205409,"wd_m","all predictors w/o coordinates","k_index"
0.422,0.531726020309849,"wd_m","all predictors w/o coordinates","k_index"
0.441,0.530727214723591,"wd_m","all predictors w/o coordinates","k_index"
0.46,0.53056146524703,"wd_m","all predictors w/o coordinates","k_index"
0.479,0.530213086328783,"wd_m","all predictors w/o coordinates","k_index"
0.498,0.530218577857311,"wd_m","all predictors w/o coordinates","k_index"
0.517,0.529589161855467,"wd_m","all predictors w/o coordinates","k_index"
0.536,0.529538238816651,"wd_m","all predictors w/o coordinates","k_index"
0.555,0.529226257490057,"wd_m","all predictors w/o coordinates","k_index"
0.574,0.52888564936933,"wd_m","all predictors w/o coordinates","k_index"
0.593,0.528745866416755,"wd_m","all predictors w/o coordinates","k_index"
0.612,0.528383881122247,"wd_m","all predictors w/o coordinates","k_index"
0.631,0.528244225013589,"wd_m","all predictors w/o coordinates","k_index"
0.65,0.527829085584326,"wd_m","all predictors w/o coordinates","k_index"
0.669,0.527683129387937,"wd_m","all predictors w/o coordinates","k_index"
0.688,0.52770969622721,"wd_m","all predictors w/o coordinates","k_index"
0.707,0.527531344433628,"wd_m","all predictors w/o coordinates","k_index"
0.726,0.527337085733692,"wd_m","all predictors w/o coordinates","k_index"
0.745,0.526115478152497,"wd_m","all predictors w/o coordinates","k_index"
0.764,0.524873577752142,"wd_m","all predictors w/o coordinates","k_index"
0.783,0.524253187577899,"wd_m","all predictors w/o coordinates","k_index"
0.802,0.523581400781014,"wd_m","all predictors w/o coordinates","k_index"
0.821,0.523506415410862,"wd_m","all predictors w/o coordinates","k_index"
0.84,0.523506415410862,"wd_m","all predictors w/o coordinates","k_index"
0.859,0.523314861591629,"wd_m","all predictors w/o coordinates","k_index"
0.878,0.523320994558896,"wd_m","all predictors w/o coordinates","k_index"
0.897,0.523320994558896,"wd_m","all predictors w/o coordinates","k_index"
0.916,0.523320994558896,"wd_m","all predictors w/o coordinates","k_index"
0.935,0.523320994558896,"wd_m","all predictors w/o coordinates","k_index"
0.954,0.523320994558896,"wd_m","all predictors w/o coordinates","k_index"
0.973,0.523320994558896,"wd_m","all predictors w/o coordinates","k_index"
0.992,0.523320994558896,"wd_m","all predictors w/o coordinates","k_index"
1.011,0.523320994558896,"wd_m","all predictors w/o coordinates","k_index"
1.03,0.523320994558896,"wd_m","all predictors w/o coordinates","k_index"
